offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west
JuLecgRv95A,"upper floor",19,24,yes,NULL,NULL,NULL,yes,yes,NULL
JuzjcjA88fI,"upper floor",3,6,NULL,2025,A,NULL,NULL,NULL,yes
JuR9IQwr1DX,NULL,NULL,NULL,NULL,2008,"not available",NULL,NULL,NULL,NULL
JueQeTeryjC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JufbBHYx-coz,"ground floor",NULL,NULL,NULL,2022,A,NULL,NULL,NULL,NULL
JusEglMU0v8,"top floor",4,4,NULL,1979,"not available",NULL,yes,NULL,yes
JuHU9WStTAs,"upper floor",NULL,NULL,NULL,1980,NULL,NULL,NULL,NULL,NULL
Ju-48631_aJ,"top floor",10,10,NULL,1973,"not available",NULL,NULL,NULL,NULL
JujzGN4k6bn,"upper floor",8,NULL,yes,2025,"not available",NULL,NULL,NULL,NULL
JuyUZh4v08L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju9d7v-lee8,"top floor",4,4,NULL,2025,"not available",NULL,NULL,NULL,NULL
JuvALHP6cN9,"upper floor",3,4,NULL,1980,"not available",NULL,NULL,NULL,NULL
Ju8a3kcGYvG,"ground floor",1,5,yes,NULL,A,NULL,NULL,NULL,NULL
Jue47kLBSm8,"upper floor",5,5,yes,NULL,NULL,NULL,NULL,NULL,NULL
JucquL8E-bM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jui14FUG-ZO,NULL,NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL
JuTiIF5zkxo3,"ground floor",1,1,NULL,2000,"not available",NULL,NULL,NULL,NULL
JuFpZug_t62,"upper floor",4,7,NULL,2023,A,NULL,yes,yes,NULL
JuUnWH-g8Yz,"upper floor",3,NULL,yes,2009,NULL,NULL,NULL,NULL,NULL
JuUCL8fPL9h,"ground floor",1,2,NULL,NULL,B,NULL,NULL,NULL,NULL
JuV8a82JG_s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuvjDSTvTKy,attic,2,2,NULL,2022,"not available",NULL,NULL,yes,yes
Ju3gs_noUEz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuXcyij9eMf_,"upper floor",5,10,yes,2027,"not available",NULL,yes,NULL,yes
JufYiP4E7Es,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuKkjtqN4VW,"upper floor",3,3,NULL,1900,"not available",NULL,NULL,NULL,NULL
JuH-SEIASle,"top floor",8,8,NULL,2025,A,NULL,NULL,NULL,NULL
Ju_IBACCGzT,"raised ground floor",1,NULL,NULL,NULL,"not available",NULL,yes,NULL,yes
Ju_7fjs1rDI,attic,3,3,yes,2023,A,NULL,NULL,NULL,NULL
JuO3IQpQk2Q,"ground floor",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JukCOBdi-HG,"upper floor",6,7,NULL,1972,"not available",NULL,NULL,NULL,NULL
JuatrleUyRX,"ground floor",1,8,yes,1980,A,NULL,NULL,NULL,NULL
JuqBZCEixbC,"upper floor",3,NULL,yes,2018,"not available",NULL,NULL,NULL,yes
JuCuiefKh4P,"upper floor",3,4,NULL,1969,"not available",yes,yes,yes,NULL
JucFUY5N5xW,"upper floor",4,6,yes,1970,B,yes,NULL,NULL,NULL
JuSPwAqNDjb,"ground floor",1,3,NULL,2022,"not available",NULL,NULL,NULL,NULL
JujrtOK9Ltj,"upper floor",2,3,NULL,1970,"not available",NULL,NULL,NULL,NULL
Ju2TzdFfXkg,"upper floor",3,4,NULL,1965,"not available",NULL,NULL,NULL,NULL
JuVO5WLrTZ3,"upper floor",2,4,NULL,1970,"not available",NULL,NULL,NULL,NULL
JuC08OMa82u,"top floor",4,4,NULL,2008,"not available",NULL,NULL,NULL,NULL
Jupw1bQT1Jh,"upper floor",4,8,yes,2025,A,yes,yes,yes,yes
JuFqSi2fYOk,"ground floor",1,4,NULL,NULL,"not available",NULL,yes,yes,NULL
JunnFbGwfA5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuFv7NTgqug,"ground floor",1,4,yes,2021,B,NULL,NULL,NULL,NULL
JuxZgQdKO7u,"upper floor",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju0iFsZ1mnv,"ground floor",NULL,NULL,NULL,2024,NULL,NULL,NULL,NULL,NULL
JuN4KXjUyk-,"raised ground floor",1,3,NULL,2024,A,NULL,NULL,NULL,NULL
JuWV1dgtiBd,"ground floor",1,2,yes,2025,"not available",NULL,NULL,NULL,NULL
Judmv08qh2A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JugXYWqkt4N,"upper floor",5,9,NULL,2025,D,NULL,NULL,NULL,NULL
JuqvNgpYqrd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
