offer_id,offer_type,property_type,area,condition,ownership
JuLecgRv95A,sale,"3-room apartment",107,"fully renovated",private
JuzjcjA88fI,rent,"2-room apartment",62,"fully renovated",NULL
JuR9IQwr1DX,rent,"3-room apartment",68,"new construction",private
JueQeTeryjC,rent,"4-room apartment",90,"fully renovated",NULL
JufbBHYx-coz,sale,"1-room apartment",60,"new construction",private
JusEglMU0v8,sale,"3-room apartment",69,unrenovated,private
JuHU9WStTAs,sale,"3-room apartment",80,"fully renovated",private
Ju-48631_aJ,sale,"3-room apartment",63,unrenovated,NULL
JujzGN4k6bn,rent,"2-room apartment",65,"fully renovated",private
JuyUZh4v08L,rent,"2-room apartment",49,"new construction",NULL
Ju9d7v-lee8,sale,"3-room apartment",106,"new construction",NULL
JuvALHP6cN9,sale,"2-room apartment",56,"partially renovated",private
Ju8a3kcGYvG,rent,"2-room apartment",50,"new construction",private
Jue47kLBSm8,sale,"3-room apartment",202,"new construction",private
JucquL8E-bM,rent,"3-room apartment",NULL,"fully renovated",NULL
Jui14FUG-ZO,sale,"3-room apartment",76,"partially renovated",private
JuTiIF5zkxo3,rent,"2-room apartment",65,"fully renovated",private
JuFpZug_t62,sale,"1-room apartment",31,"new construction",private
JuUnWH-g8Yz,sale,"3-room apartment",109,"new construction",NULL
JuUCL8fPL9h,rent,"studio apartment",36,"fully renovated",private
JuV8a82JG_s,sale,"4-room apartment",101,"new construction",NULL
JuvjDSTvTKy,sale,"2-room apartment",45,"fully renovated",private
Ju3gs_noUEz,rent,"2-room apartment",45,"new construction",NULL
JuXcyij9eMf_,sale,"3-room apartment",67,"new construction",private
JufYiP4E7Es,sale,"3-room apartment",75,"partially renovated",private
JuKkjtqN4VW,sale,"2-room apartment",56,"fully renovated",private
JuH-SEIASle,sale,"3-room apartment",69,"under construction",NULL
Ju_IBACCGzT,rent,"2-room apartment",66,"partially renovated",private
Ju_7fjs1rDI,sale,"2-room apartment",28,"new construction",private
JuO3IQpQk2Q,sale,"2-room apartment",57,"fully renovated",private
JukCOBdi-HG,sale,"3-room apartment",83,"fully renovated",private
JuatrleUyRX,rent,"3-room apartment",78,"partially renovated",private
JuqBZCEixbC,rent,"2-room apartment",52,"new construction",corporate
JuCuiefKh4P,sale,"4-room apartment",83,unrenovated,private
JucFUY5N5xW,sale,"3-room apartment",80,"partially renovated",private
JuSPwAqNDjb,sale,"2-room apartment",44,"new construction",NULL
JujrtOK9Ltj,sale,"3-room apartment",82,unrenovated,private
Ju2TzdFfXkg,sale,"2-room apartment",60,"partially renovated",NULL
JuVO5WLrTZ3,sale,"2-room apartment",60,"partially renovated",private
JuC08OMa82u,sale,"4-room apartment",163,"new construction",private
Jupw1bQT1Jh,sale,"3-room apartment",89,"new construction",NULL
JuFqSi2fYOk,sale,"2-room apartment",53,"fully renovated",private
JunnFbGwfA5,rent,"2-room apartment",60,"partially renovated",private
JuFv7NTgqug,sale,"holiday apartment",46,"fully renovated",NULL
JuxZgQdKO7u,sale,"2-room apartment",45,"new construction",corporate
Ju0iFsZ1mnv,sale,"2-room apartment",38,"new construction",NULL
JuN4KXjUyk-,sale,"4-room apartment",105,"new construction",NULL
JuWV1dgtiBd,sale,"holiday apartment",22,"new construction",private
Judmv08qh2A,sale,"4-room apartment",120,unrenovated,private
JugXYWqkt4N,rent,"1-room apartment",30,"partially renovated",private
JuqvNgpYqrd,rent,"1-room apartment",40,"fully renovated",private
Ju_Lr-2Vc09,sale,"1-room apartment",51,"partially renovated",corporate
JubDtFpPZPz,sale,"holiday apartment",37,"under construction",NULL
Ju46Wlvz4BP,sale,"2-room apartment",63,"new construction",NULL
Jus8fVVapj9,sale,"3-room apartment",97,"under construction",corporate
JurldwLKNhM,sale,"1-room apartment",36,"fully renovated",private
JulollxgJp5,sale,"2-room apartment",71,"under construction",corporate
JupBjnV0coU,sale,"3-room apartment",85,"fully renovated",private
JuqAM-ZO9ir,sale,"2-room apartment",55,"new construction",corporate
Ju5VjRRX_4J,sale,"3-room apartment",NULL,"partially renovated",NULL
Juarr5O2upK,sale,"1-room apartment",94,"under construction",corporate
JuXRtZdfweI,sale,"4-room apartment",85,"partially renovated",private
JuNZupA7Ru4,sale,"2-room apartment",52,"new construction",NULL
JuA8-pf41pn,rent,"3-room apartment",83,"fully renovated",private
JumbMyGo4iI,sale,"2-room apartment",58,"fully renovated",private
JuaCjfZIx81,sale,"2-room apartment",48,"under construction",NULL
JuUnD0myJmK,sale,"2-room apartment",62,"partially renovated",private
JuIP59md355,sale,"4-room apartment",102,"under construction",NULL
JuIh9K2txJ3,sale,"3-room apartment",144,"new construction",private
Jub5nNi4yTF,sale,"2-room apartment",62,"partially renovated",NULL
Juqj8-BDIgQ,sale,"3-room apartment",122,"new construction",private
JuQfQh_4sSF,sale,"2-room apartment",84,"new construction",private
JujYXXx5gXi,sale,"3-room apartment",169,"new construction",NULL
JuxBkaifl6df,rent,"holiday apartment",42,"new construction",private
JugTLMsHTVi,sale,"2-room apartment",52,unrenovated,private
Jul7be3Lkz5,sale,"holiday apartment",26,"new construction",corporate
JuPT1z2mBzV,sale,"1-room apartment",36,"partially renovated",NULL
Ju4hZgzLszu,sale,"2-room apartment",62,"partially renovated",NULL
JuKlHRPhAEF,sale,"2-room apartment",57,"fully renovated",private
JuvFESSKGWN,sale,"3-room apartment",86,"partially renovated",private
JusgW9odCAS,sale,"4-room apartment",107,unrenovated,private
Juvk9S_5ltU,sale,"2-room apartment",54,unrenovated,NULL
JunBqR0DBP9,rent,"2-room apartment",50,"new construction",NULL
JuDCMQupxo0,sale,"2-room apartment",59,"partially renovated",private
JuQnZXQrlxH,sale,"holiday apartment",14,unrenovated,private
JufAeKZk5m-,sale,"2-room apartment",55,"partially renovated",private
JuNguQDV0Zn,sale,"2-room apartment",52,"fully renovated",private
JuKOtZwcbir-,sale,"holiday apartment",28,"fully renovated",private
JuMm4AW_gBf,sale,"5+ room apartment",150,"partially renovated",private
JuSYwKOlQ-6,sale,"3-room apartment",NULL,"new construction",NULL
JuZqtWo-t_S,sale,"holiday apartment",29,"new construction",NULL
JuJCzmrTicR,sale,"2-room apartment",40,"new construction",NULL
JumsfvMXhg-,sale,"3-room apartment",67,unrenovated,other
JuymkoAFG_6,sale,"2-room apartment",60,unrenovated,private
JucOec67NRR,sale,"1-room apartment",33,unrenovated,private
JuyOHLJxsdS,sale,"3-room apartment",64,"fully renovated",NULL
Ju_yl2A922o,sale,"2-room apartment",57,unrenovated,NULL
JuDoLB83xqT,sale,"3-room apartment",78,unrenovated,private
JuQvJ7BykSU,sale,"2-room apartment",49,unrenovated,private
JucOhPXEpxa,rent,"2-room apartment",71,"partially renovated",NULL
JuFqVxR2Rua,rent,"2-room apartment",48,"new construction",private
JuLEeBcqSvN,rent,"2-room apartment",50,"fully renovated",NULL
JuHLqjLk9w7,sale,"2-room apartment",63,"fully renovated",private
Juhlf1Su_tu,sale,"studio apartment",34,"partially renovated",NULL
Ju4aGAgIjVo,sale,"3-room apartment",80,"partially renovated",private
JuHC3L7PHAo,rent,"studio apartment",15,"partially renovated",private
Ju4nG9JDEKF,sale,"3-room apartment",70,"partially renovated",private
JuxsO06uVZG,rent,"1-room apartment",43,unrenovated,private
JuxQsJlXHSK,rent,"3-room apartment",74,"fully renovated",NULL
JuJrBHwvfXe,sale,"holiday apartment",23,"new construction",private
JuVk3AeemQd,sale,"3-room apartment",65,"under construction",corporate
JucIMMNEosV,sale,"3-room apartment",67,"partially renovated",private
Ju2EMTkOn53,sale,"2-room apartment",61,"new construction",NULL
JuYbhGZmbC7,sale,"2-room apartment",49,unrenovated,municipal
JucmUHZL9fQ,rent,"2-room apartment",57,"new construction",NULL
Ju59v0S7Gi9,sale,"3-room apartment",77,unrenovated,NULL
Ju4SvmwHoAg,sale,"3-room apartment",72,"new construction",private
JuJBn5ZeVAm,rent,"2-room apartment",51,"partially renovated",private
Juk9u-rNEqG,rent,"2-room apartment",46,"fully renovated",NULL
JuNRFKe9B5N6,sale,"4-room apartment",140,"new construction",private
JuG99-vnL8U,sale,"4-room apartment",212,"new construction",private
JuvzAFSDr4x,sale,"3-room apartment",110,"new construction",private
JuDorfwK08d,rent,"2-room apartment",85,"partially renovated",private
Jul_OGhX8QT,sale,"3-room apartment",60,"partially renovated",private
Ju7UFzA6VtL,sale,"2-room apartment",53,"new construction",NULL
Ju9qrQrSqzm,rent,"studio apartment",25,"new construction",NULL
Ju4Vd5pUjXm,sale,"3-room apartment",65,"partially renovated",private
JuA1jb9HH8o,sale,"2-room apartment",56,"partially renovated",private
JuVp8M6bnwG,rent,"3-room apartment",80,"partially renovated",private
JuKJT8WJuFF,rent,"1-room apartment",37,"new construction",private
Ju8mh8KzH4f,rent,"2-room apartment",60,"fully renovated",NULL
Ju9k2e7JWOr,sale,"1-room apartment",38,"partially renovated",NULL
JuXNm9NwSwi,sale,"3-room apartment",75,"new construction",private
JuOnQ9rym-h,sale,"4-room apartment",87,"partially renovated",private
JuFNpzHutiG,sale,"3-room apartment",65,"partially renovated",private
JuZ8UmPHnMd,sale,"2-room apartment",59,"fully renovated",private
JuWLCChouGh,sale,"3-room apartment",102,"new construction",corporate
JuS6qI_HXQ_,sale,"4-room apartment",88,"partially renovated",private
JuvIFSCKDaN,sale,"2-room apartment",63,"fully renovated",private
JuJITXm9Zsf,sale,"3-room apartment",66,"fully renovated",private
JueaFakyLvY,sale,"3-room apartment",83,"development project",corporate
Ju1F-eiNHx4,sale,"3-room apartment",85,"fully renovated",private
JuL3MT7o1WL,sale,"2-room apartment",60,"fully renovated",private
Ju_qGSnLBzz,rent,"2-room apartment",59,"new construction",NULL
JuhigkHR5x2,sale,"4-room apartment",320,"new construction",private
Ju5eub1EsyB,sale,"3-room apartment",100,"new construction",private
JuDetN4gLGy,sale,"holiday apartment",43,"new construction",private
JuxJN0jj6xv,sale,"1-room apartment",34,"new construction",private
JuQY1ZnmE4m,rent,"studio apartment",25,"fully renovated",private
Ju9zHP-4dng,sale,"3-room apartment",61,"partially renovated",private
JuTy8iCXD6j,sale,"2-room apartment",51,"new construction",private
JuMhyPasgwl,rent,"1-room apartment",41,"fully renovated",private
JuPet_Ep-JW,rent,"studio apartment",70,"fully renovated",private
JuGJ3bcseaG,sale,"1-room apartment",41,"partially renovated",NULL
JuI3iwt9MRR,sale,"studio apartment",25,"new construction",private
JumSU3uP1r7,sale,"holiday apartment",49,"partially renovated",NULL
JuCyeszuCeF,sale,"3-room apartment",65,unrenovated,NULL
JuDZ3hA20uQ,sale,"4-room apartment",100,"partially renovated",corporate
Ju1Cm4LoVXM,sale,"studio apartment",123,"new construction",NULL
JuOOVFGvzwX,sale,"2-room apartment",62,"new construction",corporate
JuuuYAHYGX8,sale,"2-room apartment",60,"development project",NULL
Juw69usHNF6,rent,"3-room apartment",86,"fully renovated",corporate
Jup6mGYDCrv,rent,"2-room apartment",57,"fully renovated",corporate
Ju5R24o6GQR,sale,"3-room apartment",74,unrenovated,NULL
Ju8_AnIgnrX,sale,"2-room apartment",57,"partially renovated",NULL
JuY4e0DxXsH,rent,"2-room apartment",45,"new construction",NULL
Jue5OG4Sl5k,rent,"2-room apartment",50,"fully renovated",NULL
Juo19uqWHqv,sale,"3-room apartment",85,"fully renovated",NULL
JumQaXesU-y,rent,"studio apartment",28,"new construction",private
JuEVg7e9gge,sale,"3-room apartment",72,unrenovated,private
JuXIzNjmik_,rent,"3-room apartment",104,"fully renovated",private
Juv94EKwgh6,sale,"3-room apartment",73,"new construction",private
JukKH41KaWr,rent,"3-room apartment",121,"fully renovated",other
JuhxRDKuEfi,sale,"2-room apartment",58,"new construction",NULL
JuRJykTdszG,sale,"4-room apartment",150,"fully renovated",private
JuDJ_hnDscM,sale,"2-room apartment",60,"fully renovated",private
JulzEF1iR1R,sale,"2-room apartment",70,"fully renovated",NULL
Jus2f1I5Shb,sale,"3-room apartment",68,"partially renovated",private
JuWzCETm2y0,rent,"3-room apartment",70,"fully renovated",NULL
Ju12shpSBga,sale,"3-room apartment",62,"new construction",corporate
JuXnw8EKWYI,sale,"3-room apartment",93,"new construction",private
JuJM07aUO0O,sale,"5+ room apartment",100,"partially renovated",private
JuVtdEgquxp,sale,"3-room apartment",74,"new construction",private
JuP6qyzD4rb,sale,"holiday apartment",40,"new construction",corporate
JuP-xJVwuxh,sale,"3-room apartment",77,"new construction",private
Ju2skZ_XIuH,rent,"3-room apartment",90,"partially renovated",NULL
JuxYMJGR4NW,sale,"1-room apartment",45,"partially renovated",private
JuWx4I1iGWR,rent,"2-room apartment",80,"new construction",private
Jubx4f_wHQY,sale,"3-room apartment",87,unrenovated,private
JuBjT8MmAiR,sale,"3-room apartment",65,"under construction",corporate
Ju8qAJxGCh0,sale,"3-room apartment",64,"partially renovated",private
Ju-DovddXIY,sale,"2-room apartment",71,unrenovated,private
Ju6ap4Twr5W,rent,"3-room apartment",NULL,"partially renovated",NULL
JuVlvDHUEHV,rent,"2-room apartment",50,"fully renovated",private
JukzS9fkGsH,rent,"3-room apartment",84,"fully renovated",private
Jum2zoM9dK0,sale,"2-room apartment",60,"new construction",NULL
JuwxWNhZHvq,rent,"2-room apartment",44,"fully renovated",NULL
JuNh7AtADFs,rent,"2-room apartment",44,"new construction",private
JuoVEcjPg5o,rent,"3-room apartment",70,"new construction",private
JuyUHlMcv_Q,rent,"3-room apartment",73,"fully renovated",private
JuXQxA2vSe6,sale,"2-room apartment",42,"fully renovated",NULL
Jufd89QZCSO,sale,"holiday apartment",NULL,"new construction",NULL
Ju2hVjHchsA,sale,"2-room apartment",47,"new construction",private
Ju9Zm5FKDvx,sale,"2-room apartment",58,"fully renovated",private
Ju_q6RS-fKo,sale,"3-room apartment",118,"new construction",private
Jutomv1SERc,rent,"2-room apartment",57,"fully renovated",private
Jukc07qMxPz,sale,"2-room apartment",55,"new construction",private
JuZPdvGyLq9,sale,"3-room apartment",92,"fully renovated",private
Ju8xVwtKo3R,sale,"1-room apartment",NULL,unrenovated,NULL
JuIK5SS5weX,rent,"2-room apartment",55,"partially renovated",NULL
JuzzHVLtL7p,sale,"3-room apartment",69,"fully renovated",private
Ju7J-Smt48P,sale,"2-room apartment",42,"new construction",NULL
JuvxR6XXHxE,rent,"3-room apartment",74,"fully renovated",NULL
JuRuuJuhfW8,sale,"3-room apartment",85,"partially renovated",NULL
JuZK70yldNu,sale,"1-room apartment",39,"new construction",corporate
JuzSqFzglhO,sale,"3-room apartment",73,"new construction",private
JuT8ujDpM1g,rent,"1-room apartment",60,"partially renovated",private
JuzmSjYalDj,sale,"3-room apartment",87,"partially renovated",NULL
Ju6pkdVbtRp,sale,"3-room apartment",71,"fully renovated",private
JudnXUbr0fH,sale,"2-room apartment",48,"under construction",NULL
JuBIZmW7FwQ,sale,"3-room apartment",71,"new construction",NULL
