monthly_rent_m2,rooms,area,ln_area,unrenovated,partially_renovated,fully_renovated,new_construction,ground_floor,upper_floor,top_floor,floor,elevator,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_rent_index
10.97,3,74,4.30406509320417,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
10.97,2,52,3.9512437185814275,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
12.43,4,93,4.532599493153256,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
9.47,2,53,3.970291913552122,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
10.31,2,55,4.007333185232471,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
13.09,2,55,4.007333185232471,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
11.54,1,65,4.174387269895637,0,0,0,1,0,0,0,2.7612,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
14.58,2,45,3.8066624897703196,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
13.83,1,47,3.8501476017100584,0,0,0,1,0,0,0,2.7612,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
10.31,2,55,4.007333185232471,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
13.02,2,57,4.04305126783455,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
10.95,3,74,4.30406509320417,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
13.12,2,53,3.970291913552122,0,0,1,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
11.02,2,51,3.9318256327243257,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
10.34,2,62,4.127134385045092,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
10.90,3,74,4.30406509320417,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,12.12203886074000
