price_m2,ln_price_m2,holiday_apartment,rooms,area,ln_area,unrenovated,partially_renovated,fully_renovated,new_construction,new_project,ground_floor,upper_floor,top_floor,missing_floor,floor_upto_8,very_high_floor,elevator,age,ln_age,energy_certificate,north,south,east,west,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
4017.86,8.298504701562265,0,2.0,56,4.02535169073515,0,0,1,0,0,1,0,0,0,1.0,0,0,15,2.772588722239781,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
3684.21,8.211811399007903,0,3.0,95,4.553876891600541,0,0,0,1,0,0,1,0,0,3.0,0,1,4.47,1.6992786164338898,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
3229.73,8.080153821391482,0,2.0,74,4.30406509320417,0,0,0,1,0,0,0,1,0,6.0,0,0,16,2.833213344056216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
4258.68,8.35671453209222,0,0.0,32,3.4657359027997265,0,0,1,0,0,0,1,0,0,2.0,0,0,65,4.189654742026425,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
3008.34,8.009143710596998,0,4.0,156,5.049856007249537,0,0,1,0,0,0,0,0,1,2.8,0,0,42.02,3.761665123839584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
3737.86,8.2262685341306,0,3.0,103,4.634728988229636,0,0,0,1,0,0,0,0,1,2.8,0,0,16,2.833213344056216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
4653.85,8.445450113003336,0,2.0,52,3.9512437185814275,0,0,0,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
1240.83,7.123535789519757,0,2.0,181,5.198497031265826,0,0,0,1,0,1,0,0,0,1.0,0,0,15,2.772588722239781,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
4464.29,8.403865466108773,0,2.0,56,4.02535169073515,0,0,0,1,0,1,0,0,0,1.0,0,0,13,2.6390573296152584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
4916.70,8.50039285273789,0,2.0,49,3.8918202981106265,0,0,0,0,1,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
2670.34,7.8899610841111105,0,4.0,88,4.477336814478207,0,1,0,0,0,0,0,1,0,2.0,0,0,46,3.8501476017100584,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
4196.26,8.341948931371537,0,3.0,107,4.672828834461906,0,0,1,0,0,0,1,0,0,9.0,1,1,42.02,3.761665123839584,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
3228.62,8.079810080339689,0,1.0,23,3.1354942159291497,0,0,1,0,0,1,0,0,0,1.0,0,0,125,4.836281906951478,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
1638.73,7.401676830579332,0,1.0,53,3.970291913552122,0,0,1,0,0,1,0,0,0,1.0,0,0,42.02,3.761665123839584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
4008.60,8.296197332159487,0,3.0,76,4.330733340286331,0,0,0,0,1,0,1,0,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2075.95,7.638174159217316,0,2.0,79,4.3694478524670215,0,0,1,0,0,1,0,0,1,2.8,0,0,125,4.836281906951478,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
4106.07,8.320221645655673,0,4.0,110,4.700480365792417,0,0,0,0,1,0,1,0,0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
3869.05,8.260764277852987,0,2.0,44,3.784189633918261,0,0,0,1,0,1,0,0,0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2164.38,7.679889225289738,0,3.0,73,4.290459441148391,1,0,0,0,0,0,0,0,1,2.8,0,0,45.01,3.8288587641673772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
3374.09,8.123880937320397,0,2.5,60,4.0943445622221,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
