price_m2,area,house_area,land_area,unrenovated,partially_renovated,fully_renovated,new_construction,in_development,age,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
1625.00,240,240,708,1,0,0,0,0,65,1,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
2843.75,160,160,544,1,0,0,0,0,41,1,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
1531.25,320,320,634,0,1,0,0,0,55,0,1,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
1848.15,270,270,753,0,1,0,0,0,65,1,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
1521.74,115,115,433,0,1,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
1344.79,290,290,0,0,0,1,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
2616.28,86,86,986,0,0,0,1,0,15,0,1,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
1224.49,196,196,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
1500.00,180,180,1300,0,1,0,0,0,69,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
1151.07,140,140,436,1,0,0,0,0,89,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
4189.47,95,95,0,0,0,1,0,0,30,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
434.33,967,967,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
1538.46,130,130,471,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
1035.71,280,280,800,0,1,0,0,0,33,1,0,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
241.48,1056,1056,0,1,0,0,0,0,73,1,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
1357.58,165,165,1000,1,0,0,0,0,58,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
1740.48,210,210,1060,0,1,0,0,0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
1551.09,274,274,137,0,0,1,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,25.23570385611667
2233.33,150,150,219,1,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,25.23570385611667
3453.61,97,97,0,1,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,25.23570385611667
