price_m2,area,ln_area,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
500.00,1083,6.9874902470009905,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
125.00,7154,8.875426919818963,1,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
776.05,643,6.466144724237619,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
440.00,696,6.54534966033442,0,0,0,1,0,0,0,0,0,0,0,0,0,61.53654993815455
59.41,9257,9.133135301067211,1,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
20.40,27773,10.231819604714468,1,0,0,0,0,0,0,0,0,0,0,0,1,1.92597764472105
115.00,1041,6.947937068614969,1,0,0,0,0,0,1,0,0,0,0,0,0,9.67590974780000
108.48,507,6.2285110035911835,0,1,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
92.82,710,6.565264970035361,0,1,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
50.00,2400,7.783224016336037,1,0,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
95.24,840,6.733401891837359,0,1,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
58.82,680,6.522092798170152,0,0,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
93.56,481,6.175867270105761,0,0,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
90.00,857,6.75343791859778,1,0,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
102.00,2838,7.950854857719988,1,0,0,0,0,0,1,0,0,0,0,0,0,-25.27163798057500
47.00,13624,9.519588222342524,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.14252882826000
30.27,5203,8.556990661290303,0,1,1,0,0,0,0,0,0,0,0,0,0,-9.94985255415556
61.82,628,6.4425401664681985,0,1,1,0,0,0,0,0,0,0,0,0,0,-9.94985255415556
37.87,1056,6.962243464266207,0,1,1,0,0,0,0,0,0,0,0,0,0,-9.94985255415556
42.17,664,6.498282149476434,0,1,1,0,0,0,0,0,0,0,0,0,0,-9.94985255415556
41.77,1410,7.251344983372214,0,1,1,0,0,0,0,0,0,0,0,0,0,-9.94985255415556
55.00,5861,8.676075516476429,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.94985255415556
575.45,391,5.968707559985366,0,0,1,0,0,0,0,0,0,0,0,0,0,-9.94985255415556
404.93,284,5.648974238161206,0,0,0,0,0,0,1,0,0,0,0,0,0,19.38109699375500
200.00,11823,9.377802065863113,1,0,0,0,0,0,0,0,0,0,0,0,1,25.62966035391429
99.00,863,6.760414691083428,0,1,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
48.03,864,6.761572768804055,1,0,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
29.00,781,6.660575149839686,0,1,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
21.97,1138,7.037027614686276,1,0,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
26.00,2163,7.679251425953058,0,1,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
29.00,1940,7.570443252057374,0,1,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
26.00,2891,7.969357742016346,0,1,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
62.43,881,6.78105762593618,1,0,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
50.00,1937,7.5688956634069955,0,1,0,0,0,1,0,0,0,0,0,0,0,-43.27340235055714
480.77,416,6.030685260261263,1,0,0,1,0,0,0,0,0,0,0,0,0,39.03450642846667
66.00,7400,8.909235279192261,1,0,0,0,0,0,1,0,0,0,0,0,0,55.81583932468824
76.56,849,6.744059186311348,1,0,0,0,0,0,1,0,0,0,0,0,0,55.81583932468824
169.32,880,6.779921907472252,1,0,0,0,0,0,1,0,0,0,0,0,0,55.81583932468824
79.11,1250,7.1308988302963465,0,0,0,0,0,0,0,0,0,0,0,1,0,-7.51349586389167
100.00,1648,7.4073177104694174,0,0,0,0,0,0,0,0,0,0,0,0,1,17.23179954880000
120.00,2645,7.8804263442924,0,0,0,0,0,0,0,0,0,0,0,0,1,17.23179954880000
110.00,560,6.327936783729195,0,0,0,0,0,0,0,0,0,0,0,0,1,17.23179954880000
38.24,353,5.8664680569332965,0,1,0,0,0,1,0,0,0,0,0,0,0,19.26102547363333
49.86,353,5.8664680569332965,0,1,0,0,0,1,0,0,0,0,0,0,0,19.26102547363333
66.00,6881,8.83651926920248,0,0,0,0,0,1,0,0,0,0,0,0,0,19.26102547363333
66.02,6881,8.83651926920248,0,0,0,0,0,1,0,0,0,0,0,0,0,19.26102547363333
96.46,819,6.70808408385307,0,1,0,0,0,1,0,0,0,0,0,0,0,19.26102547363333
82.00,961,6.8679744089702925,1,0,0,0,0,1,0,0,0,0,0,0,0,-16.22971330598000
51.81,2700,7.90100705199242,1,0,0,0,0,0,0,0,0,0,0,0,1,-18.54957232614000
60.19,859,6.755768921984255,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
26.00,2828,7.947325027016463,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
99.90,1037,6.9440872082295275,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
26.00,2800,7.937374696163295,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
60.00,828,6.71901315438526,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
