house_no,actual_price_m2,predicted_price_m2
1,1625.00,1589.8
2,2843.75,1886.52
3,1531.25,1342.03
4,1848.15,1642.22
5,1521.74,1529.4
6,1344.79,1457.05
7,2616.28,2335.49
8,1224.49,1590.43
9,1500.00,1372.49
10,1151.07,1220.36
11,4189.47,2125.3
12,434.33,766.48
13,1538.46,1765.4
14,1035.71,861.27
15,241.48,-276.97
16,1357.58,934.51
17,1740.48,942.11
18,1551.09,1734.1
19,2233.33,1499.94
20,3453.61,1718
21,2360.00,1237.77
22,2500.00,1622.73
23,1351.35,1783.02
24,4062.50,1550.86
25,1075.00,1294.94
26,2281.65,2104.58
27,562.47,1119.66
28,833.33,911.44
29,1075.00,996.62
30,2499.88,2271.78
31,2640.00,2210.01
32,1583.33,1663.92
33,1035.71,1265.93
34,2917.53,2370.1
35,2926.58,1938.72
36,581.63,1149.17
37,1931.82,2389.57
38,1173.68,1545.27
39,2606.21,1664.13
40,340.38,345.07
41,630.00,729.02
42,1409.09,1747.63
43,1666.67,1594.25
44,950.00,1089.86
45,353.85,648.68
46,1020.00,1476.2
47,1065.00,1373.5
48,846.33,1638.92
49,158.58,597.6
50,956.00,1503.51
51,1020.00,1373.19
52,1572.58,1682.17
53,1439.96,2313.08
54,1961.54,1708.83
55,181.82,106.9
56,3913.58,2546.44
57,1145.83,1144.23
58,1458.33,1847.02
59,1458.33,1315.51
60,1822.15,1884.6
61,2616.28,1960.94
62,990.00,698.68
63,104.17,-140.63
64,1062.22,730.88
65,3180.56,2240.1
66,587.06,1805.69
67,768.46,1192.8
68,407.41,584.69
69,1369.10,907.08
70,1369.10,872.1
71,260.00,467.3
72,320.54,181.3
73,2250.00,1334.58
74,1317.57,1431.08
75,2453.85,2324.43
76,2576.92,2324.43
77,1642.86,1678.68
78,2230.69,2264.34
79,184.86,251.11
80,1445.95,1197.49
81,1034.14,1037.17
82,194.50,443.03
83,1833.33,1490.28
84,1191.18,1220.64
85,1954.25,2099.5
86,2860.15,2362.16
87,2617.11,2343.89
88,1443.30,2350.05
89,1546.96,2565.22
90,1870.31,2158.22
91,1870.31,2154.73
92,1443.30,2350.05
93,2699.52,2344.16
94,1040.70,1272.43
95,2698.36,2344.03
96,3651.79,2479.9
97,680.58,1206.36
98,888.89,1389.39
99,945.83,877.04
100,1649.50,1903.3
101,1649.50,1903.3
102,1922.07,1366.51
103,681.82,1078.25
104,1165.50,1002.95
105,1538.08,1114.91
106,1449.44,1945.33
107,835.00,791.42
108,1895.42,1366.51
109,1043.18,1175.06
110,1388.89,1259.52
111,1380.28,1181.3
112,3500.00,2438.26
113,1264.71,1352.28
114,3333.33,2514.93
115,416.67,404.63
116,1582.22,1911.46
117,214.40,527.86
118,1190.48,1123.51
119,999.50,731.55
120,2956.99,2225.69
121,340.78,220.9
122,340.78,220.9
123,650.60,1093.91
124,650.60,1093.91
125,888.89,1552.66
126,1499.44,1879
127,1020.83,948.57
128,581.68,612.51
129,330.07,324.27
130,492.31,2011.81
131,2369.57,1221.21
132,3000.00,1762.02
133,1291.67,1159.35
134,587.50,205.27
135,1607.14,2090.03
136,1400.00,823.73
137,1290.00,908.85
138,620.00,1080.33
139,1.56,-2743.87
140,1035.98,1516.65
141,466.67,938.01
142,2615.38,1591.07
143,925.00,1706.36
144,700.00,1621.68
145,1322.58,1767.55
146,3300.00,2223.63
147,3024.59,2285.41
148,3561.15,2219.46
149,1752.94,2068.51
150,470.20,311.24
151,639.67,1115.32
152,1827.59,2093.15
153,1908.40,2147.88
154,712.50,956.78
155,2651.52,1914.14
156,2657.96,2092.05
157,1908.40,2144.38
158,1741.67,1478.23
159,178.57,617.91
160,735.29,1097.85
161,3357.00,1745.66
162,1519.95,1708.71
163,2062.50,1892.6
164,2333.33,1429.82
165,771.08,1564.07
166,1778.57,1742.63
167,869.42,1347.31
168,2350.00,1757.78
169,2372.88,2254.68
170,800.00,1419.95
171,813.33,1007.71
172,800.00,1419.95
173,1608.65,1796.41
174,1872.00,2183.49
175,1409.09,1820.46
176,2010.67,2061.17
177,2362.95,2447.48
178,1512.00,1781.72
179,313.97,736.19
180,900.00,1060.81
181,1000.00,1016.4
182,574.07,849.44
183,2142.86,1418.56
184,1811.11,1554.21
185,754.46,939.99
186,960.40,1256.06
187,1098.84,1050.27
188,645.00,879.21
189,1983.87,1759.64
190,1395.00,1741.27
191,3688.00,2482.19
192,2516.16,1899.65
193,2529.68,2092.8
194,4499.98,3056.24
195,860.00,929.97
196,475.48,315.05
197,997.50,1276.04
198,351.62,218.87
199,937.08,1125.57
200,706.90,782.38
201,1396.00,1210.8
202,374.15,315.9
203,718.10,872.47
204,729.17,1651.51
205,1246.43,1419.21
206,529.41,969.2
207,1095.00,1818.54
208,1095.00,1862.15
209,2636.36,2136.57
210,1095.00,1818.54
211,1857.14,1788.32
212,0.01,1154.67
213,1625.00,1959.7
214,1123.08,1025.89
215,1857.14,2039.67
216,1095.00,1818.54
217,658.73,978.34
218,1350.00,1894.99
219,412.14,661.39
220,855.56,1435.28
221,264.01,636.55
222,835.00,1021.18
223,3322.92,2301.74
224,1599.92,1674.22
225,1222.22,1482.48
226,444.44,576.59
227,1562.09,1488.33
228,2471.43,2338.13
229,1760.92,1750.24
230,1548.81,1976.41
231,1204.17,956.73
232,2050.00,2057.29
233,1596.70,2075.03
234,1596.00,2153.62
235,2750.00,2014.98
236,1545.88,1849.31
237,1826.09,2004.7
238,931.25,753.19
239,1674.16,1823.52
240,604.32,908
241,1374.29,1568.37
242,1485.71,1524.76
243,1500.00,1502.83
244,3177.86,2729.39
245,2625.00,2585.67
246,2285.71,2243.82
247,3134.92,2313.73
248,1741.07,2387.62
249,235.00,434.08
250,4275.51,2497.13
251,4081.76,2169.66
252,1840.00,1435.54
253,2626.32,2098.57
254,1598.21,1382.38
255,1160.00,1240.92
256,1700.00,1332.27
257,914.75,1210.87
258,1875.54,2456.72
259,1875.54,2456.72
260,1330.00,1298.86
261,2228.92,1926.5
262,1325.00,1519.44
263,3038.46,2052.05
264,452.42,539.6
265,2771.60,2071.46
266,815.42,888.09
267,795.18,914.66
268,2682.59,2131.33
269,0.01,2072.26
270,1249.38,1568.67
271,1577.01,1317.13
272,2291.67,1731.56
273,1193.40,1820.15
274,1491.67,1424.16
275,1226.60,1312.27
276,1346.15,1293.29
277,1166.67,1193.16
278,3628.57,3028.91
279,3428.57,3028.91
280,1564.89,1736.13
281,592.98,668.36
282,169.23,18.22
283,1625.00,1826.84
284,2102.80,1735.4
285,1054.29,1389.79
286,1603.98,1921.54
287,1245.00,1455.41
288,997.14,1389.79
289,503.37,946.7
290,1500.00,1530.08
291,4990.57,2640.47
292,138.09,48.68
293,503.37,946.7
294,311.00,911.25
295,1860.00,1379.37
296,350.00,55.93
297,928.57,1069.43
298,2464.29,2474.22
299,2222.22,1713.89
300,332.54,800.71
301,2191.67,1522.38
302,906.25,989.46
303,4239.13,2718.08
304,1552.91,2402.51
305,645.54,1291.14
306,3250.73,2545.12
307,1552.43,2229.27
308,1472.18,1857.74
309,2332.22,1928.81
310,1275.00,1429.52
311,542.42,969.22
312,933.33,1270.72
313,2753.85,1904.5
314,1782.74,2059.85
315,3109.09,2248.02
316,0.00,742.83
317,883.33,1403.15
318,2457.14,2249.47
319,2416.67,2017.32
320,558.82,950.89
321,600.00,933.08
322,1055.56,1379.83
323,1999.00,2107.72
324,1411.48,1890.01
325,2570.97,2293.14
326,1330.65,2248.27
327,1411.48,1890.01
328,1999.00,2300.87
329,1218.75,1292.43
330,1218.75,1292.43
331,3511.45,2240.57
332,3511.45,2240.57
333,3511.45,2237.07
334,1330.65,2248.27
335,621.43,887.24
336,950.00,836.92
337,326.46,638.88
338,1250.00,1422.08
339,2237.50,2024.03
340,1352.94,1202.79
341,863.33,791.64
342,596.54,692.89
343,596.54,692.89
344,596.54,692.89
345,1750.00,1426.18
346,1076.00,1289.61
347,1075.00,1364.17
348,1438.89,1871.7
349,1076.00,1289.61
350,2213.57,1570.34
351,2000.00,1785.15
352,253.81,563.12
353,3083.33,2546.41
354,2098.95,1885.46
355,889.88,1392.9
356,1947.92,1540.64
357,537.69,782.43
358,1738.46,1630.1
359,2461.54,1851.45
360,2307.69,2015.87
361,933.96,2137.97
362,2961.54,2503.42
363,1519.84,2280.02
364,2571.43,2697.67
365,2231.40,2319.27
366,1793.33,1636.2
367,1715.85,2383.11
368,2500.00,2245.56
369,653.85,720.88
370,118.25,27.64
371,2065.70,1135.97
372,117.19,454.69
373,173.67,213.69
374,213.31,-17.43
375,1236.36,1217.27
376,780.70,809.57
377,665.83,780.63
378,185.29,60.41
379,720.00,999.56
380,869.13,613.64
381,1000.00,1569.94
382,2345.45,2162.99
383,686.67,1045.78
384,1961.54,1928.4
385,1205.29,1727.44
386,2318.18,2210.1
387,2232.67,2144.65
388,1395.42,1873.19
389,232.88,1190.03
390,2920.21,1800.52
391,2584.27,2371.78
392,1395.42,1873.19
393,515.87,616.79
394,757.83,688.96
395,821.74,1313.51
396,2100.00,1891.19
397,405.22,1354.68
398,821.74,1313.51
399,2153.85,1857.2
400,2375.00,2577.81
401,1544.44,1928.87
402,211.17,321.5
403,890.00,1154.38
404,1336.63,1311.69
405,448.47,160.98
406,555.00,2895.92
407,1468.75,980.5
408,899.67,2600.89
409,1300.00,1877.71
