offer_id,offer_type,property_type,area,condition,agency,office_city
JuLecgRv95A,sale,"3-room apartment",107,"fully renovated","RES GROUP, s.r.o.",Žilina
JuzjcjA88fI,rent,"2-room apartment",62,"fully renovated","Fortio Popper s.r.o.",Bytča
JuR9IQwr1DX,rent,"3-room apartment",68,"new construction","MGM reality",Žilina
JueQeTeryjC,rent,"4-room apartment",90,"fully renovated",NULL,NULL
JufbBHYx-coz,sale,"1-room apartment",60,"new construction","AstonReal s.r.o.","Banská Bystrica"
JusEglMU0v8,sale,"3-room apartment",69,unrenovated,"HD reality group s.r.o","Banská Bystrica"
JuHU9WStTAs,sale,"3-room apartment",80,"fully renovated","B10 Slovensko, a. s.",Žilina
Ju-48631_aJ,sale,"3-room apartment",63,unrenovated,"RK Dalmia s. r. o.","Dolný Kubín"
JujzGN4k6bn,rent,"2-room apartment",65,"fully renovated","Reality Alpia",Martin
JuyUZh4v08L,rent,"2-room apartment",49,"new construction",NULL,NULL
Ju9d7v-lee8,sale,"3-room apartment",106,"new construction","OREA, s.r.o.","Dolný Kubín"
JuvALHP6cN9,sale,"2-room apartment",56,"partially renovated","Safe reality s. r. o.",Žilina
Ju8a3kcGYvG,rent,"2-room apartment",50,"new construction","FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jue47kLBSm8,sale,"3-room apartment",202,"new construction","Vianema s.r.o.",Bratislava
JucquL8E-bM,rent,"3-room apartment",NULL,"fully renovated",NULL,NULL
Jui14FUG-ZO,sale,"3-room apartment",76,"partially renovated","TUreality s.r.o.",Žilina
JuTiIF5zkxo3,rent,"2-room apartment",65,"fully renovated","VAŠA REALITKA s.r.o.",Ružomberok
JuFpZug_t62,sale,"1-room apartment",31,"new construction","TRI LIPY, s. r. o.",Čadca
JuUnWH-g8Yz,sale,"3-room apartment",109,"new construction","Realitné kancelárie SR",Bratislava
JuUCL8fPL9h,rent,"studio apartment",36,"fully renovated","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuV8a82JG_s,sale,"4-room apartment",101,"new construction",NULL,NULL
JuvjDSTvTKy,sale,"2-room apartment",45,"fully renovated","GAMA Reality, s.r.o.",Bytča
Ju3gs_noUEz,rent,"2-room apartment",45,"new construction",NULL,NULL
JuXcyij9eMf_,sale,"3-room apartment",67,"new construction","Financial Hotels Management, s.r.o.",Žilina
JufYiP4E7Es,sale,"3-room apartment",75,"partially renovated","ROMDOM, s. r. o",Žilina
JuKkjtqN4VW,sale,"2-room apartment",56,"fully renovated","RE/MAX Slovakia",Bratislava
JuH-SEIASle,sale,"3-room apartment",69,"under construction","ODEKO manažment s.r.o.",Žilina
Ju_IBACCGzT,rent,"2-room apartment",66,"partially renovated","Vianema s.r.o.",Bratislava
Ju_7fjs1rDI,sale,"2-room apartment",28,"new construction","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuO3IQpQk2Q,sale,"2-room apartment",57,"fully renovated","SLNOVRAT, s.r.o.",Olešná
JukCOBdi-HG,sale,"3-room apartment",83,"fully renovated","RIEŠIME BÝVANIE",Bratislava
JuatrleUyRX,rent,"3-room apartment",78,"partially renovated","AstonReal s.r.o.","Banská Bystrica"
JuqBZCEixbC,rent,"2-room apartment",52,"new construction","Reality Alpia",Martin
JuCuiefKh4P,sale,"4-room apartment",83,unrenovated,Reality+,Žilina
JucFUY5N5xW,sale,"3-room apartment",80,"partially renovated","TARGETreal s. r. o.",Žilina
JuSPwAqNDjb,sale,"2-room apartment",44,"new construction","OREA, s.r.o.","Dolný Kubín"
JujrtOK9Ltj,sale,"3-room apartment",82,unrenovated,"Safe reality s. r. o.",Žilina
Ju2TzdFfXkg,sale,"2-room apartment",60,"partially renovated","Renovo Reality",Žilina
JuVO5WLrTZ3,sale,"2-room apartment",60,"partially renovated","Safe reality s. r. o.",Žilina
JuC08OMa82u,sale,"4-room apartment",163,"new construction","RIEŠIME BÝVANIE",Bratislava
Jupw1bQT1Jh,sale,"3-room apartment",89,"new construction","Reinoo a.s.",Žilina
JuFqSi2fYOk,sale,"2-room apartment",53,"fully renovated","HOLESTIAK.sk reality s.r.o.",Čadca
JunnFbGwfA5,rent,"2-room apartment",60,"partially renovated","Wealth Group, s.r.o.","Nová Dedinka"
JuFv7NTgqug,sale,"holiday apartment",46,"fully renovated","Ing. Gerlinda Bérešová - Esti",Žilina
JuxZgQdKO7u,sale,"2-room apartment",45,"new construction","PRIMA reality s.r.o.",Žilina
Ju0iFsZ1mnv,sale,"2-room apartment",38,"new construction","Bosen Group s.r.o.",Bratislava
JuN4KXjUyk-,sale,"4-room apartment",105,"new construction","JPE. Reality - Jozef Pajer",Čadca
JuWV1dgtiBd,sale,"holiday apartment",22,"new construction","Reality Alpia",Martin
Judmv08qh2A,sale,"4-room apartment",120,unrenovated,"RIEŠIME BÝVANIE",Bratislava
JugXYWqkt4N,rent,"1-room apartment",30,"partially renovated","Reality ASTORIA, s.r.o.",Martin
JuqvNgpYqrd,rent,"1-room apartment",40,"fully renovated","OREA, s.r.o.","Dolný Kubín"
Ju_Lr-2Vc09,sale,"1-room apartment",51,"partially renovated","TUreality s.r.o.",Žilina
JubDtFpPZPz,sale,"holiday apartment",37,"under construction","Reality MT s.r.o.",Martin
Ju46Wlvz4BP,sale,"2-room apartment",63,"new construction","Trioreality, s.r.o.",Čadca
Jus8fVVapj9,sale,"3-room apartment",97,"under construction","CANGURU s.r.o.","Rajecké Teplice"
JurldwLKNhM,sale,"1-room apartment",36,"fully renovated","A-Byt Consult, s.r.o.",Ružomberok
JulollxgJp5,sale,"2-room apartment",71,"under construction","CANGURU s.r.o.","Rajecké Teplice"
JupBjnV0coU,sale,"3-room apartment",85,"fully renovated","1. Reality Rent, s.r.o.",Žilina
JuqAM-ZO9ir,sale,"2-room apartment",55,"new construction",NULL,NULL
Ju5VjRRX_4J,sale,"3-room apartment",NULL,"partially renovated",NULL,NULL
Juarr5O2upK,sale,"1-room apartment",94,"under construction","Istrofinal, s. r. o.",Žilina
JuXRtZdfweI,sale,"4-room apartment",85,"partially renovated","Reality Center, s.r.o.",Martin
JuNZupA7Ru4,sale,"2-room apartment",52,"new construction","ŽILINAREAL, s.r.o.",Žilina
JuA8-pf41pn,rent,"3-room apartment",83,"fully renovated","Reality Alpia",Martin
JumbMyGo4iI,sale,"2-room apartment",58,"fully renovated","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuaCjfZIx81,sale,"2-room apartment",48,"under construction","ODEKO manažment s.r.o.",Žilina
JuUnD0myJmK,sale,"2-room apartment",62,"partially renovated","Piata Avenue",Žilina
JuIP59md355,sale,"4-room apartment",102,"under construction","ODEKO manažment s.r.o.",Žilina
JuIh9K2txJ3,sale,"3-room apartment",144,"new construction","BeMi realitná kancelária",Nitra
Jub5nNi4yTF,sale,"2-room apartment",62,"partially renovated","RIEŠIME BÝVANIE",Bratislava
Juqj8-BDIgQ,sale,"3-room apartment",122,"new construction","OREA, s.r.o.","Dolný Kubín"
JuQfQh_4sSF,sale,"2-room apartment",84,"new construction","MGM reality",Žilina
JujYXXx5gXi,sale,"3-room apartment",169,"new construction",NULL,NULL
JuxBkaifl6df,rent,"holiday apartment",42,"new construction","Reality Alpia",Martin
JugTLMsHTVi,sale,"2-room apartment",52,unrenovated,"B10 Slovensko, a. s.",Žilina
Jul7be3Lkz5,sale,"holiday apartment",26,"new construction","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuPT1z2mBzV,sale,"1-room apartment",36,"partially renovated","R2 SK, s.r.o.",Žilina
Ju4hZgzLszu,sale,"2-room apartment",62,"partially renovated",NULL,NULL
JuKlHRPhAEF,sale,"2-room apartment",57,"fully renovated","HALO reality, s.r.o.",Prievidza
JuvFESSKGWN,sale,"3-room apartment",86,"partially renovated","Reality D.P.A.",Martin
JusgW9odCAS,sale,"4-room apartment",107,unrenovated,Time4dreams,Nitra
Juvk9S_5ltU,sale,"2-room apartment",54,unrenovated,NULL,NULL
JunBqR0DBP9,rent,"2-room apartment",50,"new construction",NULL,NULL
JuDCMQupxo0,sale,"2-room apartment",59,"partially renovated","TUreality s.r.o.",Žilina
JufAeKZk5m-,sale,"2-room apartment",55,"partially renovated","Direct Real, spol. s r.o.",Bratislava
JuNguQDV0Zn,sale,"2-room apartment",52,"fully renovated","Direct Real, spol. s r.o.",Bratislava
JuKOtZwcbir-,sale,"holiday apartment",28,"fully renovated","Reality Alpia",Martin
JuMm4AW_gBf,sale,"5+ room apartment",150,"partially renovated","Reality IQ, s.r.o.",Žilina
JuSYwKOlQ-6,sale,"3-room apartment",NULL,"new construction","Nové bývanie",Nitra
JuZqtWo-t_S,sale,"holiday apartment",29,"new construction","Prvá Realitná Kancelária, s.r.o.",Bratislava
JuJCzmrTicR,sale,"2-room apartment",40,"new construction",NULL,NULL
JumsfvMXhg-,sale,"3-room apartment",67,unrenovated,"Direct Real, spol. s r.o.",Bratislava
JuymkoAFG_6,sale,"2-room apartment",60,unrenovated,"HOLESTIAK.sk reality s.r.o.",Čadca
JucOec67NRR,sale,"1-room apartment",33,unrenovated,"Vianema s.r.o.",Bratislava
JuyOHLJxsdS,sale,"3-room apartment",64,"fully renovated","Local reality s. r. o.",Malinovo
Ju_yl2A922o,sale,"2-room apartment",57,unrenovated,NULL,NULL
JuDoLB83xqT,sale,"3-room apartment",78,unrenovated,"HALO reality, s.r.o.",Prievidza
JuQvJ7BykSU,sale,"2-room apartment",49,unrenovated,"WFG reality, s.r.o.",Žilina
JucOhPXEpxa,rent,"2-room apartment",71,"partially renovated",NULL,NULL
JuFqVxR2Rua,rent,"2-room apartment",48,"new construction","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuLEeBcqSvN,rent,"2-room apartment",50,"fully renovated","Fortio Popper s.r.o.",Bytča
JuHLqjLk9w7,sale,"2-room apartment",63,"fully renovated","1. Reality Rent, s.r.o.",Žilina
Juhlf1Su_tu,sale,"studio apartment",34,"partially renovated","RIEŠIME BÝVANIE",Bratislava
Ju4aGAgIjVo,sale,"3-room apartment",80,"partially renovated","LIF REAL",Martin
JuHC3L7PHAo,rent,"studio apartment",15,"partially renovated","RE/MAX Slovakia",Bratislava
