offer_id,price_m2,property_type,condition,location_district,location_area,agency,price_index
JuSSppam0PC,3949.04,"1-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto","TATRA CITY RESIDENCE s. r. o.",0.1849
JufbBHYx-coz,2716.67,"1-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto","AstonReal s.r.o.",-0.1849
JuHzNQ7Qr-d,1820.09,"3-room apartment",unrenovated,"okres Martin",Jahodníky,"Realitná kancelária",-0.0356
JujdOeJ69tb,1828.95,"3-room apartment",unrenovated,"okres Martin",Jahodníky,"Realitná kancelária",-0.0309
JusEglMU0v8,2013.04,"3-room apartment",unrenovated,"okres Martin",Jahodníky,"HD reality group s.r.o",0.0666
JuauSxK_Grt,2076.92,"3-room apartment",unrenovated,"okres Dolný Kubín","Veľký Bysterec","TUreality s.r.o.",0.0095
Ju-48631_aJ,2037.91,"3-room apartment",unrenovated,"okres Dolný Kubín","Veľký Bysterec","RK Dalmia s. r. o.",-0.0095
JuIG-Ap8rLX,2561.18,"3-room apartment","new construction","okres Tvrdošín",Zuberec,"OREA, s.r.o.",-0.0260
Ju9d7v-lee8,2698.11,"3-room apartment","new construction","okres Tvrdošín",Zuberec,"OREA, s.r.o.",0.0260
JuVO5WLrTZ3,2165.00,"2-room apartment","partially renovated","okres Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",-0.0610
JuvALHP6cN9,2446.43,"2-room apartment","partially renovated","okres Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",0.0610
JuJvNTKAcv8,3685.71,"1-room apartment","new construction","okres Kysucké Nové Mesto",Kamence,"MG real, s.r.o.",-0.0114
JuFpZug_t62,3770.97,"1-room apartment","new construction","okres Kysucké Nové Mesto",Kamence,"TRI LIPY, s. r. o.",0.0114
JuEvHi31Kuc,2708.33,"3-room apartment","new construction","okres Žilina","Staré mesto","Realitná kancelária RED, s.r.o.",-0.2060
JubD2pJKl5g,4979.18,"3-room apartment","new construction","okres Žilina","Staré mesto","Financial Hotels Management, s.r.o.",0.4598
JuV4el-7B8H,3463.69,"3-room apartment","new construction","okres Žilina","Staré mesto","Financial Hotels Management, s.r.o.",0.0155
JuBT9IU3F1g,3682.75,"3-room apartment","new construction","okres Žilina","Staré mesto","KORSO Project, s.r.o.",0.0797
JuuIsQ7Faa3,2500.00,"3-room apartment","new construction","okres Žilina","Staré mesto",NULL,-0.2670
JuXnw8EKWYI,3376.34,"3-room apartment","new construction","okres Žilina","Staré mesto","RS Mansory s.r.o.",-0.0101
JujYXXx5gXi,3223.45,"3-room apartment","new construction","okres Žilina","Staré mesto",NULL,-0.0549
JuXcyij9eMf_,4302.34,"3-room apartment","new construction","okres Žilina","Staré mesto","Financial Hotels Management, s.r.o.",0.2614
JuUnWH-g8Yz,2461.12,"3-room apartment","new construction","okres Žilina","Staré mesto","Realitné kancelárie SR",-0.2784
JucmQgleApT,3518.45,"4-room apartment","new construction","okres Žilina","Staré mesto","KORSO Project, s.r.o.",0.0029
JuT4OhvaBo8,3459.31,"4-room apartment","new construction","okres Žilina","Staré mesto",NULL,-0.0140
JupURRP8axF,3323.81,"4-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",-0.0526
JufGDO__GbO,3629.54,"4-room apartment","new construction","okres Žilina","Staré mesto","KORSO Project, s.r.o.",0.0345
JuV8a82JG_s,3560.27,"4-room apartment","new construction","okres Žilina","Staré mesto",NULL,0.0148
Jus2f1I5Shb,2426.47,"3-room apartment","partially renovated","okres Žilina",Hliny,"MGM reality",0.0025
JuFNpzHutiG,2569.23,"3-room apartment","partially renovated","okres Žilina",Hliny,"TUreality s.r.o.",0.0615
JufYiP4E7Es,2265.33,"3-room apartment","partially renovated","okres Žilina",Hliny,"ROMDOM, s. r. o",-0.0640
Jukzit6pFoZ,2711.36,"2-room apartment","fully renovated","okres Martin",Stred,"Constario REALTY s.r.o.",0.0465
JuNO1HdGb3E,3054.55,"2-room apartment","fully renovated","okres Martin",Stred,"Buby reality, s.r.o.",0.1790
Jubh97mv2uS,2220.83,"2-room apartment","fully renovated","okres Martin",Stred,"RE/MAX Slovakia",-0.1428
JuMBGx19jQm,2727.09,"2-room apartment","fully renovated","okres Martin",Stred,"RE/MAX Slovakia",0.0526
JuT7xzp7Ax-,2313.88,"2-room apartment","fully renovated","okres Martin",Stred,AZUR.RE,-0.1069
JuDJ_hnDscM,2331.67,"2-room apartment","fully renovated","okres Martin",Stred,"Realitná kancelária",-0.1000
JuL3MT7o1WL,2331.67,"2-room apartment","fully renovated","okres Martin",Stred,"Realitná kancelária",-0.1000
JuKkjtqN4VW,3035.54,"2-room apartment","fully renovated","okres Martin",Stred,"RE/MAX Slovakia",0.1717
JuxFFLySNPg,3440.72,"3-room apartment","under construction","okres Ružomberok",Roveň,"ODEKO manažment s.r.o.",0.1562
JuyticuaW7A,2746.48,"3-room apartment","under construction","okres Ružomberok",Roveň,"ODEKO manažment s.r.o.",-0.0771
JuH-SEIASle,2964.40,"3-room apartment","under construction","okres Ružomberok",Roveň,"ODEKO manažment s.r.o.",-0.0039
JudIm98MNcc,2549.28,"3-room apartment","fully renovated","okres Žilina",Vlčince,"Realitná kancelária RED, s.r.o.",-0.1159
Jun79Tn_Ep0,3507.46,"3-room apartment","fully renovated","okres Žilina",Vlčince,"KRALIKOVA reality",0.2164
JuFvtb1f76m,3041.67,"3-room apartment","fully renovated","okres Žilina",Vlčince,NULL,0.0548
JupEyEEjkVM,2549.28,"3-room apartment","fully renovated","okres Žilina",Vlčince,"Jacek reality s. r. o.",-0.1159
JukCOBdi-HG,2769.88,"3-room apartment","fully renovated","okres Žilina",Vlčince,"RIEŠIME BÝVANIE",-0.0394
JujVD_-rIKd,3637.50,"2-room apartment","new construction","okres Ružomberok",Hrabovo,NULL,-0.0174
JuSPwAqNDjb,4137.93,"2-room apartment","new construction","okres Ružomberok",Hrabovo,"OREA, s.r.o.",0.1177
JuAFSeapxAr,3049.00,"4-room apartment","new construction","okres Žilina",Hájik,"ODEKO manažment s.r.o.",0.1623
Ju6Co8ebtz8,2557.25,"4-room apartment","new construction","okres Žilina",Hájik,"B10 Slovensko, a. s.",-0.0252
JuC08OMa82u,2263.80,"4-room apartment","new construction","okres Žilina",Hájik,"RIEŠIME BÝVANIE",-0.1371
JuzpWPdpylQ,2883.48,"3-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",-0.0925
JuhnGApypwY,3076.09,"3-room apartment","new construction","okres Žilina",Vlčince,NULL,-0.0318
JuWNJll5MyrA,3210.29,"3-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",0.0104
Jul8pXByFOl,3472.83,"3-room apartment","new construction","okres Žilina",Vlčince,NULL,0.0930
JuCKdo4C-vu,2951.36,"3-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",-0.0711
JuluCbW3ZHE,3357.08,"3-room apartment","new construction","okres Žilina",Vlčince,"HMS Services, a. s.",0.0566
Ju7XXF2jsra,3621.21,"3-room apartment","new construction","okres Žilina",Vlčince,"Realitná kancelária RED, s.r.o.",0.1397
JueIY5hIK7c,3631.29,"3-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",0.1429
Ju35wiOj2hS,2872.24,"3-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",-0.0960
Jun_e5pu1kO,2928.24,"3-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",-0.0784
Jupw1bQT1Jh,2946.01,"3-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",-0.0728
Ju300FaVEg0,1630.38,"holiday apartment","fully renovated","okres Čadca",Makov,"Ing. Gerlinda Bérešová - Esti",-0.0066
JuFv7NTgqug,1652.17,"holiday apartment","fully renovated","okres Čadca",Makov,"Ing. Gerlinda Bérešová - Esti",0.0066
