offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index,area_price_index,area_category
JuSSppam0PC,"TATRA CITY RESIDENCE s. r. o.","1-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Staré mesto",1,2,3949.04,3332.855000,0.1848820306,0.0192597764,average
JufbBHYx-coz,"AstonReal s.r.o.","1-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Staré mesto",1,2,2716.67,3332.855000,-0.1848820306,0.0192597764,average
JusEglMU0v8,"HD reality group s.r.o","3-room apartment",apartment,unrenovated,"okres Martin",Jahodníky,1,3,2013.04,1887.360000,0.0665903696,0.0967590975,average
Ju-48631_aJ,"RK Dalmia s. r. o.","3-room apartment",apartment,unrenovated,"okres Dolný Kubín","Veľký Bysterec",1,2,2037.91,2057.415000,-0.0094803431,-0.0414252883,average
JuFpZug_t62,"TRI LIPY, s. r. o.","1-room apartment",apartment,"new construction","okres Kysucké Nové Mesto",Kamence,1,2,3770.97,3728.340000,0.0114340430,-0.0370425050,average
JuXnw8EKWYI,"RS Mansory s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,9,3376.34,3410.800000,-0.0101032016,0.2523570386,expensive
JuXcyij9eMf_,"Financial Hotels Management, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,9,4302.34,3410.800000,0.2613873578,0.2523570386,expensive
JuV4el-7B8H,"Financial Hotels Management, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,9,3463.69,3410.800000,0.0155066260,0.2523570386,expensive
JubD2pJKl5g,"Financial Hotels Management, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,9,4979.18,3410.800000,0.4598276064,0.2523570386,expensive
JuUnWH-g8Yz,"Realitné kancelárie SR","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,9,2461.12,3410.800000,-0.2784332121,0.2523570386,expensive
Jus2f1I5Shb,"MGM reality","3-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,3,2426.47,2420.343333,0.0025313215,0.1148469549,expensive
JuFNpzHutiG,"TUreality s.r.o.","3-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,3,2569.23,2420.343333,0.0615146888,0.1148469549,expensive
JufYiP4E7Es,"ROMDOM, s. r. o","3-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,3,2265.33,2420.343333,-0.0640460099,0.1148469549,expensive
