variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,2568.7736,70.6298,36.3695,0.0,2430.1686,2707.3787
holiday_apartment,846.9981,85.5008,9.9063,0.0,679.21,1014.7863
area,-7.5702,0.917,-8.2556,0.0,-9.3697,-5.7707
rooms,-118.0697,32.8598,-3.5931,0.0003,-182.5542,-53.5851
unrenovated,39.0849,63.9011,0.6116,0.5409,-86.3156,164.4854
partially_renovated,170.234,55.6719,3.0578,0.0023,60.9826,279.4854
fully_renovated,379.3705,50.0121,7.5856,0.0,281.2261,477.5149
new_construction,698.4069,45.2346,15.4397,0.0,609.6378,787.176
new_project,1281.6773,71.6012,17.9002,0.0,1141.1661,1422.1886
floor_upto_8,57.2017,13.8726,4.1234,0.0,29.9778,84.4255
elevator,170.9427,54.7601,3.1217,0.0019,63.4807,278.4048
age,-2.2691,1.1583,-1.959,0.0504,-4.5422,0.004
north,-256.1748,88.9861,-2.8788,0.0041,-430.8025,-81.5472
south,-91.7474,93.1169,-0.9853,0.3247,-274.4814,90.9865
east,-80.9007,75.8171,-1.0671,0.2862,-229.6854,67.884
west,-90.6259,75.5712,-1.1992,0.2307,-238.9279,57.6762
BY,45.9024,163.2008,0.2813,0.7786,-274.3653,366.1701
ZA,348.1937,61.1089,5.6979,0.0,228.2727,468.1148
KM,81.7961,105.8068,0.7731,0.4397,-125.8408,289.4331
CA,151.3843,96.3934,1.5705,0.1166,-37.7797,340.5482
MT,-30.0813,62.0977,-0.4844,0.6282,-151.9428,91.7801
TR,472.1369,215.8717,2.1871,0.029,48.507,895.7668
DK,470.0865,114.1854,4.1169,0.0,246.0074,694.1656
NO,185.6979,196.2441,0.9463,0.3443,-199.4144,570.8102
TS,260.399,154.666,1.6836,0.0926,-43.12,563.918
RK,133.6125,74.627,1.7904,0.0737,-12.8366,280.0617
LM,449.6457,63.706,7.0581,0.0,324.6281,574.6633
area_price_index,19.8666,1.0468,18.9789,0.0,17.8124,21.9208
