variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,3545.1712,128.0026,27.6961,0,3293.8586,3796.4838
ln_house_area,-577.5589,29.5124,-19.57,0,-635.5017,-519.616
land_area,0.1305,0.0156,8.3459,0,0.0998,0.1612
unrenovated,328.6121,53.1647,6.181,0,224.2317,432.9925
partially_renovated,443.186,56.0419,7.9081,0,333.1566,553.2153
fully_renovated,860.1252,59.9263,14.353,0,742.4694,977.7809
new_construction,1053.1995,45.6776,23.0572,0,963.5188,1142.8802
in_development,860.0485,87.3403,9.8471,0,688.5697,1031.5272
age,-3.4978,0.7986,-4.3802,0,-5.0657,-1.93
flat,43.6099,47.0557,0.9268,0.3544,-48.7764,135.9962
sloped,-177.9035,59.4197,-2.994,0.0028,-294.5645,-61.2425
BY,241.1857,93.5718,2.5775,0.0102,57.4725,424.899
ZA,415.0837,55.7234,7.449,0,305.6797,524.4876
KM,328.2384,110.2063,2.9784,0.003,111.8661,544.6107
CA,222.1532,61.693,3.6009,0.0003,101.0289,343.2774
MT,323.7747,56.2493,5.7561,0,213.3383,434.2112
TR,187.3621,84.3614,2.2209,0.0267,21.732,352.9922
DK,426.4999,120.492,3.5397,0.0004,189.9332,663.0666
NO,304.6056,164.354,1.8534,0.0643,-18.0771,627.2883
TS,279.8433,181.4166,1.5425,0.1234,-76.339,636.0257
RK,358.6612,63.823,5.6196,0,233.3549,483.9674
LM,457.7634,61.0205,7.5018,0,337.9594,577.5674
area_price_index,9.0625,0.8266,10.9638,0,7.4397,10.6854
