variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,265.8402,19.9292,13.3392,0,226.7166,304.9638
ln_area,-26.1825,2.9499,-8.8758,0,-31.9735,-20.3915
flat,-4.6727,5.4718,-0.854,0.3934,-15.4146,6.0691
sloped,-2.8037,5.657,-0.4956,0.6203,-13.9091,8.3017
BY,28.9906,9.6779,2.9956,0.0028,9.9917,47.9895
ZA,53.4107,6.4169,8.3234,0,40.8134,66.008
KM,-1.1617,10.3505,-0.1122,0.9107,-21.4811,19.1576
CA,10.5287,7.0791,1.4873,0.1374,-3.3686,24.4259
MT,34.4078,7.0443,4.8845,0,20.5789,48.2366
TR,12.2042,11.2322,1.0865,0.2776,-9.8461,34.2544
DK,23.2494,9.7549,2.3834,0.0174,4.0993,42.3996
NO,29.6261,12.6788,2.3367,0.0197,4.736,54.5161
TS,28.6401,40.3733,0.7094,0.4783,-50.6179,107.8981
RK,20.0841,11.706,1.7157,0.0866,-2.8962,43.0644
LM,25.8603,7.4076,3.4911,0.0005,11.3183,40.4022
area_price_index,1.0739,0.087,12.3407,0,0.9031,1.2447
