variable,coef,std_err,t,p_value,ci_lower,ci_upper
const,11.6772,0.2773,42.1088,0.0,11.1319,12.2225
rooms,-1.1782,0.1565,-7.5271,0.0,-1.486,-0.8704
area,-0.0405,0.0061,-6.6472,0.0,-0.0524,-0.0285
unrenovated,1.8377,0.3621,5.0747,0.0,1.1256,2.5497
partially_renovated,2.3727,0.2269,10.4564,0.0,1.9265,2.8188
fully_renovated,3.4575,0.1793,19.2807,0.0,3.1049,3.8101
new_construction,4.0094,0.1897,21.1335,0.0,3.6364,4.3824
BY,0.5278,0.4292,1.2297,0.2196,-0.3162,1.3718
ZA,1.3551,0.3274,4.1393,0.0,0.7114,1.9988
KM,0.6528,0.4543,1.4369,0.1516,-0.2405,1.5461
CA,0.3427,0.3965,0.8643,0.3879,-0.4369,1.1224
MT,0.7494,0.2797,2.6795,0.0077,0.1995,1.2993
TR,4.9049,1.7808,2.7543,0.0062,1.4032,8.4066
DK,1.1136,0.4226,2.6352,0.0088,0.2827,1.9446
NO,0.0842,0.5815,0.1448,0.8849,-1.0592,1.2277
RK,0.8863,1.0046,0.8822,0.3782,-1.0891,2.8617
LM,1.0603,0.3473,3.0526,0.0024,0.3773,1.7433
area_rent_index,0.0802,0.011,7.2976,0.0,0.0586,0.1018
