location_district,location_area,latitude,longitude
"okres Čadca",Blažkov,49.3742,18.8433
"okres Čadca",Centrum,49.4392,18.7866
"okres Čadca","Dlhá nad Kysucou",49.3909,18.638
"okres Čadca",Dunajov,49.3604,18.8214
"okres Čadca",Hlinené,49.425,18.6299
"okres Čadca",Horelica,49.425,18.8172
"okres Čadca",Husárikovci,49.4127,18.7766
"okres Čadca",Kalinov,49.3979,18.851
"okres Čadca",Klokočov,49.4522,18.5697
"okres Čadca",Klubina,49.3577,18.8929
"okres Čadca",Korňa,49.4136,18.5555
"okres Čadca",Kyzkovci,49.4343,18.7637
"okres Čadca",Kyčerka,49.4321,18.7709
"okres Čadca",Makov,49.3709,18.4799
"okres Čadca",Milošová,49.4841,18.7349
"okres Čadca","Nová Bystrica",49.3443,19.0073
"okres Čadca",Olešná,49.4408,18.6557
"okres Čadca",Oščadnica,49.4366,18.8831
"okres Čadca",Podvysoká,49.4133,18.6659
"okres Čadca",Podzávoz,49.4617,18.7703
"okres Čadca",Predmier,49.4144,18.5989
"okres Čadca",Radôstka,49.3275,18.9422
"okres Čadca",Raková,49.4419,18.7333
"okres Čadca",Rieka,49.4198,18.7856
"okres Čadca",Skalité,49.4962,18.9181
"okres Čadca","Stará Bystrica",49.3472,18.9402
"okres Čadca",Staškov,49.4214,18.6899
"okres Čadca","Krásno nad Kysucou",49.396,18.8325
"okres Čadca",Svrčinovec,49.4807,18.7935
"okres Čadca","Sídlisko 3",49.4381,18.7772
"okres Čadca",Turkov,49.3891,18.631
"okres Čadca","U Hluška",49.4359,18.7758
"okres Čadca","U Siheľníka",49.4414,18.7596
"okres Čadca","Vysoká nad Kysucou",49.3805,18.5455
"okres Čadca","Zborov nad Bystricou",49.3804,18.8851
"okres Čadca",Zákopčie,49.4067,18.7288
"okres Čadca",Závodie,49.3946,18.6155
"okres Čadca",Čadečka,49.4537,18.7834
"okres Čadca",Čierne,49.4934,18.8186
"okres Čadca",Škrabákovci,49.4214,18.7606
"okres Čadca",Žarec,49.4311,18.7902
"okres Dolný Kubín",Banisko,49.1991,19.3057
"okres Dolný Kubín",Brezovec,49.2146,19.3055
"okres Dolný Kubín","Dlhá nad Oravou",49.2662,19.444
"okres Dolný Kubín","Horná Lehota",49.2545,19.4033
"okres Dolný Kubín",Istebné,49.2114,19.2216
"okres Dolný Kubín",Jasenová,49.1762,19.2959
"okres Dolný Kubín",Kraľovany,49.1519,19.1297
"okres Dolný Kubín","Kubínska hoľa",49.2497,19.2715
"okres Dolný Kubín",Leštiny,49.1897,19.3486
"okres Dolný Kubín",Malatiná,49.1867,19.4315
"okres Dolný Kubín","Malý Bysterec",49.2138,19.272
"okres Dolný Kubín","Medzibrodie nad Oravou",49.2339,19.343
"okres Dolný Kubín",Medzihradné,49.2039,19.3111
"okres Dolný Kubín",Mokraď,49.2356,19.3064
"okres Dolný Kubín","Oravská Poruba",49.1945,19.2663
"okres Dolný Kubín","Oravský Podzámok",49.2621,19.3568
"okres Dolný Kubín",Osádka,49.1841,19.3834
