location_district,location_area,agency,count,rank_no
"okres Bytča","Bytča - sever","ADH-REAL s.r.o. Hirjaková Adriana",3,1
"okres Bytča","Bytča - sever","Realitné kancelárie SR",1,2
"okres Bytča","Bytča - sever","RIEŠIME BÝVANIE",1,3
"okres Bytča","Bytča - sever","MGM reality",1,4
"okres Bytča","Bytča - sever","Reality IQ, s.r.o.",1,5
"okres Bytča","Hlboké nad Váhom","TOCA, s.r.o. Realitná činnosť",5,1
"okres Bytča","Hlboké nad Váhom","DRR INVEST, s. r. o.",1,2
"okres Bytča","Hlboké nad Váhom","1. Reality Rent, s.r.o.",1,3
"okres Bytča","Hlboké nad Váhom","TUreality s.r.o.",1,4
"okres Bytča","Hlboké nad Váhom","ŽILINAREAL, s.r.o.",1,5
"okres Bytča","Hlboké nad Váhom","RADO Reality",1,6
"okres Bytča","Hlboké nad Váhom","Reality Alpia",1,7
"okres Bytča","Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",14,1
"okres Bytča","Hliník nad Váhom","Realitné kancelárie SR",1,2
"okres Bytča","Hliník nad Váhom","Stanislav Motyčík - MK",1,3
"okres Bytča","Hliník nad Váhom","Realitná kancelária RED, s.r.o.",1,4
"okres Bytča","Hliník nad Váhom","House Real Žilina",1,5
"okres Bytča","Hliník nad Váhom","Romantické Chalupy, s.r.o.",1,6
"okres Bytča","Hliník nad Váhom","JKV REAL",1,7
"okres Bytča",Hvozdnica,"TUreality s.r.o.",1,1
"okres Bytča",Hvozdnica,"GAMA Reality, s.r.o.",1,2
"okres Bytča",Jablonové,"Realitná kancelária",1,1
"okres Bytča",Jablonové,"Nové bývanie",1,2
"okres Bytča",Jablonové,"Real Estate Group4U",1,3
"okres Bytča",Jablonové,"RS Mansory s.r.o.",1,4
"okres Bytča",Kolárovice,"Romantické Chalupy, s.r.o.",1,1
"okres Bytča",Kolárovice,"1. Reality Rent, s.r.o.",1,2
"okres Bytča",Kolárovice,"RS Mansory s.r.o.",1,3
"okres Bytča",Kolárovice,"Reality IQ, s.r.o.",1,4
"okres Bytča",Kolárovice,"B10 Slovensko, a. s.",1,5
"okres Bytča",Kolárovice,"Safe reality s. r. o.",1,6
"okres Bytča",Kotešová,"TOCA, s.r.o. Realitná činnosť",3,1
"okres Bytča",Kotešová,"TARGETreal s. r. o.",2,2
"okres Bytča",Kotešová,"RIEŠIME BÝVANIE",2,3
"okres Bytča",Kotešová,"Safe reality s. r. o.",1,4
"okres Bytča",Kotešová,"Realitné kancelárie SR",1,5
"okres Bytča",Kotešová,"Realitná kancelária",1,6
"okres Bytča",Kotešová,"Reality Alpia",1,7
"okres Bytča",Maršová-Rašov,"Realitná kancelária RED, s.r.o.",1,1
"okres Bytča",Maršová-Rašov,"ŽILINAREAL, s.r.o.",1,2
"okres Bytča",Maršová-Rašov,"ADH-REAL s.r.o. Hirjaková Adriana",1,3
"okres Bytča",Maršová-Rašov,"RS Mansory s.r.o.",1,4
"okres Bytča",Petrovice,"Slovak Estate s.r.o.",1,1
"okres Bytča",Petrovice,"B10 Slovensko, a. s.",1,2
"okres Bytča",Petrovice,"RS Mansory s.r.o.",1,3
"okres Bytča",Petrovice,"Arvin & Benet",1,4
"okres Bytča",Predmier,"TOCA, s.r.o. Realitná činnosť",2,1
"okres Bytča",Predmier,"bezmaklérov, s.r.o.",1,2
"okres Bytča",Predmier,"Vianema s.r.o.",1,3
"okres Bytča",Predmier,"BeMi realitná kancelária",1,4
"okres Bytča",Pšurnovice,"TOCA, s.r.o. Realitná činnosť",4,1
"okres Bytča",Štiavnik,"Romantické Chalupy, s.r.o.",3,1
"okres Bytča",Štiavnik,"TUreality s.r.o.",3,2
"okres Bytča",Štiavnik,"R2 SK, s.r.o.",1,3
"okres Bytča",Štiavnik,"RIEŠIME BÝVANIE",1,4
"okres Bytča",Súľov-Hradná,"RIEŠIME BÝVANIE",1,1
"okres Bytča",Súľov-Hradná,"B10 Slovensko, a. s.",1,2
"okres Bytča",Súľov-Hradná,"RENOME REAL",1,3
"okres Bytča",Súľov-Hradná,"ELITE reality",1,4
"okres Bytča",Súľov-Hradná,"TOCA, s.r.o. Realitná činnosť",1,5
"okres Bytča","Thurzove sady","Realitná kancelária RED, s.r.o.",2,1
"okres Bytča","Thurzove sady","4FIN s.r.o.",1,2
"okres Bytča","Veľká Bytča","Fortio Popper s.r.o.",24,1
"okres Bytča","Veľká Bytča","PRIMA reality s.r.o.",3,2
"okres Bytča","Veľká Bytča","HALO reality, s.r.o.",1,3
"okres Bytča","Veľká Bytča","Realitné kancelárie SR",1,4
"okres Bytča","Veľká Bytča","WFG reality, s.r.o.",1,5
"okres Bytča","Veľká Bytča","B10 Slovensko, a. s.",1,6
"okres Bytča","Veľká Bytča","TOCA, s.r.o. Realitná činnosť",1,7
"okres Bytča","Veľké Rovné","Realitné kancelárie SR",3,1
"okres Bytča","Veľké Rovné","TARGETreal s. r. o.",3,2
"okres Bytča","Veľké Rovné","RIEŠIME BÝVANIE",3,3
"okres Bytča","Veľké Rovné","IDEÁLNE BÝVANIE, s.r.o.",2,4
"okres Bytča","Veľké Rovné","Reality Alpia",2,5
"okres Bytča","Veľké Rovné","RS Mansory s.r.o.",1,6
"okres Bytča","Veľké Rovné","B10 Slovensko, a. s.",1,7
"okres Bytča","Veľké Rovné","GAMA Reality, s.r.o.",1,8
"okres Bytča","Veľké Rovné","Romantické Chalupy, s.r.o.",1,9
"okres Bytča","Veľké Rovné","RENOME REAL",1,10
"okres Bytča","Veľké Rovné","SLNOVRAT, s.r.o.",1,11
"okres Bytča","Veľké Rovné","Realitná kancelária RED, s.r.o.",1,12
"okres Bytča","Veľké Rovné","StorkReal s. r. o.",1,13
"okres Bytča","Veľké Rovné","1. Reality Rent, s.r.o.",1,14
"okres Bytča","Veľké Rovné","Vianema s.r.o.",1,15
"okres Čadca",Blažkov,"Piata Avenue",2,1
"okres Čadca",Čadečka,"MENÍME BÝVANIE",1,1
"okres Čadca",Čadečka,"BeMi realitná kancelária",1,2
"okres Čadca",Centrum,"HOLESTIAK.sk reality s.r.o.",4,1
"okres Čadca",Centrum,"SLNOVRAT, s.r.o.",4,2
"okres Čadca",Centrum,"Realitné kancelárie SR",2,3
"okres Čadca",Centrum,"Vianema s.r.o.",2,4
"okres Čadca",Centrum,"1. Reality Rent, s.r.o.",1,5
