location_district,location_area,location_effect
"okres Liptovský Mikuláš","Demänovská Dolina",2123
"okres Žilina","Malá Praha",1821
"okres Dolný Kubín",Banisko,1601
"okres Žilina",Bôrik,1571
"okres Žilina","Horný Hričov",1550
"okres Žilina",Budatín,1367
"okres Dolný Kubín",Istebné,1318
"okres Žilina",Gbeľany,1315
"okres Dolný Kubín","Kubínska hoľa",1273
"okres Liptovský Mikuláš",Demänová,1182
"okres Liptovský Mikuláš","Liptovská Kokava",1165
"okres Žilina",Vlčince,1124
"okres Martin","Martinské hole",1112
"okres Martin",Priekopa,1079
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",959
"okres Žilina",Rosina,881
"okres Námestovo",Brehy,879
"okres Dolný Kubín","Oravský Podzámok",862
"okres Žilina","Staré mesto",850
"okres Liptovský Mikuláš","Liptovský Trnovec",844
"okres Žilina",Solinky,841
"okres Liptovský Mikuláš",Smrečany,831
"okres Liptovský Mikuláš","Pavčina Lehota",818
"okres Žilina",Višňové,798
"okres Liptovský Mikuláš","Liptovská Ondrašová",792
"okres Žilina",Bytčica,721
"okres Liptovský Mikuláš",Podbreziny,710
"okres Žilina",Terchová,692
"okres Liptovský Mikuláš",Dovalovo,682
"okres Žilina",Strečno,673
"okres Žilina",Divina,672
"okres Liptovský Mikuláš","Svätý Kríž",669
"okres Žilina",Závodie,651
"okres Žilina",Fačkov,615
"okres Žilina","Považský Chlmec",606
"okres Liptovský Mikuláš",Palúdzka,596
"okres Žilina",Hliny,576
"okres Liptovský Mikuláš","Liptovský Ján",553
"okres Liptovský Mikuláš","Vyšná Boca",546
"okres Čadca",Podzávoz,534
"okres Žilina",Bitarová,527
"okres Žilina",Kunerad,526
"okres Ružomberok",Ľubochňa,510
"okres Čadca","U Hluška",493
"okres Liptovský Mikuláš","Staré mesto",488
"okres Liptovský Mikuláš","Vrbica - Nábrežie",486
"okres Ružomberok",Bešeňová,459
"okres Žilina",Hájik,456
"okres Liptovský Mikuláš",Dúbrava,452
"okres Žilina","Rajecké Teplice",449
"okres Ružomberok","Liptovská Osada",448
"okres Dolný Kubín",Brezovec,444
"okres Liptovský Mikuláš","Liptovský Peter",420
"okres Žilina",Čičmany,406
"okres Liptovský Mikuláš",Stošice,400
"okres Dolný Kubín","Veľký Bysterec",388
"okres Liptovský Mikuláš","Liptovská Sielnica",380
"okres Tvrdošín","Suchá Hora",379
"okres Bytča",Kotešová,373
"okres Liptovský Mikuláš",Prekážka,369
"okres Dolný Kubín",Stred,366
"okres Žilina","Lietavská Lúčka",363
"okres Liptovský Mikuláš",Celiny,361
"okres Žilina",Mojš,356
"okres Martin",Stred,355
"okres Žilina",Varín,313
"okres Liptovský Mikuláš","Závažná Poruba",313
"okres Liptovský Mikuláš",Ľubeľa,299
"okres Námestovo",Stred,293
"okres Žilina","Dolný Hričov",264
"okres Bytča","Veľká Bytča",216
"okres Dolný Kubín",Zázrivá,209
"okres Žilina",Bánová,195
"okres Liptovský Mikuláš",Belánska,184
"okres Bytča","Hliník nad Váhom",183
"okres Martin",Jahodníky,162
"okres Turčianske Teplice",Stred,142
"okres Liptovský Mikuláš",Iľanovo,132
"okres Žilina",Rajec,124
"okres Martin",Tomčany,104
"okres Liptovský Mikuláš","Partizánska Ľupča",81
"okres Liptovský Mikuláš",Lazisko,81
"okres Ružomberok",Rybárpole,77
"okres Tvrdošín",Medvedzie,70
"okres Tvrdošín",Trstená,57
"okres Tvrdošín",Zuberec,50
"okres Liptovský Mikuláš","Malé Borové",49
"okres Čadca","Sídlisko 3",18
"okres Kysucké Nové Mesto",Sídlisko,11
"okres Kysucké Nové Mesto",Kamence,8
"okres Ružomberok",Hrabovo,-16
"okres Kysucké Nové Mesto","Horný Vadičov",-23
"okres Čadca",Žarec,-32
"okres Kysucké Nové Mesto",Nábrežie,-46
"okres Martin",Stráne,-48
"okres Liptovský Mikuláš",Východná,-53
"okres Dolný Kubín",Leštiny,-58
"okres Žilina","Dlhé Pole",-72
"okres Martin",Košúty,-102
"okres Ružomberok",Roveň,-108
"okres Čadca",Stred,-120
"okres Martin",Ľadoveň,-129
"okres Bytča",Štiavnik,-138
"okres Martin",Podháj,-143
"okres Bytča","Veľké Rovné",-152
"okres Čadca",Centrum,-156
"okres Ružomberok","Staré mesto",-160
"okres Martin",Lipovec,-161
"okres Čadca",Kyčerka,-171
"okres Liptovský Mikuláš",Bobrovník,-171
"okres Liptovský Mikuláš",Pribylina,-180
"okres Martin",Sever,-183
"okres Martin","Košťany nad Turcom",-195
"okres Tvrdošín",Nižná,-204
"okres Ružomberok",Baničné,-204
"okres Bytča","Thurzove sady",-206
"okres Námestovo","Oravská Lesná",-216
"okres Liptovský Mikuláš",Vlachy,-217
"okres Ružomberok",Klačno,-229
"okres Kysucké Nové Mesto",Stred,-236
"okres Martin","Horné Vrútky",-244
"okres Ružomberok","Liptovská Teplá",-248
"okres Čadca",Čierne,-251
"okres Turčianske Teplice",Turček,-277
"okres Martin",Záturčie,-281
"okres Liptovský Mikuláš","Liptovská Porúbka",-285
"okres Čadca",Raková,-287
"okres Čadca",Oščadnica,-287
"okres Čadca",Staškov,-305
"okres Čadca",Škrabákovci,-308
"okres Martin",Valča,-348
