location_district,location_area,location_effect
"okres Bytča","Veľká Bytča",1.499987516631348000
"okres Žilina",Hliny,2.801841151910134000
"okres Dolný Kubín",Brezovec,1.306348675866630000
"okres Martin",Sever,0.885340190347447500
"okres Liptovský Mikuláš",Palúdzka,1.416602893477960000
"okres Martin",Stred,0.068927013342046000
"okres Dolný Kubín",Záskalie,-0.497439447620220000
"okres Martin","Horné Vrútky",-0.110644710089806934
"okres Čadca",Kalinov,0.897144213009780000
"okres Kysucké Nové Mesto",Sídlisko,-0.432182907023772000
"okres Liptovský Mikuláš",Podbreziny,0.881840446077930000
"okres Žilina",Vlčince,2.299479110133020000
"okres Dolný Kubín",Mokraď,1.895050307379740000
"okres Žilina","Staré mesto",1.898438048388368686
"okres Žilina",Hájik,3.040671048718912000
"okres Čadca",Centrum,0.265876606443613066
"okres Liptovský Mikuláš","Staré mesto",1.235611657217600000
"okres Bytča","Thurzove sady",1.002285952903073066
"okres Dolný Kubín",Stred,1.167488166666193066
"okres Kysucké Nové Mesto",Kamence,3.007415079683406934
"okres Čadca",Kyčerka,0.089025160230540000
"okres Čadca",Čierne,-0.132004686598970000
"okres Námestovo",Mútne,-2.405846150451900000
"okres Námestovo",Rabčice,-2.134779110572340000
"okres Martin",Jahodníky,0.160045635227150000
"okres Ružomberok",Baničné,-0.545730790278380000
"okres Liptovský Mikuláš",Stošice,1.959070738016200000
"okres Námestovo",Stred,-0.219482513088485000
"okres Martin",Ľadoveň,0.229372270530064000
"okres Žilina",Solinky,2.680669786832290000
"okres Žilina",Trnové,1.235465942052706934
"okres Bytča","Veľké Rovné",-0.923909248532920000
"okres Liptovský Mikuláš",Belánska,0.532166938217680000
"okres Martin",Sučany,1.536602069983380000
"okres Martin",Priekopa,0.896979408202984000
"okres Ružomberok","Staré mesto",-1.148414770455400000
"okres Čadca",Žarec,-0.649331733607525000
"okres Čadca",Stred,0.149715239801053066
"okres Martin",Košúty,0.361673971467636000
"okres Kysucké Nové Mesto",Stred,-0.345100325369700000
"okres Liptovský Mikuláš","Liptovská Ondrašová",-0.510314095575153066
"okres Martin",Podháj,-0.251723528768212000
"okres Dolný Kubín","Veľký Bysterec",1.399643817544290000
"okres Liptovský Mikuláš","Vrbica - Nábrežie",1.508253798324395000
"okres Martin",Záturčie,-0.401949695712660000
"okres Žilina",Rosinky,-1.009827223715980000
"okres Žilina",Závodie,0.822557060662126934
"okres Kysucké Nové Mesto",Nesluša,-0.102575396797070000
"okres Kysucké Nové Mesto",Suľkov,0.724595681936840000
"okres Žilina","Rajecké Teplice",1.634609959538050000
"okres Žilina",Bôrik,1.173643819461600000
"okres Kysucké Nové Mesto",Nábrežie,1.349899132077630000
"okres Liptovský Mikuláš","Partizánska Ľupča",-2.781397995252500000
"okres Ružomberok",Polík,-2.344543292464060000
"okres Martin",Turany,-0.287171570333560000
"okres Námestovo","Oravské Veselé",-0.652865513550610000
"okres Martin",Necpaly,0.619109425962280000
"okres Žilina",Terchová,2.229827852094700000
"okres Turčianske Teplice",Diviaky,1.752320887959140000
"okres Martin","Turčianska Štiavnička",4.904745069147540000
"okres Čadca",Klubina,-0.668891410783340000
"okres Dolný Kubín",Istebné,0.901761548840700000
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",3.595926108424240000
"okres Čadca",Oščadnica,-1.450764577844000000
"okres Žilina",Rajec,-1.001717782711080000
"okres Liptovský Mikuláš",Okoličné,0.710859773500780000
"okres Žilina","Malá Praha",3.492411282795680000
"okres Žilina",Bytčica,1.621202410718210000
"okres Liptovský Mikuláš",Prekážka,-0.121413735245500000
"okres Námestovo",Brehy,-0.853405207566180000
"okres Liptovský Mikuláš","Pavčina Lehota",3.610148735506200000
"okres Námestovo",Vavrečka,-0.351016429055520000
