location_district,location_area,location_effect
"okres Námestovo",Rabča,1300
"okres Liptovský Mikuláš","Demänovská Dolina",1221
"okres Čadca",Husárikovci,1161
"okres Žilina","Malá Praha",1087
"okres Dolný Kubín",Mokraď,1021
"okres Ružomberok",Turík,1008
"okres Liptovský Mikuláš",Trstené,988
"okres Žilina",Bôrik,973
"okres Žilina","Horný Hričov",963
"okres Liptovský Mikuláš",Galovany,928
"okres Žilina",Budatín,880
"okres Žilina",Stráňavy,877
"okres Žilina","Teplička nad Váhom",858
"okres Žilina",Gbeľany,856
"okres Žilina","Mojšová Lúčka",852
"okres Liptovský Mikuláš",Podtureň,832
"okres Martin",Priekopa,830
"okres Dolný Kubín",Istebné,813
"okres Žilina",Turie,802
"okres Kysucké Nové Mesto",Radoľa,799
"okres Liptovský Mikuláš",Bodice,797
"okres Liptovský Mikuláš",Demänová,792
"okres Liptovský Mikuláš","Liptovská Kokava",784
"okres Liptovský Mikuláš",Okoličné,784
"okres Žilina",Trnové,781
"okres Žilina","Žilinská Lehota",744
"okres Kysucké Nové Mesto",Rudina,697
"okres Žilina",Brezany,694
"okres Martin",Ďanová,675
"okres Žilina",Krasňany,669
"okres Liptovský Mikuláš",Benice,666
"okres Žilina",Rosina,658
"okres Žilina","Staré mesto",644
"okres Liptovský Mikuláš",Ploštín,644
"okres Žilina",Svederník,641
"okres Liptovský Mikuláš","Liptovský Trnovec",638
"okres Žilina",Hôrky,636
"okres Liptovský Mikuláš",Smrečany,632
"okres Námestovo","Slanická Osada",626
"okres Žilina",Višňové,620
"okres Dolný Kubín","Oravský Podzámok",605
"okres Žilina",Zbyňov,605
"okres Žilina",Podhorie,594
"okres Žilina",Bytčica,585
"okres Žilina",Terchová,572
"okres Liptovský Mikuláš",Dovalovo,564
"okres Žilina",Divina,563
"okres Žilina",Stránske,561
"okres Liptovský Mikuláš","Svätý Kríž",558
"okres Žilina",Závodie,553
"okres Žilina","Považský Chlmec",533
"okres Liptovský Mikuláš","Liptovské Kľačany",532
"okres Ružomberok",Ľubochňa,530
"okres Liptovský Mikuláš",Bukovina,524
"okres Ružomberok",Ivachnová,508
"okres Ružomberok",Bešeňová,507
"okres Liptovský Mikuláš","Liptovský Ján",505
"okres Ružomberok","Liptovská Osada",502
"okres Martin",Stred,499
"okres Žilina",Bitarová,497
"okres Martin","Dolný Kalník",497
"okres Ružomberok",Likavka,497
"okres Žilina",Kunerad,496
"okres Bytča",Maršová-Rašov,488
"okres Liptovský Mikuláš","Staré mesto",475
"okres Liptovský Mikuláš","Vrbica - Nábrežie",474
"okres Žilina","Rajecké Teplice",461
"okres Liptovský Mikuláš",Dúbrava,459
"okres Kysucké Nové Mesto","Budatínska Lehota",454
"okres Martin","Turčiansky Peter",452
"okres Liptovský Mikuláš","Liptovský Peter",444
"okres Žilina",Strážov,437
"okres Žilina","Lietavská Svinná-Babkov",431
"okres Martin","Turčianske Kľačany",428
"okres Liptovský Mikuláš","Liptovská Sielnica",426
"okres Žilina","Lietavská Lúčka",422
"okres Liptovský Mikuláš",Prekážka,421
"okres Žilina",Mojš,419
"okres Liptovský Mikuláš",Celiny,417
"okres Dolný Kubín",Brezovec,414
"okres Dolný Kubín","Oravská Poruba",411
"okres Martin",Jahodníky,411
"okres Liptovský Mikuláš",Prosiek,411
"okres Ružomberok","Liptovský Michal",411
"okres Ružomberok",Lúčky,405
"okres Žilina",Varín,399
"okres Čadca",Podzávoz,397
"okres Liptovský Mikuláš","Závažná Poruba",395
"okres Žilina",Divinka,395
"okres Žilina",Ovčiarsko,394
"okres Bytča",Kotešová,390
"okres Martin","Dolné Vrútky",390
"okres Liptovský Mikuláš",Ľubeľa,389
"okres Dolný Kubín","Veľký Bysterec",389
"okres Martin",Tomčany,385
"okres Žilina","Dolná Tižina",383
"okres Čadca","U Hluška",378
"okres Žilina","Dolný Hričov",377
"okres Ružomberok",Hrboltová,369
"okres Kysucké Nové Mesto",Snežnica,363
"okres Žilina",Poluvsie,357
"okres Liptovský Mikuláš",Ižipovce,346
"okres Žilina",Bánová,345
"okres Liptovský Mikuláš","Veterná Poruba",336
"okres Ružomberok",Rybárpole,333
"okres Žilina","Paština Závada",333
"okres Martin",Nolčovo,324
"okres Tvrdošín",Podbiel,321
"okres Bytča","Veľká Bytča",319
"okres Martin","Turčianske Jaseno",319
