location_district,location_area,location_effect
"okres Žilina",Bôrik,119.494800978584171245
"okres Liptovský Mikuláš","Staré mesto",27.928607392665935595
"okres Martin",Jahodníky,44.798759478162420000
"okres Martin",Necpaly,7.268587972660507500
"okres Dolný Kubín","Veľký Bysterec",18.800738291331586000
"okres Bytča","Veľké Rovné",18.305453342092344116
"okres Martin",Stred,55.221160061593494500
"okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",53.383992254068556031
"okres Čadca",Makov,-35.942606784263312646
"okres Žilina",Vlčince,95.329856453530356913
"okres Martin",Priekopa,94.348429850782700936
"okres Ružomberok",Hrabovo,12.015356791766735587
"okres Žilina",Hájik,59.243498504683870485
"okres Bytča","Veľká Bytča",38.187919156140414000
"okres Liptovský Mikuláš","Liptovská Ondrašová",44.365529535456320000
"okres Čadca",Podzávoz,31.213115256134833087
"okres Turčianske Teplice",Stred,-5.623371809414796498
"okres Čadca",Kyčerka,-6.900389119291922000
"okres Liptovský Mikuláš","Partizánska Ľupča",5.939914278958254000
"okres Čadca",Raková,-13.158846672575566000
"okres Žilina","Rajecké Teplice",58.864708886844751913
"okres Ružomberok",Bešeňová,37.691549296660641029
"okres Námestovo","Oravské Veselé",-30.327195687780286913
"okres Martin",Podháj,28.330869854565725000
"okres Žilina",Bitarová,63.098388814748702500
"okres Liptovský Mikuláš",Podbreziny,39.941226144584461913
"okres Martin",Záturčie,20.862212647668541245
"okres Martin",Sever,26.129560407719461250
"okres Čadca",Oščadnica,-13.142724475475060000
"okres Ružomberok",Baničné,1.814853470159284116
"okres Martin",Sučany,13.862146758764526323
"okres Martin",Turany,-0.682938539657669000
"okres Čadca",Staškov,-14.150415573002983087
"okres Liptovský Mikuláš","Liptovská Kokava",64.555598022761575000
"okres Martin",Tomčany,41.677482341025307500
"okres Dolný Kubín",Zázrivá,9.159896993802592000
"okres Martin","Košťany nad Turcom",25.491359272907026913
"okres Liptovský Mikuláš","Vrbica - Nábrežie",27.833982744272125000
"okres Liptovský Mikuláš","Pavčina Lehota",45.797507373969223087
"okres Žilina",Bytčica,73.559911601780280000
"okres Liptovský Mikuláš",Východná,-1.322146626619952646
"okres Liptovský Mikuláš","Vyšná Boca",31.082727788391905000
"okres Žilina",Terchová,71.978566363944391323
"okres Žilina",Rajec,41.289842092816348000
"okres Martin","Turčianska Štiavnička",12.800378218389435000
"okres Čadca",Stred,-4.152244245813907500
"okres Námestovo",Brehy,67.118835525865686000
"okres Liptovský Mikuláš",Stošice,23.202028525115552500
"okres Martin",Stráne,33.442166875368606000
"okres Martin",Valča,17.216582838298148750
"okres Liptovský Mikuláš",Pribylina,-8.186155053559447500
"okres Dolný Kubín",Stred,17.598229173157831913
"okres Ružomberok","Liptovská Osada",37.088743056743816913
"okres Žilina",Strečno,70.971218490392165000
"okres Žilina",Kunerad,63.022854401355240000
"okres Dolný Kubín",Leštiny,-5.280433397367010000
"okres Martin",Lipovec,27.323448023349962500
"okres Žilina","Horný Hričov",118.349981928316393087
"okres Kysucké Nové Mesto","Horný Vadičov",-6.837204655895640000
"okres Liptovský Mikuláš",Ľubeľa,17.705769335502561913
"okres Liptovský Mikuláš","Liptovská Sielnica",22.083043317116692500
"okres Žilina",Mojš,53.833611292657120000
"okres Bytča",Štiavnik,19.052760964310427500
"okres Žilina",Višňové,77.724599181515510000
"okres Žilina",Varín,51.532804642601871913
"okres Liptovský Mikuláš","Závažná Poruba",18.453025557905656000
"okres Žilina","Dlhé Pole",30.697687932780060000
"okres Martin",Príbovce,-0.378937115225900000
"okres Liptovský Mikuláš","Liptovský Ján",31.452327869927565000
"okres Liptovský Mikuláš","Liptovský Peter",24.233362669862296913
"okres Žilina",Budatín,108.495854419143772000
"okres Liptovský Mikuláš","Liptovský Trnovec",47.187429720194370000
"okres Turčianske Teplice",Jazernica,-46.666391601746120000
"okres Čadca",Kalinov,-34.916168885963336913
"okres Žilina",Gbeľany,105.651486333424696000
"okres Čadca","U Hluška",28.983612458696240000
"okres Žilina",Rosina,82.220406321358570000
"okres Dolný Kubín",Banisko,84.398904701596500000
"okres Čadca","Nová Bystrica",-16.642801693856892500
"okres Čadca",Čierne,-11.196255990407956913
"okres Bytča",Kotešová,46.683779355239931913
"okres Liptovský Mikuláš",Lazisko,5.910548745318030000
"okres Námestovo","Oravská Lesná",7.931124512450295000
"okres Bytča",Súľov-Hradná,-26.332412937388130000
"okres Žilina",Čičmany,56.526425388387100000
"okres Čadca","Dlhá nad Kysucou",-34.695615370133547500
"okres Bytča","Hliník nad Váhom",36.375597752724012000
"okres Turčianske Teplice",Turček,-28.292952270542803087
"okres Liptovský Mikuláš","Svätý Kríž",37.693127154055110000
"okres Bytča",Pšurnovice,1.686236175673555000
"okres Liptovský Mikuláš",Vlachy,-10.155695673390952500
"okres Žilina","Lietavská Lúčka",54.194802824661935000
"okres Žilina",Divina,70.893615961551046913
"okres Žilina",Ďurčiná,-2.049671383982740000
"okres Žilina","Dolný Hričov",48.840170477832480000
"okres Liptovský Mikuláš",Bobrovník,-7.680991921197595000
"okres Kysucké Nové Mesto",Lodno,-65.606124827601775000
"okres Martin",Slovany,15.203005062540480000
"okres Žilina",Trnové,96.728714758024910000
"okres Kysucké Nové Mesto",Rudinská,-27.359141521563112500
"okres Liptovský Mikuláš","Liptovské Beharovce",-34.154016450985510000
"okres Martin","Kláštor pod Znievom",21.228398271774005000
"okres Žilina","Teplička nad Váhom",105.935961367806456000
"okres Žilina","Lietavská Svinná-Babkov",55.294269190500827500
"okres Žilina","Veľká Čierna",33.316231345922760000
"okres Martin",Ďanová,75.976831896742565000
"okres Kysucké Nové Mesto",Radoľa,54.638271532175790000
"okres Turčianske Teplice","Slovenské Pravno",-21.239884600055157500
"okres Martin","Turčiansky Peter",49.612553024236226913
"okres Dolný Kubín","Oravská Poruba",21.418073973617260000
"okres Turčianske Teplice",Budiš,-33.972761531268930000
"okres Turčianske Teplice","Malý Čepčín",-24.288280920389367500
"okres Dolný Kubín",Párnica,7.456938708389272500
"okres Martin",Žabokreky,33.354870425718336000
"okres Martin",Trebostovo,-2.369657243711186913
"okres Martin","Karvaša a Bláhovca",21.527110548067046000
"okres Žilina",Stráňavy,108.098657130535020000
"okres Žilina",Podhorie,74.644424167380863087
"okres Turčianske Teplice",Mošovce,-19.696088266050335000
"okres Žilina",Lysica,29.522864752033296913
"okres Martin","Dolný Kalník",54.938184829395575000
"okres Martin","Dolné Vrútky",42.216544725351516913
"okres Kysucké Nové Mesto","Lopušné Pažite",-15.632311335204183087
"okres Martin",Belá-Dulice,6.894412110695390000
"okres Turčianske Teplice","Turčiansky Michal",0.300554634372950000
"okres Dolný Kubín",Mokraď,93.693984506085240000
"okres Turčianske Teplice","Horná Štubňa",-20.420472186293294000
"okres Liptovský Mikuláš",Prosiek,20.313023845281353087
"okres Ružomberok",Komjatná,-42.562054479156670000
"okres Martin","Kolónia Hviezda",-20.203408558615373087
"okres Žilina",Turie,99.247242323841480000
"okres Kysucké Nové Mesto",Snežnica,3.006189379258536913
"okres Ružomberok",Černová,-71.649737702831770000
"okres Tvrdošín",Zábiedovo,9.402127602463520000
"okres Ružomberok","Liptovské Sliače",12.440985378095290000
"okres Ružomberok","Liptovská Štiavnica",1.493749858556925000
"okres Čadca",Skalité,-28.096116687831314000
"okres Dolný Kubín",Osádka,-8.580788494544905000
"okres Čadca","Vysoká nad Kysucou",-37.950486509816806913
"okres Žilina",Svederník,80.237281180884442500
"okres Žilina","Žilinská Lehota",92.409551717546335000
"okres Turčianske Teplice",Háj,-64.704453392202946913
"okres Čadca",Svrčinovec,-44.905407794197876913
"okres Čadca",Olešná,-29.197186750599500000
"okres Liptovský Mikuláš","Uhorská Ves",14.466597441845385000
"okres Čadca",Horelica,-16.520566481088680000
"okres Dolný Kubín",Veličná,38.507017864401795000
"okres Dolný Kubín",Záskalie,-34.721562262317060000
"okres Bytča","Bytča - sever",31.722654016253575000
"okres Žilina",Hôrky,79.573194972133220000
"okres Žilina",Brodno,37.941133165114770000
"okres Turčianske Teplice",Diviaky,-3.228455715266695000
"okres Liptovský Mikuláš","Liptovské Kľačany",34.668989521615506913
"okres Liptovský Mikuláš",Hybe,-11.658291863374330000
"okres Žilina",Lietava,21.708097500280545000
"okres Žilina",Stránske,70.724666082210764000
"okres Kysucké Nové Mesto",Povina,-13.987387486251050000
"okres Martin",Podhradie,-4.500405078678496913
"okres Turčianske Teplice",Dubové,-32.562796701126925000
"okres Liptovský Mikuláš",Ižipovce,12.606215859470595000
"okres Čadca",Korňa,-37.961370325339196913
"okres Ružomberok",Ivachnová,37.822914413802603087
"okres Bytča",Jablonové,168.008829365300240000
"okres Bytča",Kolárovice,14.965363355707283087
"okres Námestovo",Ťapešovo,12.263304137556215000
"okres Žilina",Konská,40.175575857172142500
"okres Kysucké Nové Mesto",Suľkov,-11.641284334649085000
"okres Martin",Vrícko,18.396768159290520000
"okres Žilina",Strážov,56.066677619625050000
"okres Dolný Kubín",Malatiná,-23.363910342612730000
"okres Čadca",Klokočov,-34.966749975812100000
"okres Bytča","Hlboké nad Váhom",-19.254375644829180000
"okres Žilina",Brezany,86.417641745628440000
"okres Turčianske Teplice",Čremošné,-28.309609608955875000
"okres Martin","Turčianske Kľačany",46.733101758001972000
"okres Martin",Blatnica,31.398826415466396913
"okres Bytča",Petrovice,-42.870266273279990000
"okres Dolný Kubín",Kraľovany,-2.888981985746405000
