location_district,offers_per_agency,cr5,competition_rating,market_category
"okres Bytča",3.9268,0.5000,36,avoid
"okres Čadca",5.7681,0.5371,45,risky
"okres Dolný Kubín",5.6000,0.7125,23,avoid
"okres Kysucké Nové Mesto",3.9048,0.3816,50,risky
"okres Liptovský Mikuláš",6.6559,0.3589,73,ok
"okres Martin",8.4176,0.2887,94,great
"okres Námestovo",3.7727,0.6760,14,avoid
"okres Ružomberok",5.0357,0.4070,55,risky
"okres Turčianske Teplice",2.9216,0.3380,48,risky
"okres Tvrdošín",2.4375,0.5428,20,avoid
"okres Žilina",9.2301,0.3194,96,great
