agency,property_category,avg_price_diff
"Realitná kancelária",apartment,0.00467895
"Buby reality, s.r.o.",apartment,0.01809091
"Reality Alpia",apartment,0.00196667
"Reality Center, s.r.o.",apartment,0.01787143
"Reality ASTORIA, s.r.o.",apartment,0.06090000
"TUreality s.r.o.",apartment,-0.00496667
"FINREA - ak vám záleží na výsledku",apartment,-0.00930000
"B10 Slovensko, a. s.",apartment,0.03294286
"ALT REAL, s.r.o.",apartment,-0.03193333
"Reality AK, spol. s r.o.",apartment,0.01196667
"ALT REAL, s.r.o.",house,0.01444545
"Realitná kancelária",house,0.23820000
"Reality AK, spol. s r.o.",house,-0.06168333
"B10 Slovensko, a. s.",house,-0.01648333
"Reality Alpia",house,-0.44953333
"Reality Center, s.r.o.",house,0.58710000
"Reality ASTORIA, s.r.o.",house,0.43366000
"Buby reality, s.r.o.",house,-0.16346667
"TUreality s.r.o.",house,-0.68935000
"ALT REAL, s.r.o.",land,0.11180909
"B10 Slovensko, a. s.",land,-0.31740000
"FINREA - ak vám záleží na výsledku",land,-0.12906667
"Realitná kancelária",land,-0.19768000
"Reality Alpia",land,0.53185000
"Reality AK, spol. s r.o.",land,0.15850000
"Reality ASTORIA, s.r.o.",land,0.14090000
"Reality Center, s.r.o.",land,-0.09922500
"Buby reality, s.r.o.",land,-0.36510000
