offer_id,offer_type,property_type,condition,location_district,location_city,location_area,agency,office_city
JuLecgRv95A,sale,"3-room apartment","fully renovated","okres Žilina",Žilina,Bôrik,"RES GROUP, s.r.o.",Žilina
JuzjcjA88fI,rent,"2-room apartment","fully renovated","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuR9IQwr1DX,rent,"3-room apartment","new construction","okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JueQeTeryjC,rent,"4-room apartment","fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec,NULL,NULL
JufbBHYx-coz,sale,"1-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","AstonReal s.r.o.","Banská Bystrica"
JusEglMU0v8,sale,"3-room apartment",unrenovated,"okres Martin",Martin,Jahodníky,"HD reality group s.r.o","Banská Bystrica"
JuHU9WStTAs,sale,"3-room apartment","fully renovated","okres Martin",Necpaly,Necpaly,"B10 Slovensko, a. s.",Žilina
Ju-48631_aJ,sale,"3-room apartment",unrenovated,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","RK Dalmia s. r. o.","Dolný Kubín"
JujzGN4k6bn,rent,"2-room apartment","fully renovated","okres Martin",Martin,Sever,"Reality Alpia",Martin
JuyUZh4v08L,rent,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,NULL,NULL
Ju9d7v-lee8,sale,"3-room apartment","new construction","okres Tvrdošín",Zuberec,Zuberec,"OREA, s.r.o.","Dolný Kubín"
JuvALHP6cN9,sale,"2-room apartment","partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
Ju8a3kcGYvG,rent,"2-room apartment","new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jue47kLBSm8,sale,"3-room apartment","new construction","okres Čadca",Čadca,Centrum,"Vianema s.r.o.",Bratislava
JucquL8E-bM,rent,"3-room apartment","fully renovated","okres Martin",Martin,Stred,NULL,NULL
Jui14FUG-ZO,sale,"3-room apartment","partially renovated","okres Turčianske Teplice",Rakša,Rakša,"TUreality s.r.o.",Žilina
