offer_id,offer_type,property_type,area,condition,location_district,location_city,location_area
JuLecgRv95A,sale,"3-room apartment",107,"fully renovated","okres Žilina",Žilina,Bôrik
JuzjcjA88fI,rent,"2-room apartment",62,"fully renovated","okres Bytča",Bytča,"Veľká Bytča"
JuR9IQwr1DX,rent,"3-room apartment",68,"new construction","okres Žilina",Žilina,Hliny
JueQeTeryjC,rent,"4-room apartment",90,"fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec
JufbBHYx-coz,sale,"1-room apartment",60,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JusEglMU0v8,sale,"3-room apartment",69,unrenovated,"okres Martin",Martin,Jahodníky
JuHU9WStTAs,sale,"3-room apartment",80,"fully renovated","okres Martin",Necpaly,Necpaly
Ju-48631_aJ,sale,"3-room apartment",63,unrenovated,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JujzGN4k6bn,rent,"2-room apartment",65,"fully renovated","okres Martin",Martin,Sever
JuyUZh4v08L,rent,"2-room apartment",49,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju9d7v-lee8,sale,"3-room apartment",106,"new construction","okres Tvrdošín",Zuberec,Zuberec
JuvALHP6cN9,sale,"2-room apartment",56,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju8a3kcGYvG,rent,"2-room apartment",50,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec
Jue47kLBSm8,sale,"3-room apartment",202,"new construction","okres Čadca",Čadca,Centrum
JucquL8E-bM,rent,"3-room apartment",NULL,"fully renovated","okres Martin",Martin,Stred
Jui14FUG-ZO,sale,"3-room apartment",76,"partially renovated","okres Turčianske Teplice",Rakša,Rakša
JuTiIF5zkxo3,rent,"2-room apartment",65,"fully renovated","okres Dolný Kubín","Dolný Kubín",Záskalie
JuFpZug_t62,sale,"1-room apartment",31,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuUnWH-g8Yz,sale,"3-room apartment",109,"new construction","okres Žilina",Žilina,"Staré mesto"
JuUCL8fPL9h,rent,"studio apartment",36,"fully renovated","okres Martin",Vrútky,"Horné Vrútky"
JuV8a82JG_s,sale,"4-room apartment",101,"new construction","okres Žilina",Žilina,"Staré mesto"
JuvjDSTvTKy,sale,"2-room apartment",45,"fully renovated","okres Bytča","Veľké Rovné","Veľké Rovné"
Ju3gs_noUEz,rent,"2-room apartment",45,"new construction","okres Čadca","Krásno nad Kysucou",Kalinov
JuXcyij9eMf_,sale,"3-room apartment",67,"new construction","okres Žilina",Žilina,"Staré mesto"
JufYiP4E7Es,sale,"3-room apartment",75,"partially renovated","okres Žilina",Žilina,Hliny
JuKkjtqN4VW,sale,"2-room apartment",56,"fully renovated","okres Martin",Martin,Stred
JuH-SEIASle,sale,"3-room apartment",69,"under construction","okres Ružomberok",Ružomberok,Roveň
Ju_IBACCGzT,rent,"2-room apartment",66,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju_7fjs1rDI,sale,"2-room apartment",28,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuO3IQpQk2Q,sale,"2-room apartment",57,"fully renovated","okres Čadca",Makov,Makov
JukCOBdi-HG,sale,"3-room apartment",83,"fully renovated","okres Žilina",Žilina,Vlčince
JuatrleUyRX,rent,"3-room apartment",78,"partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuqBZCEixbC,rent,"2-room apartment",52,"new construction","okres Žilina",Žilina,Hliny
JuCuiefKh4P,sale,"4-room apartment",83,unrenovated,"okres Martin",Martin,Priekopa
JucFUY5N5xW,sale,"3-room apartment",80,"partially renovated","okres Martin",Martin,Priekopa
JuSPwAqNDjb,sale,"2-room apartment",44,"new construction","okres Ružomberok",Ružomberok,Hrabovo
JujrtOK9Ltj,sale,"3-room apartment",82,unrenovated,"okres Žilina",Žilina,"Staré mesto"
Ju2TzdFfXkg,sale,"2-room apartment",60,"partially renovated","okres Žilina",Žilina,"Staré mesto"
JuVO5WLrTZ3,sale,"2-room apartment",60,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuC08OMa82u,sale,"4-room apartment",163,"new construction","okres Žilina",Žilina,Hájik
Jupw1bQT1Jh,sale,"3-room apartment",89,"new construction","okres Žilina",Žilina,Vlčince
JuFqSi2fYOk,sale,"2-room apartment",53,"fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie
JunnFbGwfA5,rent,"2-room apartment",60,"partially renovated","okres Žilina",Žilina,Vlčince
JuFv7NTgqug,sale,"holiday apartment",46,"fully renovated","okres Čadca",Makov,Makov
JuxZgQdKO7u,sale,"2-room apartment",45,"new construction","okres Bytča",Bytča,"Veľká Bytča"
Ju0iFsZ1mnv,sale,"2-room apartment",38,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová"
JuN4KXjUyk-,sale,"4-room apartment",105,"new construction","okres Čadca",Čadca,Podzávoz
JuWV1dgtiBd,sale,"holiday apartment",22,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová
Judmv08qh2A,sale,"4-room apartment",120,unrenovated,"okres Žilina",Žilina,"Staré mesto"
JugXYWqkt4N,rent,"1-room apartment",30,"partially renovated","okres Martin",Vrútky,"Horné Vrútky"
JuqvNgpYqrd,rent,"1-room apartment",40,"fully renovated","okres Dolný Kubín","Dolný Kubín",Mokraď
Ju_Lr-2Vc09,sale,"1-room apartment",51,"partially renovated","okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo
JubDtFpPZPz,sale,"holiday apartment",37,"under construction","okres Turčianske Teplice","Turčianske Teplice",Stred
Ju46Wlvz4BP,sale,"2-room apartment",63,"new construction","okres Čadca",Čadca,Kyčerka
