offer_id,property_type,condition,monthly_rent_m2,location_district,location_city,location_area
JuzjcjA88fI,"2-room apartment","fully renovated",10.34,"okres Bytča",Bytča,"Veľká Bytča"
JuR9IQwr1DX,"3-room apartment","new construction",8.68,"okres Žilina",Žilina,Hliny
JueQeTeryjC,"4-room apartment","fully renovated",NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec
JujzGN4k6bn,"2-room apartment","fully renovated",9.24,"okres Martin",Martin,Sever
JuyUZh4v08L,"2-room apartment","new construction",14.29,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju8a3kcGYvG,"2-room apartment","new construction",13.00,"okres Dolný Kubín","Dolný Kubín",Brezovec
JucquL8E-bM,"3-room apartment","fully renovated",NULL,"okres Martin",Martin,Stred
JuTiIF5zkxo3,"2-room apartment","fully renovated",8.62,"okres Dolný Kubín","Dolný Kubín",Záskalie
JuUCL8fPL9h,"studio apartment","fully renovated",12.50,"okres Martin",Vrútky,"Horné Vrútky"
Ju3gs_noUEz,"2-room apartment","new construction",13.78,"okres Čadca","Krásno nad Kysucou",Kalinov
Ju_IBACCGzT,"2-room apartment","partially renovated",6.82,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuatrleUyRX,"3-room apartment","partially renovated",7.56,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuqBZCEixbC,"2-room apartment","new construction",13.17,"okres Žilina",Žilina,Hliny
JunnFbGwfA5,"2-room apartment","partially renovated",11.67,"okres Žilina",Žilina,Vlčince
JugXYWqkt4N,"1-room apartment","partially renovated",13.00,"okres Martin",Vrútky,"Horné Vrútky"
JuqvNgpYqrd,"1-room apartment","fully renovated",14.00,"okres Dolný Kubín","Dolný Kubín",Mokraď
JuA8-pf41pn,"3-room apartment","fully renovated",10.84,"okres Martin",Martin,Stred
JuxBkaifl6df,"holiday apartment","new construction",15.48,"okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo
