property_type,condition,location_district,dis_avg_price,agency,agency_avg_price,price_diff
"3-room apartment","fully renovated","okres Žilina",2889.718462,"Mamud Reality s. r. o.",3152.630000,0.0909817138
"3-room apartment","fully renovated","okres Martin",2109.253333,"TUreality s.r.o.",NULL,NULL
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,"RESIDENCE realitná kancelária",2913.030000,0.0558766744
"3-room apartment","fully renovated","okres Tvrdošín",2216.035000,"TUreality s.r.o.",2185.710000,-0.0136843507
"3-room apartment","fully renovated","okres Žilina",2889.718462,"Reality IQ, s.r.o.",2724.950000,-0.0570188633
"3-room apartment","fully renovated","okres Žilina",2889.718462,"KRALIKOVA reality",3507.460000,0.2137722225
"3-room apartment","fully renovated","okres Martin",2109.253333,"Realitná kancelária",2168.810000,0.0282359004
"3-room apartment","fully renovated","okres Čadca",1815.651667,"MGM reality",1882.350000,0.0367352032
"3-room apartment","fully renovated","okres Dolný Kubín",2541.287500,"TUreality s.r.o.",2455.730000,-0.0336669897
"3-room apartment","fully renovated","okres Ružomberok",1972.633333,"AstonReal s.r.o.",2039.470000,0.0338819515
"3-room apartment","fully renovated","okres Čadca",1815.651667,"Realitná kancelária",NULL,NULL
"3-room apartment","fully renovated","okres Žilina",2889.718462,"Realitná kancelária RED, s.r.o.",2680.520000,-0.0723940636
"3-room apartment","fully renovated","okres Martin",2109.253333,"Like Reality s.r.o.",1412.640000,-0.3302653703
"3-room apartment","fully renovated","okres Žilina",2889.718462,"DRR INVEST, s. r. o.",2141.665000,-0.2588672467
"3-room apartment","fully renovated","okres Martin",2109.253333,"ALT REAL, s.r.o.",1922.220000,-0.0886727687
"3-room apartment","fully renovated","okres Martin",2109.253333,NULL,2209.580000,0.0475650153
"3-room apartment","fully renovated","okres Žilina",2889.718462,Maxareality,2500.000000,-0.1348638171
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,"sunnyreal s.r.o.",2364.860000,-0.1428167536
"3-room apartment","fully renovated","okres Čadca",1815.651667,"RECLOUD Reality a.s.",NULL,NULL
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,"AstonReal s.r.o.",2427.140000,-0.1202423210
"3-room apartment","fully renovated","okres Martin",2109.253333,"Felicita Real s. r. o.",2510.770000,0.1903596219
"3-room apartment","fully renovated","okres Martin",2109.253333,"FINREA - ak vám záleží na výsledku",1645.880000,-0.2196859551
"3-room apartment","fully renovated","okres Martin",2109.253333,"GRAVITAS a. s.",NULL,NULL
"3-room apartment","fully renovated","okres Žilina",2889.718462,NULL,3072.083333,0.0631081794
"3-room apartment","fully renovated","okres Žilina",2889.718462,"Jacek reality s. r. o.",2549.280000,-0.1178102526
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,"OVERENÉ REALITY",2386.670000,-0.1349113526
"3-room apartment","fully renovated","okres Žilina",2889.718462,"ŽILINAREAL, s.r.o.",2410.260000,-0.1659187455
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,"RK SPIRIT s.r.o.",NULL,NULL
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,"TUreality s.r.o.",2261.540000,-0.1802668238
"3-room apartment","fully renovated","okres Žilina",2889.718462,"Realitka pre každého",3361.880000,0.1633936123
"3-room apartment","fully renovated","okres Dolný Kubín",2541.287500,"FINREA - ak vám záleží na výsledku",2790.340000,0.0980024889
"3-room apartment","fully renovated","okres Čadca",1815.651667,"SLNOVRAT, s.r.o.",1777.170000,-0.0211944106
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,NULL,4200.000000,0.5223605773
"3-room apartment","fully renovated","okres Ružomberok",1972.633333,"Reality Alpia",1981.350000,0.0044187974
"3-room apartment","fully renovated","okres Martin",2109.253333,"Reality AK, spol. s r.o.",NULL,NULL
"3-room apartment","fully renovated","okres Dolný Kubín",2541.287500,"RK Dalmia s. r. o.",2463.350000,-0.0306685096
"3-room apartment","fully renovated","okres Ružomberok",1972.633333,"BEEVAM, s.r.o.",1897.080000,-0.0383007484
"3-room apartment","fully renovated","okres Ružomberok",1972.633333,"NajBývanie, s.r.o.",NULL,NULL
"3-room apartment","fully renovated","okres Tvrdošín",2216.035000,"Vianema s.r.o.",2246.360000,0.0136843507
"3-room apartment","fully renovated","okres Žilina",2889.718462,"TUreality s.r.o.",2208.365000,-0.2357854133
"3-room apartment","fully renovated","okres Martin",2109.253333,"Reality MT s.r.o.",2088.240000,-0.0099624510
"3-room apartment","fully renovated","okres Liptovský Mikuláš",2758.873333,"ARBIZ real estate & finance s. r. o.",NULL,NULL
"3-room apartment","fully renovated","okres Žilina",2889.718462,"Local reality s. r. o.",3031.250000,0.0489776218
"3-room apartment","fully renovated","okres Čadca",1815.651667,"1. Reality Rent, s.r.o.",2069.440000,0.1397780960
"3-room apartment","fully renovated","okres Žilina",2889.718462,"RIEŠIME BÝVANIE",3274.712500,0.1332289090
"3-room apartment","fully renovated","okres Martin",2109.253333,"B10 Slovensko, a. s.",1863.640000,-0.1164456299
"3-room apartment","fully renovated","okres Žilina",2889.718462,"RES GROUP, s.r.o.",4196.260000,0.4521345436
"1-room apartment","new construction","okres Kysucké Nové Mesto",3728.340000,"MG real, s.r.o.",3685.710000,-0.0114340430
"1-room apartment","new construction","okres Liptovský Mikuláš",4113.190000,"RESIDENCE realitná kancelária",7394.630000,0.7977846878
"1-room apartment","new construction","okres Martin",3375.320000,"TARGETreal s. r. o.",3155.260000,-0.0651967813
"1-room apartment","new construction","okres Martin",3375.320000,"LuxReality, s.r.o.",4214.410000,0.2485956887
"1-room apartment","new construction","okres Žilina",4015.358125,"HMS Services, a. s.",3233.980000,-0.1945973686
"1-room apartment","new construction","okres Žilina",4015.358125,"ODEKO manažment s.r.o.",3722.890000,-0.0728373699
"1-room apartment","new construction","okres Liptovský Mikuláš",4113.190000,"DVOŘÁK & PARTNERS s. r. o.",3325.620000,-0.1914742572
"1-room apartment","new construction","okres Liptovský Mikuláš",4113.190000,"ARCHEUS Partners a.s.",3166.670000,-0.2301182294
"1-room apartment","new construction","okres Tvrdošín",2918.750000,"RK SPIRIT s.r.o.",2918.750000,0.0000000000
"1-room apartment","new construction","okres Liptovský Mikuláš",4113.190000,"TATRA CITY RESIDENCE s. r. o.",3949.040000,-0.0399081978
"1-room apartment","new construction","okres Žilina",4015.358125,"PSynchro RK32",NULL,NULL
"1-room apartment","new construction","okres Martin",3375.320000,"Buby reality, s.r.o.",3155.705000,-0.0650649420
"1-room apartment","new construction","okres Ružomberok",3237.006000,Limaxreal,2780.220000,-0.1411137329
"1-room apartment","new construction","okres Žilina",4015.358125,"WFG reality, s.r.o.",4071.520769,0.0139869576
"1-room apartment","new construction","okres Liptovský Mikuláš",4113.190000,"OVERENÉ REALITY",3461.540000,-0.1584293456
"1-room apartment","new construction","okres Martin",3375.320000,"Reality AK, spol. s r.o.",3414.060000,0.0114774303
