property_type,condition,location_district,dis_avg_rent,agency,agency_avg_rent,rent_diff
"2-room apartment","fully renovated","okres Žilina",12.062353,"Renovo Reality",10.000000,-0.1709743530
"2-room apartment","fully renovated","okres Martin",9.944375,NULL,10.420000,0.0478285463
"2-room apartment","fully renovated","okres Martin",9.944375,"MTS Reality, s.r.o.",9.640000,-0.0306077556
"2-room apartment","fully renovated","okres Žilina",12.062353,"RIEŠIME BÝVANIE",17.500000,0.4507948822
"2-room apartment","fully renovated","okres Liptovský Mikuláš",10.602857,"GERT , s.r.o.",8.330000,-0.2143626949
"2-room apartment","fully renovated","okres Čadca",8.800000,"Trioreality, s.r.o.",8.800000,0.0000000000
"2-room apartment","fully renovated","okres Martin",9.944375,"TUreality s.r.o.",9.190000,-0.0758594683
"2-room apartment","fully renovated","okres Martin",9.944375,"Reality AK, spol. s r.o.",8.910000,-0.1040160895
"2-room apartment","fully renovated","okres Žilina",12.062353,"ROMDOM, s. r. o",11.860000,-0.0167755827
"2-room apartment","fully renovated","okres Liptovský Mikuláš",10.602857,"Reality Alpia",12.070000,0.1383724217
"2-room apartment","fully renovated","okres Žilina",12.062353,"Safe reality s. r. o.",10.770000,-0.1071393782
"2-room apartment","fully renovated","okres Martin",9.944375,"RECLOUD Reality a.s.",NULL,NULL
"2-room apartment","fully renovated","okres Martin",9.944375,"TARGETreal s. r. o.",10.950000,0.1011250079
"2-room apartment","fully renovated","okres Martin",9.944375,"B10 Slovensko, a. s.",8.110000,-0.1844635787
"2-room apartment","fully renovated","okres Martin",9.944375,"Reality Simply",10.560000,0.0619068569
"2-room apartment","fully renovated","okres Kysucké Nové Mesto",8.860000,"BeMi realitná kancelária",8.860000,0.0000000000
"2-room apartment","fully renovated","okres Martin",9.944375,"Like Reality s.r.o.",11.400000,0.1463767205
"2-room apartment","fully renovated","okres Žilina",12.062353,"EASY centrum bývania, s.r.o.",15.950000,0.3222959069
"2-room apartment","fully renovated","okres Martin",9.944375,"ALT REAL, s.r.o.",10.145000,0.0201747219
"2-room apartment","fully renovated","okres Liptovský Mikuláš",10.602857,"RESIDENCE realitná kancelária",10.945000,0.0322689441
"2-room apartment","fully renovated","okres Žilina",12.062353,"JKV REAL",12.310000,0.0205305714
"2-room apartment","fully renovated","okres Martin",9.944375,"Realitné kancelárie SR",11.320000,0.1383319716
"2-room apartment","fully renovated","okres Žilina",12.062353,"Piata Avenue",11.290000,-0.0640300446
"2-room apartment","fully renovated","okres Liptovský Mikuláš",10.602857,NULL,10.000000,-0.0568579771
"2-room apartment","fully renovated","okres Liptovský Mikuláš",10.602857,"OVERENÉ REALITY",13.100000,0.2355160501
"2-room apartment","fully renovated","okres Martin",9.944375,"RE/MAX Slovakia",9.965000,0.0020740368
"2-room apartment","fully renovated","okres Žilina",12.062353,"bezmaklérov, s.r.o.",13.000000,0.0777333411
"2-room apartment","fully renovated","okres Žilina",12.062353,"TUreality s.r.o.",12.730000,0.0553496486
"2-room apartment","fully renovated","okres Martin",9.944375,"FINREA - ak vám záleží na výsledku",9.530000,-0.0416692854
"2-room apartment","fully renovated","okres Martin",9.944375,"Reality MT s.r.o.",13.000000,0.3072716988
"2-room apartment","fully renovated","okres Námestovo",8.590000,"BeMi realitná kancelária",8.590000,0.0000000000
"2-room apartment","fully renovated","okres Martin",9.944375,"MAX PROFI REALITY",8.240000,-0.1713908617
"2-room apartment","fully renovated","okres Martin",9.944375,"Realitná kancelária",8.620000,-0.1331783043
"2-room apartment","fully renovated","okres Martin",9.944375,"Reality ASTORIA, s.r.o.",9.026667,-0.0922841305
"2-room apartment","fully renovated","okres Žilina",12.062353,"Realitná kancelária RED, s.r.o.",11.605000,-0.0379157367
"2-room apartment","fully renovated","okres Kysucké Nové Mesto",8.860000,Reality+,NULL,NULL
"2-room apartment","fully renovated","okres Žilina",12.062353,"DreamReality s.r.o.",11.360000,-0.0582268650
"2-room apartment","fully renovated","okres Dolný Kubín",11.496000,"OREA, s.r.o.",12.215000,0.0625434934
"2-room apartment","fully renovated","okres Žilina",12.062353,NULL,11.016000,-0.0867453473
"2-room apartment","fully renovated","okres Martin",9.944375,"Reality Center, s.r.o.",10.125000,0.0181635347
"2-room apartment","fully renovated","okres Liptovský Mikuláš",10.602857,"Realitná kancelária Peter Hubka",8.830000,-0.1672055937
"2-room apartment","fully renovated","okres Dolný Kubín",11.496000,"VAŠA REALITKA s.r.o.",8.620000,-0.2501739736
"2-room apartment","fully renovated","okres Martin",9.944375,"Reality Alpia",10.626000,0.0685437747
"2-room apartment","fully renovated","okres Bytča",11.395333,"Fortio Popper s.r.o.",11.395333,0.0000000000
"3-room apartment","new construction","okres Bytča",9.645000,NULL,11.430000,0.1850699844
"3-room apartment","new construction","okres Martin",10.170000,"ALT REAL, s.r.o.",8.820000,-0.1327433628
"3-room apartment","new construction","okres Martin",10.170000,"Reality Alpia",9.440000,-0.0717797443
"3-room apartment","new construction","okres Žilina",9.972000,"KVArent, s.r.o.",12.070000,0.2103890895
"3-room apartment","new construction","okres Žilina",9.972000,"STAREA, s. r. o.",7.830000,-0.2148014440
"3-room apartment","new construction","okres Čadca",NULL,"SLNOVRAT, s.r.o.",NULL,NULL
"3-room apartment","new construction","okres Žilina",9.972000,"AnoReal, s.r.o.",12.590000,0.2625350983
