property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
"3-room apartment","fully renovated","okres Žilina",Bôrik,90,2484.530476,1,4196.260000,68.8954931539
"1-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto",42,3762.587436,2,3332.855000,-11.4211946781
"3-room apartment",unrenovated,"okres Martin",Jahodníky,68,1900.298036,4,1887.360000,-0.6808424655
"3-room apartment","fully renovated","okres Martin",Necpaly,90,2484.530476,1,NULL,NULL
"3-room apartment",unrenovated,"okres Dolný Kubín","Veľký Bysterec",68,1900.298036,3,2057.415000,8.2680169649
"3-room apartment","new construction","okres Tvrdošín",Zuberec,110,2940.550842,2,2629.645000,-10.5730476603
"2-room apartment","partially renovated","okres Kysucké Nové Mesto",Sídlisko,67,2358.305690,2,2305.715000,-2.2300200616
"3-room apartment","new construction","okres Čadca",Centrum,110,2940.550842,1,1430.690000,-51.3461906672
"3-room apartment","partially renovated","okres Turčianske Teplice",Rakša,121,2016.158090,1,NULL,NULL
"1-room apartment","new construction","okres Kysucké Nové Mesto",Kamence,42,3762.587436,2,3728.340000,-0.9102097050
"3-room apartment","new construction","okres Žilina","Staré mesto",110,2940.550842,9,3410.800000,15.9918730628
"4-room apartment","new construction","okres Žilina","Staré mesto",38,2797.552667,7,3508.330000,25.4071117725
"2-room apartment","fully renovated","okres Bytča","Veľké Rovné",99,2597.321264,1,3000.000000,15.5036168063
"3-room apartment","partially renovated","okres Žilina",Hliny,121,2016.158090,4,2420.343333,20.0472991183
"2-room apartment","fully renovated","okres Martin",Stred,99,2597.321264,8,2590.823750,-0.2501621224
"3-room apartment","under construction","okres Ružomberok",Roveň,24,2895.789524,5,2975.950000,2.7681734234
"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",125,3419.646726,3,3714.285000,8.6160442177
"2-room apartment","fully renovated","okres Čadca",Makov,99,2597.321264,1,1664.910000,-35.8989577810
"3-room apartment","fully renovated","okres Žilina",Vlčince,90,2484.530476,6,2883.514000,16.0587091949
"4-room apartment",unrenovated,"okres Martin",Priekopa,12,1876.870000,2,1488.760000,-20.6785765663
"3-room apartment","partially renovated","okres Martin",Priekopa,121,2016.158090,2,1687.500000,-16.3012063206
"2-room apartment","new construction","okres Ružomberok",Hrabovo,125,3419.646726,3,3702.066667,8.2587461112
"3-room apartment",unrenovated,"okres Žilina","Staré mesto",68,1900.298036,3,2242.680000,18.0172771594
"2-room apartment","partially renovated","okres Žilina","Staré mesto",67,2358.305690,5,2992.877500,26.9079539896
"4-room apartment","new construction","okres Žilina",Hájik,38,2797.552667,3,2623.350000,-6.2269664859
"3-room apartment","new construction","okres Žilina",Vlčince,110,2940.550842,11,3177.283636,8.0506274749
"2-room apartment","fully renovated","okres Kysucké Nové Mesto",Nábrežie,99,2597.321264,1,2398.110000,-7.6698738335
"holiday apartment","fully renovated","okres Čadca",Makov,18,3390.796875,2,1641.275000,-51.5961863684
