property_type,condition,location_district,location_area,gen_count,gen_avg_rent,area_count,dis_avg_rent,rent_diff
"2-room apartment","fully renovated","okres Bytča","Veľká Bytča",82,10.786835,15,11.395333,5.6411171581
"3-room apartment","new construction","okres Žilina",Hliny,26,9.597200,3,9.230000,-3.8261159505
"4-room apartment","fully renovated","okres Dolný Kubín",Brezovec,13,10.190000,1,NULL,NULL
"2-room apartment","fully renovated","okres Martin",Sever,82,10.786835,2,9.810000,-9.0558073800
"2-room apartment","new construction","okres Liptovský Mikuláš",Palúdzka,69,11.685484,11,13.125556,12.3235973794
"2-room apartment","new construction","okres Dolný Kubín",Brezovec,69,11.685484,1,13.000000,11.2491361077
"3-room apartment","fully renovated","okres Martin",Stred,77,9.839863,8,7.648571,-22.2695376958
"2-room apartment","fully renovated","okres Dolný Kubín",Záskalie,82,10.786835,1,8.620000,-20.0877736611
"studio apartment","fully renovated","okres Martin","Horné Vrútky",13,14.678462,2,14.250000,-2.9189842914
"2-room apartment","new construction","okres Čadca",Kalinov,69,11.685484,3,12.493333,6.9132694889
"2-room apartment","partially renovated","okres Kysucké Nové Mesto",Sídlisko,26,9.940800,2,6.820000,-31.3938516015
"3-room apartment","partially renovated","okres Liptovský Mikuláš",Podbreziny,23,8.347273,1,7.560000,-9.4314993651
"2-room apartment","new construction","okres Žilina",Hliny,69,11.685484,3,12.470000,6.7135944048
"2-room apartment","partially renovated","okres Žilina",Vlčince,26,9.940800,1,11.670000,17.3949782714
"1-room apartment","partially renovated","okres Martin","Horné Vrútky",11,12.093000,1,13.000000,7.5002067312
"1-room apartment","fully renovated","okres Dolný Kubín",Mokraď,24,14.052273,1,14.000000,-0.3719896418
"holiday apartment","new construction","okres Liptovský Mikuláš",Iľanovo,4,15.480000,1,15.480000,0.0000000000
"2-room apartment","new construction","okres Žilina","Staré mesto",69,11.685484,6,13.296667,13.7879012970
"2-room apartment","partially renovated","okres Žilina","Staré mesto",26,9.940800,3,9.360000,-5.8425881217
"studio apartment","partially renovated","okres Martin",Stred,5,15.562000,1,16.670000,7.1199074669
"1-room apartment",unrenovated,"okres Žilina",Hájik,2,11.055000,1,11.400000,3.1207598372
"3-room apartment","fully renovated","okres Bytča","Veľká Bytča",77,9.839863,8,11.140000,13.2129583511
"2-room apartment","partially renovated","okres Žilina",Hliny,26,9.940800,2,12.275000,23.4810075648
"2-room apartment","partially renovated","okres Martin",Stred,26,9.940800,2,8.325000,-16.2542250121
"studio apartment","new construction","okres Žilina",Vlčince,7,18.427143,2,19.140000,3.8685161341
"3-room apartment","partially renovated","okres Liptovský Mikuláš",Palúdzka,23,8.347273,2,9.040000,8.2988420290
"1-room apartment","new construction","okres Čadca",Centrum,16,13.524375,1,14.320000,5.8828966218
"2-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto",82,10.786835,4,10.697500,-0.8281854687
"2-room apartment","new construction","okres Bytča","Thurzove sady",69,11.685484,1,8.810000,-24.6073162224
"studio apartment","fully renovated","okres Dolný Kubín",Brezovec,13,14.678462,2,18.080000,23.1736676499
"1-room apartment","fully renovated","okres Martin","Horné Vrútky",24,14.052273,1,10.980000,-21.8631747334
"studio apartment","fully renovated","okres Liptovský Mikuláš",NULL,13,14.678462,1,5.710000,-61.0994666880
"3-room apartment","fully renovated","okres Žilina","Staré mesto",77,9.839863,18,9.552353,-2.9218902743
"2-room apartment","fully renovated","okres Martin",Stred,82,10.786835,18,10.058235,-6.7545299432
"2-room apartment","new construction","okres Dolný Kubín",Stred,69,11.685484,1,10.890000,-6.8074544452
"2-room apartment","fully renovated","okres Žilina","Staré mesto",82,10.786835,7,12.091429,12.0943168223
"studio apartment","new construction","okres Kysucké Nové Mesto",Kamence,7,18.427143,1,16.790000,-8.8844103505
"3-room apartment","fully renovated","okres Čadca",Kyčerka,77,9.839863,1,8.910000,-9.4499588053
"3-room apartment","partially renovated","okres Čadca",Čierne,23,8.347273,1,5.560000,-33.3914201680
"2-room apartment","new construction","okres Námestovo",Mútne,69,11.685484,4,6.557500,-43.8833684595
"3-room apartment","partially renovated","okres Ružomberok",Klačno,23,8.347273,1,NULL,NULL
"2-room apartment","fully renovated","okres Dolný Kubín",Mokraď,82,10.786835,4,12.215000,13.2398891797
"3-room apartment","fully renovated","okres Žilina",Vlčince,77,9.839863,5,10.298000,4.6559286445
"3-room apartment","new construction","okres Námestovo",Rabčice,26,9.597200,1,5.710000,-40.5034801817
"3-room apartment","fully renovated","okres Kysucké Nové Mesto",Kamence,77,9.839863,2,12.365000,25.6623186725
"2-room apartment","fully renovated","okres Martin",Jahodníky,82,10.786835,2,9.825000,-8.9167489815
"1-room apartment","partially renovated","okres Žilina","Staré mesto",11,12.093000,1,11.000000,-9.0382866121
"2-room apartment","partially renovated","okres Ružomberok",Baničné,26,9.940800,1,9.160000,-7.8544986319
"2-room apartment","fully renovated","okres Kysucké Nové Mesto",Rudinka,82,10.786835,1,NULL,NULL
"studio apartment","partially renovated","okres Dolný Kubín",Brezovec,5,15.562000,1,15.390000,-1.1052563938
"1-room apartment","new construction","okres Liptovský Mikuláš",Stošice,16,13.524375,1,15.040000,11.2066176810
"2-room apartment",unrenovated,"okres Námestovo",Stred,8,9.495000,1,6.720000,-29.2259083728
"3-room apartment","partially renovated","okres Žilina",Vlčince,23,8.347273,2,10.835000,29.8028709496
"studio apartment","partially renovated","okres Martin",Ľadoveň,5,15.562000,1,14.400000,-7.4669065673
"2-room apartment","fully renovated","okres Žilina",Solinky,82,10.786835,1,13.800000,27.9337266214
"1-room apartment","partially renovated","okres Martin",Sever,11,12.093000,1,13.060000,7.9963615315
"2-room apartment","new construction","okres Námestovo",Lokca,69,11.685484,1,NULL,NULL
"4-room apartment","new construction","okres Žilina",Trnové,6,9.275000,1,6.370000,-31.3207547170
"3-room apartment","new construction","okres Bytča","Veľké Rovné",26,9.597200,1,7.860000,-18.1011128246
"2-room apartment","new construction","okres Žilina",Hájik,69,11.685484,1,16.740000,43.2546568033
"1-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto",16,13.524375,1,13.240000,-2.1026849670
"4-room apartment","new construction","okres Žilina",Hliny,6,9.275000,2,11.960000,28.9487870620
"2-room apartment",unrenovated,"okres Čadca",Centrum,8,9.495000,1,8.870000,-6.5824117957
"3-room apartment","fully renovated","okres Liptovský Mikuláš",Podbreziny,77,9.839863,1,10.330000,4.9811364244
"4-room apartment","fully renovated","okres Žilina",Solinky,13,10.190000,1,10.000000,-1.8645731109
"3-room apartment","new construction","okres Žilina","Staré mesto",26,9.597200,4,10.250000,6.8019839120
"3-room apartment",unrenovated,"okres Liptovský Mikuláš",Belánska,4,7.365000,1,6.880000,-6.5852002716
"2-room apartment","new construction","okres Martin",Stred,69,11.685484,7,11.968333,2.4205159153
"3-room apartment","new construction","okres Martin",Stred,26,9.597200,4,9.550000,-0.4918101113
"2-room apartment","new construction","okres Martin","Horné Vrútky",69,11.685484,3,10.250000,-12.2843349920
"2-room apartment","fully renovated","okres Martin",Sučany,82,10.786835,1,8.620000,-20.0877736611
"2-room apartment","new construction","okres Martin",Priekopa,69,11.685484,3,12.140000,3.8895778729
"3-room apartment","fully renovated","okres Žilina",Hliny,77,9.839863,5,12.382000,25.8350853056
"4-room apartment","fully renovated","okres Žilina","Staré mesto",13,10.190000,3,10.966667,7.6218547596
"3-room apartment","fully renovated","okres Žilina",Solinky,77,9.839863,2,11.325000,15.0930658283
"4-room apartment","fully renovated","okres Žilina",Hliny,13,10.190000,1,10.240000,0.4906771344
"holiday apartment","fully renovated","okres Liptovský Mikuláš",Demänová,3,14.400000,1,NULL,NULL
"2-room apartment","fully renovated","okres Námestovo",Stred,82,10.786835,1,8.590000,-20.3658904581
"2-room apartment","new construction","okres Kysucké Nové Mesto",Sídlisko,69,11.685484,3,9.480000,-18.8737068999
"4-room apartment","partially renovated","okres Ružomberok","Staré mesto",2,7.515000,1,6.360000,-15.3692614770
"studio apartment","partially renovated","okres Čadca",Žarec,5,15.562000,1,13.460000,-13.5072612775
"3-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto",77,9.839863,2,10.550000,7.2169399106
"4-room apartment","fully renovated","okres Žilina",Trnové,13,10.190000,1,8.000000,-21.4916584887
"2-room apartment","partially renovated","okres Žilina",Hájik,26,9.940800,2,12.300000,23.7324963786
"3-room apartment","fully renovated","okres Čadca",Stred,77,9.839863,1,10.830000,10.0625079841
"2-room apartment","partially renovated","okres Martin",Košúty,26,9.940800,2,9.240000,-7.0497344278
"2-room apartment",unrenovated,"okres Kysucké Nové Mesto",Stred,8,9.495000,1,8.000000,-15.7451290153
"3-room apartment","partially renovated","okres Dolný Kubín",Brezovec,23,8.347273,1,7.730000,-7.3949060969
"1-room apartment","partially renovated","okres Liptovský Mikuláš","Liptovská Ondrašová",11,12.093000,1,7.090000,-41.3710410982
"studio apartment","new construction","okres Žilina","Staré mesto",7,18.427143,1,25.710000,39.5224425186
"2-room apartment","fully renovated","okres Žilina",Hliny,82,10.786835,5,13.617500,26.2418494396
"3-room apartment","new construction","okres Žilina",Vlčince,26,9.597200,3,10.343333,7.7744863085
"2-room apartment",unrenovated,"okres Martin",Stred,8,9.495000,1,7.690000,-19.0100052659
"2-room apartment","fully renovated","okres Martin",Podháj,82,10.786835,5,10.390000,-3.6788826380
"3-room apartment","fully renovated","okres Martin","Horné Vrútky",77,9.839863,1,8.130000,-17.3768984385
"holiday apartment","fully renovated","okres Žilina",Vlčince,3,14.400000,1,NULL,NULL
"2-room apartment","fully renovated","okres Žilina",Hájik,82,10.786835,1,13.000000,20.5172787013
"3-room apartment","new construction","okres Kysucké Nové Mesto",Stred,26,9.597200,1,8.720000,-9.1401658817
"studio apartment","fully renovated","okres Kysucké Nové Mesto",Sídlisko,13,14.678462,1,18.000000,22.6286514214
"3-room apartment","partially renovated","okres Dolný Kubín","Veľký Bysterec",23,8.347273,1,8.880000,6.3820483648
"1-room apartment",unrenovated,"okres Čadca",Centrum,2,11.055000,1,10.710000,-3.1207598372
"2-room apartment",unrenovated,"okres Liptovský Mikuláš","Vrbica - Nábrežie",8,9.495000,1,12.200000,28.4886782517
"1-room apartment","partially renovated","okres Martin",Stráne,11,12.093000,1,NULL,NULL
"1-room apartment","new construction","okres Žilina","Staré mesto",16,13.524375,2,17.120000,26.5862562965
"2-room apartment","new construction","okres Čadca",Centrum,69,11.685484,3,10.340000,-11.5141486651
"studio apartment","new construction","okres Dolný Kubín",Brezovec,7,18.427143,1,18.180000,-1.3411900043
"4-room apartment","new construction","okres Žilina",Vlčince,6,9.275000,1,10.000000,7.8167115903
"3-room apartment","fully renovated","okres Martin",Záturčie,77,9.839863,2,9.615000,-2.2852249061
"4-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto",13,10.190000,1,13.130000,28.8518155054
"2-room apartment","fully renovated","okres Liptovský Mikuláš","Liptovská Ondrašová",82,10.786835,1,13.100000,21.4443346913
"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,4,15.480000,2,NULL,NULL
"2-room apartment","fully renovated","okres Liptovský Mikuláš",Palúdzka,82,10.786835,1,10.000000,-7.2944009990
