property_type,condition,location_district,gen_count,gen_avg_price,dis_count,dis_avg_price,price_diff
"3-room apartment","fully renovated","okres Žilina",90,2484.530476,27,2889.718462,16.3084329178
"1-room apartment","new construction","okres Liptovský Mikuláš",42,3762.587436,7,4113.190000,9.3181240294
"3-room apartment",unrenovated,"okres Martin",68,1900.298036,24,1712.116500,-9.9027380145
"3-room apartment","fully renovated","okres Martin",90,2484.530476,27,2109.253333,-15.1045497982
"3-room apartment",unrenovated,"okres Dolný Kubín",68,1900.298036,5,2270.982500,19.5066487981
"3-room apartment","new construction","okres Tvrdošín",110,2940.550842,3,2792.540000,-5.0334393096
"2-room apartment","partially renovated","okres Kysucké Nové Mesto",67,2358.305690,3,2282.426667,-3.2175227886
"3-room apartment","new construction","okres Čadca",110,2940.550842,2,1845.970000,-37.2236666126
"3-room apartment","partially renovated","okres Turčianske Teplice",121,2016.158090,6,1384.925000,-31.3087100228
"1-room apartment","new construction","okres Kysucké Nové Mesto",42,3762.587436,2,3728.340000,-0.9102097050
"3-room apartment","new construction","okres Žilina",110,2940.550842,40,3174.402286,7.9526407318
"4-room apartment","new construction","okres Žilina",38,2797.552667,23,2968.784762,6.1207818183
"2-room apartment","fully renovated","okres Bytča",99,2597.321264,3,2763.730000,6.4069369587
"3-room apartment","partially renovated","okres Žilina",121,2016.158090,20,2360.442222,17.0762468334
"2-room apartment","fully renovated","okres Martin",99,2597.321264,25,2491.667778,-4.0677865871
"3-room apartment","under construction","okres Ružomberok",24,2895.789524,5,2975.950000,2.7681734234
"2-room apartment","new construction","okres Liptovský Mikuláš",125,3419.646726,39,3530.526486,3.2424331776
"2-room apartment","fully renovated","okres Čadca",99,2597.321264,10,1826.004000,-29.6966445657
"4-room apartment",unrenovated,"okres Martin",12,1876.870000,2,1488.760000,-20.6785765663
"3-room apartment","partially renovated","okres Martin",121,2016.158090,42,1871.712143,-7.1644157131
"2-room apartment","new construction","okres Ružomberok",125,3419.646726,9,3005.420000,-12.1131438184
"3-room apartment",unrenovated,"okres Žilina",68,1900.298036,14,2338.332727,23.0508416418
"2-room apartment","partially renovated","okres Žilina",67,2358.305690,21,2872.318947,21.7958706193
"2-room apartment","fully renovated","okres Kysucké Nové Mesto",99,2597.321264,3,2525.256667,-2.7745738657
"holiday apartment","fully renovated","okres Čadca",18,3390.796875,3,1641.275000,-51.5961863684
"2-room apartment","new construction","okres Bytča",125,3419.646726,2,3041.110000,-11.0694687589
"4-room apartment","new construction","okres Čadca",38,2797.552667,2,1570.420000,-43.8645063407
"holiday apartment","new construction","okres Liptovský Mikuláš",93,4666.350909,68,5121.123393,9.7457840799
"4-room apartment",unrenovated,"okres Žilina",12,1876.870000,7,2022.186667,7.7425003863
