property_type,condition,location_district,gen_count,gen_avg_rent,area_count,dis_avg_rent,rent_diff
"2-room apartment","fully renovated","okres Bytča",82,10.786835,15,11.395333,5.6411171581
"3-room apartment","new construction","okres Žilina",26,9.597200,10,9.972000,3.9053057142
"4-room apartment","fully renovated","okres Dolný Kubín",13,10.190000,2,8.530000,-16.2904808636
"2-room apartment","fully renovated","okres Martin",82,10.786835,33,9.944375,-7.8100758934
"2-room apartment","new construction","okres Liptovský Mikuláš",69,11.685484,16,12.768571,9.2686533138
"2-room apartment","new construction","okres Dolný Kubín",69,11.685484,2,11.945000,2.2208408312
"3-room apartment","fully renovated","okres Martin",77,9.839863,16,8.372000,-14.9175146036
"2-room apartment","fully renovated","okres Dolný Kubín",82,10.786835,5,11.496000,6.5743566116
"studio apartment","fully renovated","okres Martin",13,14.678462,5,13.762000,-6.2435832855
"2-room apartment","new construction","okres Čadca",69,11.685484,6,11.632000,-0.4576960612
"2-room apartment","partially renovated","okres Kysucké Nové Mesto",26,9.940800,3,8.320000,-16.3045227748
"3-room apartment","partially renovated","okres Liptovský Mikuláš",23,8.347273,5,7.968000,-4.5436755213
"2-room apartment","new construction","okres Žilina",69,11.685484,18,12.333889,5.5488073921
"2-room apartment","partially renovated","okres Žilina",26,9.940800,10,11.000000,10.6550780621
"1-room apartment","partially renovated","okres Martin",11,12.093000,5,11.815000,-2.2988505747
"1-room apartment","fully renovated","okres Dolný Kubín",24,14.052273,2,13.250000,-5.7092044824
"holiday apartment","new construction","okres Liptovský Mikuláš",4,15.480000,3,15.480000,0.0000000000
"studio apartment","partially renovated","okres Martin",5,15.562000,3,16.320000,4.8708392238
"1-room apartment",unrenovated,"okres Žilina",2,11.055000,1,11.400000,3.1207598372
"3-room apartment","fully renovated","okres Bytča",77,9.839863,8,11.140000,13.2129583511
"2-room apartment","partially renovated","okres Martin",26,9.940800,9,8.878889,-10.6823495091
"studio apartment","new construction","okres Žilina",7,18.427143,4,20.330000,10.3263810348
"1-room apartment","new construction","okres Čadca",16,13.524375,3,11.606667,-14.1796423125
"2-room apartment","fully renovated","okres Liptovský Mikuláš",82,10.786835,7,10.602857,-1.7055790693
"2-room apartment","new construction","okres Bytča",69,11.685484,2,8.810000,-24.6073162224
"studio apartment","fully renovated","okres Dolný Kubín",13,14.678462,2,18.080000,23.1736676499
"1-room apartment","fully renovated","okres Martin",24,14.052273,10,13.708889,-2.4436189078
"studio apartment","fully renovated","okres Liptovský Mikuláš",13,14.678462,1,5.710000,-61.0994666880
"3-room apartment","fully renovated","okres Žilina",77,9.839863,33,10.215484,3.8173397333
"2-room apartment","fully renovated","okres Žilina",82,10.786835,18,12.062353,11.8247660227
"studio apartment","new construction","okres Kysucké Nové Mesto",7,18.427143,1,16.790000,-8.8844103505
"3-room apartment","fully renovated","okres Čadca",77,9.839863,5,9.294000,-5.5474654474
"3-room apartment","partially renovated","okres Čadca",23,8.347273,5,7.622000,-8.6887418202
"2-room apartment","new construction","okres Námestovo",69,11.685484,6,7.488000,-35.9204976020
"3-room apartment","partially renovated","okres Ružomberok",23,8.347273,1,NULL,NULL
"3-room apartment","new construction","okres Námestovo",26,9.597200,2,5.735000,-40.2429875380
"3-room apartment","fully renovated","okres Kysucké Nové Mesto",77,9.839863,4,11.985000,21.8004762871
"1-room apartment","partially renovated","okres Žilina",11,12.093000,1,11.000000,-9.0382866121
"2-room apartment","partially renovated","okres Ružomberok",26,9.940800,1,9.160000,-7.8544986319
"2-room apartment","fully renovated","okres Kysucké Nové Mesto",82,10.786835,2,8.860000,-17.8628392851
"studio apartment","partially renovated","okres Dolný Kubín",5,15.562000,1,15.390000,-1.1052563938
"1-room apartment","new construction","okres Liptovský Mikuláš",16,13.524375,2,14.140000,4.5519663570
"2-room apartment",unrenovated,"okres Námestovo",8,9.495000,1,6.720000,-29.2259083728
"3-room apartment","partially renovated","okres Žilina",23,8.347273,6,9.666667,15.8062878739
"4-room apartment","new construction","okres Žilina",6,9.275000,6,9.275000,0.0000000000
"3-room apartment","new construction","okres Bytča",26,9.597200,2,9.645000,0.4980619347
"2-room apartment",unrenovated,"okres Čadca",8,9.495000,1,8.870000,-6.5824117957
"3-room apartment","fully renovated","okres Liptovský Mikuláš",77,9.839863,4,9.955000,1.1701077545
"4-room apartment","fully renovated","okres Žilina",13,10.190000,8,9.861250,-3.2262021590
"3-room apartment",unrenovated,"okres Liptovský Mikuláš",4,7.365000,1,6.880000,-6.5852002716
"2-room apartment","new construction","okres Martin",69,11.685484,16,11.927857,2.0741374512
