offer_id,property_type,area,monthly_rent_m2,condition,position,floor,elevator,built_in,energy_certificate,north,south,east,west,location_district,location_city,location_area,agency,office_city
JuzjcjA88fI,"2-room apartment",62,10.34,"fully renovated","upper floor",3,NULL,2025,A,NULL,NULL,NULL,yes,"okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuR9IQwr1DX,"3-room apartment",68,8.68,"new construction",NULL,NULL,NULL,2008,"not available",NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JujzGN4k6bn,"2-room apartment",65,9.24,"fully renovated","upper floor",8,yes,2025,"not available",NULL,NULL,NULL,NULL,"okres Martin",Martin,Sever,"Reality Alpia",Martin
JuyUZh4v08L,"2-room apartment",49,14.29,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,NULL,NULL
Ju8a3kcGYvG,"2-room apartment",50,13.00,"new construction","ground floor",1,yes,NULL,A,NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuTiIF5zkxo3,"2-room apartment",65,8.62,"fully renovated","ground floor",1,NULL,2000,"not available",NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Záskalie,"VAŠA REALITKA s.r.o.",Ružomberok
JuUCL8fPL9h,"studio apartment",36,12.50,"fully renovated","ground floor",1,NULL,NULL,B,NULL,NULL,NULL,NULL,"okres Martin",Vrútky,"Horné Vrútky","FINREA - ak vám záleží na výsledku","Dolný Kubín"
Ju3gs_noUEz,"2-room apartment",45,13.78,"new construction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca","Krásno nad Kysucou",Kalinov,NULL,NULL
Ju_IBACCGzT,"2-room apartment",66,6.82,"partially renovated","raised ground floor",1,NULL,NULL,"not available",NULL,yes,NULL,yes,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Vianema s.r.o.",Bratislava
JuatrleUyRX,"3-room apartment",78,7.56,"partially renovated","ground floor",1,yes,1980,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"AstonReal s.r.o.","Banská Bystrica"
JuqBZCEixbC,"2-room apartment",52,13.17,"new construction","upper floor",3,yes,2018,"not available",NULL,NULL,NULL,yes,"okres Žilina",Žilina,Hliny,"Reality Alpia",Martin
JunnFbGwfA5,"2-room apartment",60,11.67,"partially renovated",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,Vlčince,"Wealth Group, s.r.o.","Nová Dedinka"
