offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
JurZTuUssP0,house,124,"new construction",1330.65,2025,124,665,145,flat,"not available",on-site,well,"okres Bytča",Bytča,"Hliník nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
JutFw8pKjMj,house,130,unrenovated,537.69,1970,130,646,130,flat,"not available",NULL,"public water","okres Kysucké Nové Mesto",Lodno,Lodno,"WFG reality, s.r.o.",Žilina
JuKW3SQ8Df4,house,307,"partially renovated",353.85,1996,307,1500,181,flat,"not available",NULL,NULL,"okres Čadca",Makov,Makov,"1. Reality Rent, s.r.o.",Žilina
JuLJB10v5yK,house,130,"fully renovated",2500.00,1960,130,753,130,NULL,"not available",NULL,NULL,"okres Žilina",Žilina,Trnové,"TUreality s.r.o.",Žilina
Ju2gistO4oo,house,130,unrenovated,1961.54,1905,130,1812,150,NULL,"not available",NULL,NULL,"okres Martin",Martin,Priekopa,"Realitná kancelária",Bratislava
JuDeBj46p9m,house,225,unrenovated,1062.22,1976,225,583,150,flat,"not available",on-site,"public water","okres Turčianske Teplice","Turčianske Teplice",Stred,"TARGETreal s. r. o.",Žilina
JubUhU28foO,house,833,unrenovated,118.25,2025,833,833,90,"gently sloped","not available","not available",well,"okres Kysucké Nové Mesto",Rudinská,Rudinská,"Reality Alpia",Martin
JuSsCe7WLb6P,house,734,"partially renovated",185.29,1960,734,734,NULL,flat,"not available","not available",well,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce","Reality Alpia",Martin
JuB2SVYi89D,house,150,"partially renovated",720.00,1950,150,238,213,flat,"not available",NULL,NULL,"okres Žilina","Rajecká Lesná","Rajecká Lesná","1. Reality Rent, s.r.o.",Žilina
JuYNloJYOdw,house,140,unrenovated,NULL,1970,140,1034,150,flat,"not available",on-site,"public water","okres Martin",Príbovce,Príbovce,"Reality MT s.r.o.",Martin
JulZg30zNO8,house,250,"partially renovated",1076.00,2000,250,861,102,flat,"not available",NULL,NULL,"okres Žilina","Lietavská Lúčka","Lietavská Lúčka","AstonReal s.r.o.","Banská Bystrica"
JuJjPVMhkUw,house,250,"new construction",1439.96,2022,250,648,241,NULL,A,NULL,NULL,"okres Martin",Martin,Priekopa,"Georgi Conev",Žilina
JudQy8A1FLU,house,230,"partially renovated",869.13,2010,230,597,104,sloped,"not available",on-site,"public water","okres Kysucké Nové Mesto",Ochodnica,Ochodnica,"Pro Real, s. r. o. realitná kancelária",Žilina
Ju1eOtgzhMF,house,80,"new construction",2499.88,2024,80,435,100,NULL,A,NULL,NULL,"okres Bytča","Veľké Rovné","Veľké Rovné","TARGETreal s. r. o.",Žilina
Jui4dVLb9Ci,house,110,"new construction",2318.18,2024,110,566,132,flat,A,NULL,NULL,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom","Reality AK, spol. s r.o.",Martin
JuC8my3kfcD,house,90,unrenovated,3500.00,1975,90,898,90,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Romantické Chalupy, s.r.o.",Bratislava
JultKoQUF1n,house,378,"fully renovated",658.73,2025,378,NULL,NULL,"gently sloped","not available","not available",well,"okres Martin",Valča,Valča,"Reality Alpia",Martin
JuSbYhRyin-,house,240,"fully renovated",1395.42,1932,240,434,150,flat,"not available",NULL,NULL,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom","Mamud Reality s. r. o.",Žilina
JucbDZIqH5K,house,378,"fully renovated",515.87,1930,378,812,308,flat,"not available",NULL,"public water","okres Dolný Kubín","Medzibrodie nad Oravou","Medzibrodie nad Oravou","OREA, s.r.o.","Dolný Kubín"
JuTe9xTBEze,house,148,unrenovated,1445.95,1963,148,1100,148,"gently sloped","not available",NULL,NULL,"okres Žilina","Rajecké Teplice","Rajecké Teplice","EASY centrum bývania, s.r.o.",Žilina
Ju9jNRRDueP,house,35,"new construction",3428.57,2019,35,NULL,NULL,NULL,"not available",NULL,NULL,"okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján","TUreality s.r.o.",Žilina
Ju7QtyDiguT,house,1,"fully renovated",NULL,2010,1,441,86,flat,"not available",NULL,"public water","okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec","KRUPPKY, s.r.o.","Liptovský Mikuláš"
Ju8LEFRICza,house,177,"under construction",1519.95,2024,177,NULL,177,"gently sloped",A,on-site,"public water","okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie",donidDevelop,"Dolný Kubín"
JuLVnnHvRdJ,house,140,"partially renovated",NULL,1978,140,632,140,flat,"not available",NULL,NULL,"okres Martin",Daňová,Ďanová,"Reality IQ, s.r.o.",Žilina
