offer_id,property_type,area,terrain,price_m2,location_district,location_city,location_area,agency,office_city
Jur2iE4GKyv,land,1134,"gently sloped",120.00,"okres Martin",Sklabiňa,Sklabiňa,"ALT REAL, s.r.o.",Martin
Ju5Ehcheq2v,land,1550,terraced,89.68,"okres Žilina",Višňové,Višňové,"RIEŠIME BÝVANIE",Bratislava
JuhyQTsj1LU,land,1122,NULL,218.36,"okres Žilina",Hôrky,Hôrky,"TARGETreal s. r. o.",Žilina
JuPp6sukGjm,land,NULL,NULL,NULL,"okres Žilina",Žilina,Bôrik,"MGM reality",Žilina
JuAINHKEpb9,land,600,flat,241.67,"okres Žilina",Žilina,Trnové,"Ing. Gerlinda Bérešová - Esti",Žilina
JubBzZv3CZ4,land,628,flat,125.00,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov","Realitné kancelárie SR",Bratislava
Jubyz8KHpaA,land,500,flat,NULL,"okres Liptovský Mikuláš",Lazisko,Lazisko,donidDevelop,"Dolný Kubín"
JuWu8X5e0jn,land,609,NULL,145.60,"okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,"Direct Real, spol. s r.o.",Bratislava
Ju5paSEB6Nv,land,701,NULL,160.00,"okres Žilina",Terchová,Terchová,"RS Mansory s.r.o.",Bratislava
JuaCQD06zTh,land,690,"gently sloped",65.22,"okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov","ROSA reality","Kysucké Nové Mesto"
JuKYxcrrEwh,land,995,NULL,98.69,"okres Námestovo",Zákamenné,Zákamenné,NULL,NULL
JuJYKVSAq2k,land,900,NULL,133.22,"okres Bytča",Súľov-Hradná,Súľov-Hradná,NULL,NULL
JusCOC7JYu5,land,558,flat,125.45,"okres Ružomberok",Štiavnička,Štiavnička,"NajBývanie, s.r.o.",Ružomberok
Juv5TkPsj9T,land,2142,"gently sloped",40.00,"okres Turčianske Teplice","Turčianske Teplice","Turčiansky Michal","Reality Center, s.r.o.",Martin
JuRufzqYfTo,land,810,"gently sloped",558.64,"okres Žilina",Žilina,Budatín,"Real Estate Group4U","Považská Bystrica"
JuB6HhfZSPN,land,922,"gently sloped",189.80,"okres Žilina",Žilina,Budatín,"WFG reality, s.r.o.",Žilina
JuNR7iOAWOb,land,375,flat,101.33,"okres Liptovský Mikuláš","Liptovské Kľačany","Liptovské Kľačany","AstonReal s.r.o.","Banská Bystrica"
JuNztztwtJj,land,696,NULL,440.00,"okres Žilina",Žilina,Bôrik,"ROMDOM, s. r. o",Žilina
JudgSom7ejT,land,389,flat,87.40,"okres Čadca",Staškov,Staškov,"Safe reality s. r. o.",Žilina
Ju98hXHMfyH,land,398,flat,29.50,"okres Čadca",Olešná,Olešná,"JPE. Reality - Jozef Pajer",Čadca
JuEJOqphXdZ,land,1362,"mostly flat",65.00,"okres Čadca",Raková,Raková,"ETHOS reality, s. r. o.","Krásno nad Kysucou"
Jul095-F2H-,land,567,flat,120.00,"okres Martin",Sklabiňa,Sklabiňa,"ALT REAL, s.r.o.",Martin
JuPGYcuAlfl,land,858,NULL,99.00,"okres Liptovský Mikuláš","Liptovská Anna","Liptovská Anna",NULL,NULL
JuLNhT-3oNA,land,454,flat,129.96,"okres Bytča",Maršová-Rašov,Maršová-Rašov,"ADH-REAL s.r.o. Hirjaková Adriana",Ovčiarsko
Jus3WMnENIj,land,583,"gently sloped",65.00,"okres Žilina",Zbyňov,Zbyňov,"WFG reality, s.r.o.",Žilina
JuWnFD5OAUU,land,1852,"gently sloped",64.79,"okres Námestovo","Oravská Jasenica","Oravská Jasenica","RE/MAX Slovakia",Bratislava
Ju-0W9ug2Ol,land,880,flat,38.41,"okres Čadca",Turzovka,Predmier,"SLNOVRAT, s.r.o.",Olešná
JuizzObcJTE,land,1330,NULL,100.00,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače","Apollo House",Bratislava
