offer_id,agency,property_category,property_type,condition,location_district,location_area,area_price_category,area_price_index,price_m2,segment_avg_price,pricing_index,agency_listings,all_listings
JuUlwzFbYFD,NULL,land,NULL,NULL,"okres Dolný Kubín",Kraľovany,cheap,-24.34,35.00,35.00,0.0000,1,1
JuVIY0GAADR,NULL,land,NULL,NULL,"okres Ružomberok","Liptovské Sliače",average,-7.12,99.00,69.50,0.4245,2,2
JuYB0zOc7gD,NULL,land,NULL,NULL,"okres Ružomberok","Liptovské Sliače",average,-7.12,40.00,69.50,-0.4245,2,2
Ju-s0a69uoP,NULL,house,NULL,"fully renovated","okres Žilina",Rajec,average,-11.29,NULL,NULL,NULL,1,1
JugeXc96z-v,NULL,house,NULL,"new construction","okres Dolný Kubín",Mokraď,premium,65.60,NULL,NULL,NULL,1,1
JuwqK7Dudy6,NULL,house,NULL,"new construction","okres Liptovský Mikuláš","Liptovské Kľačany",expensive,8.20,NULL,NULL,NULL,1,1
Ju4sn1YIbXo,NULL,house,NULL,"new construction","okres Námestovo",Vavrečka,premium,46.31,NULL,NULL,NULL,1,1
JuEHqE5JgWy,NULL,house,NULL,"new construction","okres Tvrdošín",Zábiedovo,cheap,-17.91,NULL,NULL,NULL,1,1
JuYd_ySpDkY,NULL,house,NULL,"partially renovated","okres Martin",Priekopa,premium,55.82,NULL,84663.33,NULL,1,2
Jup4EgHcPTP,NULL,house,NULL,"partially renovated","okres Ružomberok","Liptovské Revúce","very cheap",-42.77,NULL,NULL,NULL,1,1
JugmUi1YrCL,NULL,house,NULL,"partially renovated","okres Turčianske Teplice",Jasenovo,NULL,NULL,NULL,NULL,NULL,1,1
JuirYeDybOq,NULL,house,NULL,"partially renovated","okres Žilina",Podhorie,expensive,19.77,NULL,NULL,NULL,1,1
JuPV9PU2Pc2,NULL,house,NULL,unrenovated,"okres Čadca",Zákopčie,cheap,-18.02,NULL,NULL,NULL,1,1
JurM0RjMVTd,NULL,house,NULL,unrenovated,"okres Liptovský Mikuláš","Liptovské Beharovce","very cheap",-55.88,NULL,NULL,NULL,1,1
Ju3I_NXNtd2,NULL,house,NULL,unrenovated,"okres Turčianske Teplice","Turčiansky Michal",average,-11.08,NULL,NULL,NULL,1,1
Juc74a1hN-t,NULL,house,NULL,unrenovated,"okres Žilina",Mojš,average,0.39,NULL,NULL,NULL,1,1
JuuSRj_dS1E,NULL,apartment,"1-room apartment","fully renovated","okres Martin",Ľadoveň,average,-5.00,3316.67,3316.67,0.0000,1,1
JudrbteyWzE,NULL,apartment,"1-room apartment","new construction","okres Dolný Kubín",Brezovec,average,-1.33,3515.15,3515.15,0.0000,1,1
JuqDuiRmYdZ,NULL,apartment,"1-room apartment",unrenovated,"okres Žilina",Vlčince,premium,39.03,NULL,2975.00,NULL,1,3
JuuuYAHYGX8,NULL,apartment,"2-room apartment","development project","okres Dolný Kubín",Brezovec,average,-1.33,2716.67,2716.67,0.0000,1,1
JubsYNuv_gH,NULL,apartment,"2-room apartment","development project","okres Dolný Kubín",Stred,average,-5.26,NULL,NULL,NULL,1,1
JuZrguawZAO,NULL,apartment,"2-room apartment","fully renovated","okres Bytča","Veľká Bytča",expensive,8.56,2343.59,2343.59,0.0000,1,1
JuEHAn3LwGR,NULL,apartment,"2-room apartment","fully renovated","okres Dolný Kubín",Stred,average,-5.26,2314.29,2314.29,0.0000,1,1
Jux-AEYjDab,NULL,apartment,"2-room apartment","fully renovated","okres Žilina",Solinky,expensive,24.79,3500.00,3519.90,-0.0057,1,2
JuFc31jRHf3,NULL,apartment,"2-room apartment","fully renovated","okres Žilina",Vlčince,premium,39.03,2846.15,2931.48,-0.0291,1,4
JuUG1bLiAAp,NULL,apartment,"2-room apartment","new construction","okres Bytča","Veľké Rovné",average,-9.95,3000.00,3000.00,0.0000,1,1
Juiqajk1kjr,NULL,apartment,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3253.49,3233.67,0.0061,6,7
Jubm9fi-mY2v,NULL,apartment,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3502.13,3233.67,0.0830,6,7
JuUgt1O2AUN,NULL,apartment,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3640.48,3233.67,0.1258,6,7
JuqAM-ZO9ir,NULL,apartment,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3563.64,3233.67,0.1020,6,7
JuN_WBxnd6g,NULL,apartment,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3108.89,3233.67,-0.0386,6,7
Ju2vUj8wFP4,NULL,apartment,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3108.89,3233.67,-0.0386,6,7
JuMuHR9ALAx,NULL,apartment,"2-room apartment","new construction","okres Liptovský Mikuláš",Prekážka,average,-4.07,2500.00,2500.00,0.0000,1,1
JuITiNm8gMP,NULL,apartment,"2-room apartment","new construction","okres Martin",Stred,expensive,19.38,2796.88,2769.70,0.0098,2,6
Ju5Yoj_C-t-,NULL,apartment,"2-room apartment","new construction","okres Martin",Stred,expensive,19.38,2946.43,2769.70,0.0638,2,6
JuJCzmrTicR,NULL,apartment,"2-room apartment","new construction","okres Martin",Záturčie,average,-12.61,3250.00,3250.00,0.0000,1,2
JujVD_-rIKd,NULL,apartment,"2-room apartment","new construction","okres Ružomberok",Hrabovo,average,-7.51,3637.50,3702.07,-0.0174,1,3
JukRhMNGZ-C,NULL,apartment,"2-room apartment","new construction","okres Ružomberok",Roveň,average,-12.14,2610.64,2610.64,0.0000,1,1
JuP6ftsrJ5D,NULL,apartment,"2-room apartment","new construction","okres Žilina",Hliny,expensive,11.48,3798.18,3798.18,0.0000,1,2
JuWJdu9GaUY,NULL,apartment,"2-room apartment","new construction","okres Žilina",Kunerad,expensive,8.95,4234.04,4234.04,0.0000,1,2
JuwgpofL0aK,NULL,apartment,"2-room apartment","partially renovated","okres Námestovo",NULL,NULL,NULL,NULL,NULL,NULL,1,1
Ju4hZgzLszu,NULL,apartment,"2-room apartment","partially renovated","okres Tvrdošín",Trstená,average,-10.23,2000.00,1992.00,0.0040,1,2
Juq8SVDOmLX,NULL,apartment,"2-room apartment","partially renovated","okres Žilina",Solinky,expensive,24.79,3208.33,3171.62,0.0116,1,3
JuUknu_3A4k,NULL,apartment,"2-room apartment","partially renovated","okres Žilina","Staré mesto",expensive,25.24,2638.89,2992.88,-0.1183,1,5
Ju_yl2A922o,NULL,apartment,"2-room apartment",unrenovated,"okres Turčianske Teplice",Stred,cheap,-16.60,1366.67,1366.67,0.0000,1,1
Juvk9S_5ltU,NULL,apartment,"2-room apartment",unrenovated,"okres Žilina",Hliny,expensive,11.48,2592.59,2579.51,0.0051,1,5
JuR7qWw7H0C,NULL,apartment,"3-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto",average,1.93,4200.00,3556.52,0.1809,1,3
JuiHekkzZ0E,NULL,apartment,"3-room apartment","fully renovated","okres Liptovský Mikuláš","Vrbica - Nábrežie",average,1.84,NULL,2386.67,NULL,1,2
JuhBW328SAS,NULL,apartment,"3-room apartment","fully renovated","okres Martin","Horné Vrútky",average,-10.79,2387.91,2079.02,0.1486,1,5
Jub-qUAwi4z,NULL,apartment,"3-room apartment","fully renovated","okres Martin",Košúty,average,-3.60,2031.25,2015.63,0.0077,1,3
JukApNg-M8K,NULL,apartment,"3-room apartment","fully renovated","okres Žilina","Malá Praha",premium,74.15,3674.58,3674.58,0.0000,1,1
JuD4zRss3yP,NULL,apartment,"3-room apartment","fully renovated","okres Žilina",Solinky,expensive,24.79,2500.00,2592.86,-0.0358,1,2
JuFvtb1f76m,NULL,apartment,"3-room apartment","fully renovated","okres Žilina",Vlčince,premium,39.03,3041.67,2883.51,0.0548,1,6
JuBIZmW7FwQ,NULL,apartment,"3-room apartment","new construction","okres Kysucké Nové Mesto",Sídlisko,average,-3.57,2422.54,2474.39,-0.0210,1,4
JuvOboUvobu,NULL,apartment,"3-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3781.25,3516.49,0.0753,2,2
JuZ68DUQRpn,NULL,apartment,"3-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",cheap,-20.16,3251.72,3516.49,-0.0753,2,2
JuySZhvO7pX,NULL,apartment,"3-room apartment","new construction","okres Ružomberok","Staré mesto",average,-14.78,2459.26,2494.84,-0.0143,2,2
JunJQlPuUZ5,NULL,apartment,"3-room apartment","new construction","okres Ružomberok","Staré mesto",average,-14.78,2530.41,2494.84,0.0143,2,2
Ju0haPUlmUa,NULL,apartment,"3-room apartment","new construction","okres Žilina",Hliny,expensive,11.48,NULL,NULL,NULL,1,2
JujYXXx5gXi,NULL,apartment,"3-room apartment","new construction","okres Žilina","Staré mesto",expensive,25.24,3223.45,3410.80,-0.0549,2,9
JuuIsQ7Faa3,NULL,apartment,"3-room apartment","new construction","okres Žilina","Staré mesto",expensive,25.24,2500.00,3410.80,-0.2670,2,9
JuhnGApypwY,NULL,apartment,"3-room apartment","new construction","okres Žilina",Vlčince,premium,39.03,3076.09,3177.28,-0.0318,2,11
Jul8pXByFOl,NULL,apartment,"3-room apartment","new construction","okres Žilina",Vlčince,premium,39.03,3472.83,3177.28,0.0930,2,11
Ju0hF7AM_5h,NULL,apartment,"3-room apartment","partially renovated","okres Čadca",Kyčerka,cheap,-16.23,2213.85,2025.68,0.0929,1,4
