agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
"1. Reality Rent, s.r.o.",9,-0.00174286,NULL,28,0.05264615,NULL,36,0.05940571,"1. Reality Rent, s.r.o."
"1.BCR REAL ESTATE SLOVAKIA",NULL,NULL,NULL,NULL,NULL,NULL,1,0.48860000,NULL
"4FIN s.r.o.",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"A-Byt Consult, s.r.o.",7,-0.02298571,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"ACTIVE - Reality, s. r. o.",3,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ADH-REAL s.r.o. Hirjaková Adriana",NULL,NULL,NULL,5,-0.03218000,NULL,2,0.08385000,NULL
"ADOMOS REAL s.r.o.",1,-0.10950000,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"agreal.sk, spol. s r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,0.00000000,NULL
"ALFA SALUTO REAL s.r.o",2,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"All 4 Life, s.r.o.",1,0.04340000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Allrisk Slovakia Reality & Financie, s.r.o.",NULL,NULL,NULL,1,-0.13240000,NULL,NULL,NULL,NULL
"ALT REAL, s.r.o.",4,-0.03193333,NULL,23,0.01318182,NULL,11,0.05529091,NULL
"AnoReal, s.r.o.",NULL,NULL,NULL,4,0.03460000,NULL,7,0.09934000,NULL
"AnReal s. r. o.",1,0.00000000,NULL,1,0.00000000,NULL,4,-0.19552500,NULL
"AP REAL, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,4,-0.24250000,NULL
"Apollo House",1,NULL,NULL,4,0.03020000,NULL,6,0.05740000,NULL
"ARBIZ real estate & finance s. r. o.",2,0.00000000,NULL,4,0.00000000,NULL,NULL,NULL,NULL
"ARCHEUS Partners a.s.",4,-0.04973333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arvin & Benet",1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL
"AstonReal s.r.o.",23,-0.00533077,NULL,17,-0.03526875,NULL,10,-0.00908000,NULL
"ATP stavby s.r.o.",1,0.00000000,NULL,1,0.00000000,NULL,2,0.22500000,NULL
AZUR.RE,1,-0.10690000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"B10 Slovensko, a. s.",33,0.02759524,"B10 Slovensko, a. s.",27,-0.06021429,NULL,15,-0.19988182,NULL
"Babony TRE s.r.o.",NULL,NULL,NULL,2,0.00000000,NULL,NULL,NULL,NULL
"BALAŽI REAL ESTATE s.r.o.",NULL,NULL,NULL,2,0.00000000,NULL,26,-0.02998095,NULL
"BB - REALITY,  s.r.o.",1,-0.00860000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BEDES | Realitná kancelária",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BEEVAM, s.r.o.",1,-0.03620000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BeMi realitná kancelária",15,-0.02477692,NULL,30,-0.00872174,NULL,41,0.00512895,"BeMi realitná kancelária"
"BENCONT DEVELOPMENT, a.s.",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"BEŇO REALITY",1,-0.00760000,NULL,NULL,NULL,NULL,4,0.13210000,NULL
"bezmaklérov, s.r.o.",3,-0.00753333,NULL,3,0.00000000,NULL,8,0.01536250,NULL
"BIZNIS REALITY, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,2,0.11120000,NULL
"Bonjour real",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Bosen Group s.r.o.",8,0.05002500,NULL,6,0.00160000,NULL,3,-0.02755000,NULL
"BR ACADEMY, s. r. o.",1,NULL,NULL,5,0.00000000,NULL,1,0.00000000,NULL
"Briliant Reality, s.r.o.",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
"Buby reality, s.r.o.",16,0.01326667,NULL,11,-0.03316667,NULL,7,0.00000000,NULL
"BV REAL PD, s.r.o.",NULL,NULL,NULL,3,0.00000000,NULL,1,-0.23530000,NULL
"CANGURU s.r.o.",15,0.00579231,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Constario REALTY s.r.o.",7,0.02328571,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Cooper Real s.r.o",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CPM Real Estate",NULL,NULL,NULL,2,0.14125000,NULL,NULL,NULL,NULL
"CreeX Reality s.r.o.",1,0.23190000,NULL,1,-0.07140000,NULL,NULL,NULL,NULL
"Crystin reality, s.r.o.",1,0.05660000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Delta Property s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,1,-0.12600000,NULL
"Direct Real, spol. s r.o.",16,0.01365625,NULL,16,0.03898462,NULL,14,0.02404545,NULL
"DLUGO reality",3,0.06633333,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DOBRÉ REALITY s.r.o.",NULL,NULL,NULL,2,0.01420000,NULL,2,0.00000000,NULL
"Domovia s. r. o.",1,-0.09610000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DOMUM realitná spoločnosť s. r. o.",2,-0.03760000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
donidDevelop,4,0.00717500,NULL,4,-0.12627500,NULL,9,-0.05650000,NULL
"DRAŽOBNÍK, s.r.o.",NULL,NULL,NULL,1,-0.31960000,NULL,NULL,NULL,NULL
"DreamReality s.r.o.",3,-0.09493333,NULL,7,-0.07952000,NULL,7,0.01345714,NULL
"DRR INVEST, s. r. o.",5,-0.01246000,NULL,4,0.03075000,NULL,4,0.10735000,NULL
"DVOŘÁK & PARTNERS s. r. o.",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"EASY centrum bývania, s.r.o.",2,0.33215000,NULL,1,0.00000000,NULL,2,-0.20750000,NULL
"Eden Real estate, s.r.o.",NULL,NULL,NULL,NULL,NULL,NULL,2,-0.04355000,NULL
"Effecting s.r.o.",2,0.02415000,NULL,1,-0.01900000,NULL,1,0.00000000,NULL
"Eli real realitná kancelária",1,-0.05240000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ELITE reality",NULL,NULL,NULL,NULL,NULL,NULL,1,-0.17250000,NULL
Envire,NULL,NULL,NULL,NULL,NULL,NULL,1,0.30170000,NULL
"Estate Invest",1,0.21880000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ETHOS reality, s. r. o.",NULL,NULL,NULL,2,-0.17110000,NULL,4,-0.10072500,NULL
"Euro Bauer s.r.o.",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"EVER SK, s.r.o.",1,0.00000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"FatraReal s. r. o.",NULL,NULL,NULL,2,0.00000000,NULL,NULL,NULL,NULL
"Felicita Real s. r. o.",3,0.00053333,NULL,1,0.00000000,NULL,NULL,NULL,NULL
