offer_type,property_category,condition,location_district,agencies_num,total_listings,listings_per_10k,listings_per_agency,cr3,conservative_rating,growth_rating,execution_rating,combined_rating
rent,apartment,"fully renovated","okres Čadca",6,11,1.269,1.83,54.55,41,30,36,36
rent,apartment,"fully renovated","okres Dolný Kubín",3,13,3.357,4.33,100.00,24,27,38,30
rent,apartment,"fully renovated","okres Kysucké Nové Mesto",6,6,1.844,1.00,50.00,39,28,30,32
rent,apartment,"fully renovated","okres Liptovský Mikuláš",11,17,2.388,1.55,47.06,45,34,38,39
rent,apartment,"fully renovated","okres Martin",24,57,6.141,2.38,40.35,59,49,53,54
rent,apartment,"fully renovated","okres Žilina",25,46,2.869,1.84,32.61,59,44,49,51
rent,apartment,"new construction","okres Bytča",4,5,1.592,1.25,80.00,18,14,15,16
rent,apartment,"new construction","okres Čadca",5,9,1.039,1.80,77.78,23,18,22,21
rent,apartment,"new construction","okres Kysucké Nové Mesto",4,6,1.844,1.50,83.33,17,14,16,16
rent,apartment,"new construction","okres Liptovský Mikuláš",8,14,1.967,1.75,64.29,33,26,29,29
rent,apartment,"new construction","okres Martin",11,17,1.832,1.55,47.06,45,33,37,38
rent,apartment,"new construction","okres Námestovo",3,8,1.237,2.67,100.00,12,13,19,15
rent,apartment,"new construction","okres Žilina",15,29,1.808,1.93,44.83,49,37,43,43
rent,apartment,"partially renovated","okres Čadca",4,4,0.462,1.00,75.00,19,13,15,16
rent,apartment,"partially renovated","okres Dolný Kubín",2,5,1.291,2.50,100.00,11,12,17,13
rent,apartment,"partially renovated","okres Kysucké Nové Mesto",2,2,0.615,1.00,100.00,0,1,0,0
rent,apartment,"partially renovated","okres Liptovský Mikuláš",7,9,1.264,1.29,55.56,36,26,29,30
rent,apartment,"partially renovated","okres Martin",10,21,2.263,2.10,52.38,45,35,40,40
rent,apartment,"partially renovated","okres Ružomberok",2,2,0.355,1.00,100.00,0,0,0,0
rent,apartment,"partially renovated","okres Žilina",8,11,0.686,1.38,54.55,38,26,30,31
rent,apartment,unrenovated,"okres Liptovský Mikuláš",2,2,0.281,1.00,100.00,0,0,0,0
rent,apartment,unrenovated,"okres Martin",3,3,0.323,1.00,100.00,0,0,0,0
rent,apartment,unrenovated,"okres Žilina",5,5,0.312,1.00,60.00,31,21,23,25
rent,house,"fully renovated","okres Žilina",6,6,0.374,1.00,50.00,39,26,29,31
rent,house,"new construction","okres Martin",3,4,0.431,1.33,100.00,2,3,4,3
rent,house,"new construction","okres Žilina",5,6,0.374,1.20,66.67,27,18,21,22
rent,house,"partially renovated","okres Žilina",2,2,0.125,1.00,100.00,0,0,0,0
sale,apartment,"development project","okres Žilina",4,13,0.811,3.25,92.31,21,20,29,23
sale,apartment,"fully renovated","okres Bytča",3,3,0.955,1.00,100.00,1,1,1,1
sale,apartment,"fully renovated","okres Čadca",11,26,3.000,2.36,65.38,37,31,36,35
sale,apartment,"fully renovated","okres Dolný Kubín",6,12,3.099,2.00,75.00,28,24,27,26
sale,apartment,"fully renovated","okres Kysucké Nové Mesto",5,5,1.537,1.00,60.00,32,23,24,26
sale,apartment,"fully renovated","okres Liptovský Mikuláš",21,41,5.760,1.95,31.71,62,49,53,55
sale,apartment,"fully renovated","okres Martin",29,67,7.219,2.31,31.34,65,54,58,59
sale,apartment,"fully renovated","okres Ružomberok",12,26,4.620,2.17,50.00,49,40,44,44
sale,apartment,"fully renovated","okres Tvrdošín",3,3,0.839,1.00,100.00,0,1,0,0
sale,apartment,"fully renovated","okres Žilina",31,71,4.428,2.29,40.85,56,45,50,50
sale,apartment,"new construction","okres Bytča",6,6,1.911,1.00,50.00,40,28,30,33
sale,apartment,"new construction","okres Čadca",5,6,0.692,1.20,66.67,27,19,21,22
sale,apartment,"new construction","okres Dolný Kubín",8,19,4.906,2.38,63.16,40,35,39,38
sale,apartment,"new construction","okres Kysucké Nové Mesto",5,7,2.151,1.40,71.43,26,20,22,23
