agency,segment,avg_price_index,listings_count,tot_segment_listings,agency_share
"TUreality s.r.o.","1-room apartment",0.07508207840000,6,43,0.1395
"BeMi realitná kancelária","1-room apartment",0.04991054120000,4,43,0.0930
"TARGETreal s. r. o.","1-room apartment",-0.02287310470000,3,43,0.0698
"OREA, s.r.o.","1-room apartment",-0.00098463190000,3,43,0.0698
"XEMAR realitná spoločnosť s.r.o.","1-room apartment",-0.11157906860000,3,43,0.0698
"1. Reality Rent, s.r.o.","1-room apartment",-0.01286700430000,2,43,0.0465
"KA Real","1-room apartment",0.16786091885000,2,43,0.0465
"Like Reality s.r.o.","1-room apartment",-0.07508207840000,2,43,0.0465
"OVERENÉ REALITY","1-room apartment",0.04448712400000,2,43,0.0465
"RESIDENCE realitná kancelária","1-room apartment",0.21494415000000,2,43,0.0465
"Financial Hotels Management, s.r.o.","1-room apartment",0.06525526940000,1,43,0.0233
"Reality Alpia","1-room apartment",0.04242554420000,1,43,0.0233
"MG real, s.r.o.","1-room apartment",-0.01143404300000,1,43,0.0233
"Renovo Reality","1-room apartment",-0.03704353650000,1,43,0.0233
"CANGURU s.r.o.","1-room apartment",0.07528366860000,1,43,0.0233
"Eli real realitná kancelária","1-room apartment",-0.05241056390000,1,43,0.0233
"TRI LIPY, s. r. o.","1-room apartment",0.01143404300000,1,43,0.0233
"Realitná kancelária","1-room apartment",-0.04242554420000,1,43,0.0233
G-REAL,"1-room apartment",-0.21494415000000,1,43,0.0233
"ARCHEUS Partners a.s.","1-room apartment",-0.04448712400000,1,43,0.0233
donidDevelop,"1-room apartment",0.02581900940000,1,43,0.0233
Limaxreal,"1-room apartment",-0.02581900940000,1,43,0.0233
"TATRA CITY RESIDENCE s. r. o.","1-room apartment",0.18488203060000,1,43,0.0233
"AstonReal s.r.o.","1-room apartment",-0.18488203060000,1,43,0.0233
"Realitná kancelária RED, s.r.o.","2-room apartment",0.03012297850000,18,254,0.0709
"Realitné kancelárie SR","2-room apartment",-0.05800377430000,11,254,0.0433
"TUreality s.r.o.","2-room apartment",-0.01373030610000,11,254,0.0433
"RE/MAX Slovakia","2-room apartment",0.03112224768889,11,254,0.0433
"RESIDENCE realitná kancelária","2-room apartment",-0.00106950692857,9,254,0.0354
"AstonReal s.r.o.","2-room apartment",0.00860118668333,9,254,0.0354
"ODEKO manažment s.r.o.","2-room apartment",-0.02258477956667,9,254,0.0354
"Reality Alpia","2-room apartment",-0.00036295010000,8,254,0.0315
"B10 Slovensko, a. s.","2-room apartment",0.10221410245000,8,254,0.0315
G-REAL,"2-room apartment",-0.00581454376667,8,254,0.0315
"ŽILINAREAL, s.r.o.","2-room apartment",-0.16531979936667,7,254,0.0276
"NajBývanie, s.r.o.","2-room apartment",-0.02665241245000,7,254,0.0276
"HALO reality, s.r.o.","2-room apartment",-0.05646713573333,7,254,0.0276
"Realitná kancelária","2-room apartment",-0.02332195655000,7,254,0.0276
"FINREA - ak vám záleží na výsledku","2-room apartment",0.10788822615000,6,254,0.0236
"MGM reality","2-room apartment",-0.07674048550000,6,254,0.0236
"HD reality group s.r.o","2-room apartment",-0.06318465227500,6,254,0.0236
"WFG reality, s.r.o.","2-room apartment",0.01803823010000,5,254,0.0197
"TARGETreal s. r. o.","2-room apartment",-0.11010353726667,5,254,0.0197
"Direct Real, spol. s r.o.","2-room apartment",0.09160080670000,5,254,0.0197
"BeMi realitná kancelária","2-room apartment",-0.00101622730000,5,254,0.0197
"Reality AK, spol. s r.o.","2-room apartment",-0.09076807880000,4,254,0.0157
"OREA, s.r.o.","2-room apartment",0.11773513880000,4,254,0.0157
"Safe reality s. r. o.","2-room apartment",-0.00736447440000,4,254,0.0157
"Reality Center, s.r.o.","2-room apartment",0.14209842220000,4,254,0.0157
"OVERENÉ REALITY","2-room apartment",0.04034912210000,4,254,0.0157
"ROMDOM, s. r. o","2-room apartment",-0.03132995283333,3,254,0.0118
