offer_id,property_type,terrain,location_district,location_city,location_area
JurZTuUssP0,house,flat,"okres Bytča",Bytča,"Hliník nad Váhom"
JutFw8pKjMj,house,flat,"okres Kysucké Nové Mesto",Lodno,Lodno
JuKW3SQ8Df4,house,flat,"okres Čadca",Makov,Makov
JuLJB10v5yK,house,NULL,"okres Žilina",Žilina,Trnové
Ju2gistO4oo,house,NULL,"okres Martin",Martin,Priekopa
JuDeBj46p9m,house,flat,"okres Turčianske Teplice","Turčianske Teplice",Stred
JubUhU28foO,house,"gently sloped","okres Kysucké Nové Mesto",Rudinská,Rudinská
JuSsCe7WLb6P,house,flat,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce"
JuB2SVYi89D,house,flat,"okres Žilina","Rajecká Lesná","Rajecká Lesná"
JuYNloJYOdw,house,flat,"okres Martin",Príbovce,Príbovce
JulZg30zNO8,house,flat,"okres Žilina","Lietavská Lúčka","Lietavská Lúčka"
JuJjPVMhkUw,house,NULL,"okres Martin",Martin,Priekopa
JudQy8A1FLU,house,sloped,"okres Kysucké Nové Mesto",Ochodnica,Ochodnica
Ju1eOtgzhMF,house,NULL,"okres Bytča","Veľké Rovné","Veľké Rovné"
Jui4dVLb9Ci,house,flat,"okres Martin","Kláštor pod Znievom","Kláštor pod Znievom"
JuC8my3kfcD,house,NULL,"okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina"
JultKoQUF1n,house,"gently sloped","okres Martin",Valča,Valča
JuSbYhRyin-,house,flat,"okres Žilina","Teplička nad Váhom","Teplička nad Váhom"
JucbDZIqH5K,house,flat,"okres Dolný Kubín","Medzibrodie nad Oravou","Medzibrodie nad Oravou"
JuTe9xTBEze,house,"gently sloped","okres Žilina","Rajecké Teplice","Rajecké Teplice"
Ju9jNRRDueP,house,NULL,"okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján"
Ju7QtyDiguT,house,flat,"okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec"
Ju8LEFRICza,house,"gently sloped","okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie"
JuLVnnHvRdJ,house,flat,"okres Martin",Daňová,Ďanová
JuxpGt9B3Fh,house,flat,"okres Martin",Príbovce,Príbovce
Ju3Q6cuW_-I,house,flat,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce"
Jul9YtuXJRu,house,"mostly flat","okres Ružomberok",Ružomberok,Baničné
Jukf6G0DA_c,house,flat,"okres Bytča",Bytča,"Veľká Bytča"
JurJNQloNhD,house,NULL,"okres Kysucké Nové Mesto",Radoľa,Radoľa
Ju_HmYYnmau,house,flat,"okres Martin",Martin,Stred
Juoe47l29P7,house,flat,"okres Žilina",Žilina,Trnové
Ju00Y-txNcF,house,NULL,"okres Liptovský Mikuláš",Pribylina,Pribylina
Ju4LWhuX-Wj,house,"gently sloped","okres Ružomberok",Ružomberok,"Biely Potok"
Jubn7zHTz__,house,flat,"okres Tvrdošín",Nižná,Nižná
JuqnxCpkC06,house,NULL,"okres Dolný Kubín","Oravská Poruba","Oravská Poruba"
Juic0vZirTi,house,flat,"okres Martin",Martin,Stred
JuS8ciWyKMi,house,flat,"okres Ružomberok",Ružomberok,"Staré mesto"
JubTPdj-awZ,house,flat,"okres Turčianske Teplice",Budiš,Budiš
JuGIhhHbPqD,house,flat,"okres Turčianske Teplice","Malý Čepčín","Malý Čepčín"
JuxiHYI3lEP,house,"mostly flat","okres Žilina",Bitarová,Bitarová
JuS_u3LjF53,house,NULL,"okres Martin",Martin,Stráne
JuIAC6P7EYu,house,NULL,"okres Dolný Kubín",Párnica,Párnica
JuSi1nzOb00,house,"mostly flat","okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov"
JuwBtG9o2r1,house,flat,"okres Čadca","Nová Bystrica","Nová Bystrica"
JuN_zFqT9wt,house,flat,"okres Martin","Turčianska Štiavnička","Turčianska Štiavnička"
JuR8Ev-aWaZ,house,flat,"okres Martin",Sučany,Sučany
JuZBjxQ80zt,house,flat,"okres Ružomberok",Ružomberok,"Pod Skalami"
JuGyarQH5Tu,house,NULL,"okres Martin",Žabokreky,Žabokreky
JusX_sL1pCY,house,flat,"okres Ružomberok",Ružomberok,Baničné
JuMReNzFrmm,house,sloped,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce"
