agency,property_category,avg_price_diff
"Realitná kancelária RED, s.r.o.",apartment,-0.02098125
"RS Mansory s.r.o.",apartment,-0.01010000
"Realitné kancelárie SR",apartment,-0.05118750
"WFG reality, s.r.o.",apartment,-0.00827778
"MGM reality",apartment,-0.02620000
"TUreality s.r.o.",apartment,0.00719091
"RIEŠIME BÝVANIE",apartment,-0.00548889
"TARGETreal s. r. o.",apartment,0.04856667
"Reality Alpia",apartment,0.16007500
"Realitná kancelária RED, s.r.o.",house,-0.01845882
"RIEŠIME BÝVANIE",house,0.03653333
"Reality Alpia",house,-0.29463333
"MGM reality",house,0.07255000
"TARGETreal s. r. o.",house,0.32217143
"TUreality s.r.o.",house,0.04852222
"WFG reality, s.r.o.",house,0.27926667
"Realitné kancelárie SR",house,-0.02433333
"Realitné kancelárie SR",land,-0.03021304
"RIEŠIME BÝVANIE",land,-0.24346667
"TARGETreal s. r. o.",land,0.11361000
"RS Mansory s.r.o.",land,-0.09305238
"WFG reality, s.r.o.",land,-0.19471111
"Real Estate Group4U",land,1.06360000
"Reality Alpia",land,-0.58740000
"MGM reality",land,-0.23173333
"TUreality s.r.o.",land,-0.18860000
