offer_id,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water
JurZTuUssP0,2025,124,665.0,145.0,flat,"not available",on-site,well
JutFw8pKjMj,1970,130,646.0,130.0,flat,"not available",NULL,"public water"
JuKW3SQ8Df4,1996,307,1500.0,180.8,flat,"not available",NULL,NULL
JuLJB10v5yK,1960,130,753.0,130.0,NULL,"not available",NULL,NULL
Ju2gistO4oo,1905,130,1812.0,150.0,NULL,"not available",NULL,NULL
JuDeBj46p9m,1976,225,583.0,150.0,flat,"not available",on-site,"public water"
JubUhU28foO,2025,833,833.0,90.0,"gently sloped","not available","not available",well
JuSsCe7WLb6P,1960,734,734.0,NULL,flat,"not available","not available",well
JuB2SVYi89D,1950,150,238.0,213.0,flat,"not available",NULL,NULL
JuYNloJYOdw,1970,140,1034.0,150.0,flat,"not available",on-site,"public water"
JulZg30zNO8,2000,250,861.0,102.0,flat,"not available",NULL,NULL
JuJjPVMhkUw,2022,250,648.0,240.9,NULL,A,NULL,NULL
JudQy8A1FLU,2010,230,597.0,104.0,sloped,"not available",on-site,"public water"
Ju1eOtgzhMF,2024,80,435.0,100.0,NULL,A,NULL,NULL
Jui4dVLb9Ci,2024,110,566.0,132.0,flat,A,NULL,NULL
JuC8my3kfcD,1975,90,898.0,90.0,NULL,NULL,NULL,NULL
JultKoQUF1n,2025,378,NULL,NULL,"gently sloped","not available","not available",well
JuSbYhRyin-,1932,240,434.0,150.0,flat,"not available",NULL,NULL
JucbDZIqH5K,1930,378,812.0,308.0,flat,"not available",NULL,"public water"
JuTe9xTBEze,1963,148,1100.0,148.0,"gently sloped","not available",NULL,NULL
Ju9jNRRDueP,2019,35,NULL,NULL,NULL,"not available",NULL,NULL
Ju7QtyDiguT,2010,1,441.0,86.0,flat,"not available",NULL,"public water"
Ju8LEFRICza,2024,177,NULL,177.0,"gently sloped",A,on-site,"public water"
JuLVnnHvRdJ,1978,140,632.0,140.0,flat,"not available",NULL,NULL
JuxpGt9B3Fh,1980,150,2275.0,200.0,flat,"in preparation",on-site,"public water"
Ju3Q6cuW_-I,1910,120,456.0,95.0,flat,"not available",on-site,well
Jul9YtuXJRu,2024,180,519.0,150.0,"mostly flat",A,NULL,NULL
Jukf6G0DA_c,1991,240,596.0,155.0,flat,NULL,on-site,well
JurJNQloNhD,1970,90,362.0,130.0,NULL,"not available",NULL,NULL
Ju_HmYYnmau,2024,132,550.0,132.0,flat,A,on-site,"public water"
Juoe47l29P7,2024,160,677.0,119.6,flat,"not available",on-site,"public water"
Ju00Y-txNcF,1980,339,NULL,NULL,NULL,"not available",NULL,NULL
Ju4LWhuX-Wj,1980,524,524.0,NULL,"gently sloped","not available",NULL,well
Jubn7zHTz__,1970,240,1034.0,120.0,flat,"not available",on-site,"public water"
JuqnxCpkC06,2022,146,939.0,166.0,NULL,A,NULL,NULL
Juic0vZirTi,2025,563,NULL,NULL,flat,"not available","not available",well
JuS8ciWyKMi,1900,200,1371.0,250.0,flat,"not available",NULL,NULL
JubTPdj-awZ,2025,117,NULL,146.2,flat,"not available","at property line","public water"
JuGIhhHbPqD,2011,754,754.0,76.0,flat,"not available",NULL,well
JuxiHYI3lEP,2025,112,508.0,132.0,"mostly flat",NULL,NULL,NULL
JuS_u3LjF53,1992,200,1200.0,130.0,NULL,"not available",NULL,NULL
JuIAC6P7EYu,1980,447,447.0,250.0,NULL,"not available",on-site,well
JuSi1nzOb00,2023,180,1082.0,154.0,"mostly flat",A,on-site,well
JuwBtG9o2r1,2025,133,363.0,133.0,flat,"in preparation",NULL,NULL
JuN_zFqT9wt,1900,90,NULL,70.0,flat,"not available",on-site,"public water"
JuR8Ev-aWaZ,1963,150,555.0,154.0,flat,"not available",on-site,"public water"
JuZBjxQ80zt,2022,60,NULL,24.0,flat,"not available",on-site,"public water"
JuGyarQH5Tu,1960,244,988.0,244.0,NULL,"not available",NULL,NULL
JusX_sL1pCY,2025,624,NULL,NULL,flat,"not available","not available",well
JuMReNzFrmm,1970,114,540.0,73.0,sloped,"not available",NULL,NULL
JufUCJs2WIN,1980,120,921.0,100.0,flat,"not available",NULL,"public water"
JuViiwQVAc8,2023,125,600.0,125.0,sloped,"not available",NULL,well
Ju7iLKVUgMi,2025,205,NULL,230.0,flat,A,NULL,NULL
Ju_j96JYJ3R,2022,107,680.0,145.0,flat,NULL,on-site,well
JuacBqltuem,2025,565,NULL,NULL,flat,"not available","not available",well
Ju5jLRFNJLG,2024,131,849.0,NULL,"mostly flat",NULL,NULL,NULL
JuzhCWgXTbr,1980,836,NULL,NULL,NULL,"not available",NULL,NULL
Ju7pOpcYmHI,2013,145,954.0,107.0,"gently sloped",B,NULL,"public water"
Jueg5nyRwtD,2025,637,637.0,NULL,"gently sloped","not available",NULL,well
Jua2IIfvhoU,2025,1500,1517.0,NULL,"gently sloped","not available","not available",well
