offer_id,land_area,terrain
Jur2iE4GKyv,1134,"gently sloped"
Ju5Ehcheq2v,1550,terraced
JuhyQTsj1LU,1122,NULL
JuPp6sukGjm,NULL,NULL
JuAINHKEpb9,600,flat
JubBzZv3CZ4,628,flat
Jubyz8KHpaA,500,flat
JuWu8X5e0jn,609,NULL
Ju5paSEB6Nv,701,NULL
JuaCQD06zTh,690,"gently sloped"
JuKYxcrrEwh,995,NULL
JuJYKVSAq2k,900,NULL
JusCOC7JYu5,558,flat
Juv5TkPsj9T,2142,"gently sloped"
JuRufzqYfTo,810,"gently sloped"
JuB6HhfZSPN,922,"gently sloped"
JuNR7iOAWOb,375,flat
JuNztztwtJj,696,NULL
JudgSom7ejT,389,flat
Ju98hXHMfyH,398,flat
JuEJOqphXdZ,1362,"mostly flat"
Jul095-F2H-,567,flat
JuPGYcuAlfl,858,NULL
JuLNhT-3oNA,454,flat
Jus3WMnENIj,583,"gently sloped"
JuWnFD5OAUU,1852,"gently sloped"
Ju-0W9ug2Ol,880,flat
JuizzObcJTE,1330,NULL
JugrI7ZBfpT,865,flat
JuiwS-gpQB1,2722,"gently sloped"
JujdYIr-c-p,1283,NULL
JusoxTNDyJI,407,NULL
Ju7_LrB_NNB,1193,NULL
JufLDox5EGX,1007,"gently sloped"
Jux6EDO87ml,1895,"gently sloped"
Judk1z1b1Nd,656,other
JuUiQvR03zd,1800,"gently sloped"
JuYxVfR__Nx,523,"gently sloped"
JuxusjEdK8z,966,"mostly flat"
Juisb1V01uC,733,NULL
Jur-h57QXWc,830,terraced
Ju9rSU4gBpn,471,flat
JuGKRtmsaxJ,2618,"gently sloped"
Jurn7Tjk47J,1100,"gently sloped"
JuFdP62I-_O,1872,NULL
JugjLuDjRtG,808,"gently sloped"
Ju9yYyvLM4S,720,flat
JuEOlFJy7eI,2714,flat
Ju_3Vu8GkBj,922,"gently sloped"
JuCdo9RybP_,1783,NULL
JuQqb1Uylo_,1003,NULL
Juo4-ERrO5Y,898,NULL
JuqKis-FMaT,580,NULL
Ju11TbSO8Lx,NULL,NULL
Jumx1pcB1EA,850,sloped
Ju_om9GbVZa,509,NULL
JuDFkgbrvLz,883,flat
JuWNBUmtL8H,819,"gently sloped"
JuI3WIo1gnr,744,flat
JuHPdbSyfw3,4700,NULL
JummK5hE8Lr,522,"gently sloped"
Jue_IKSyNYA,551,"mostly flat"
Jufp6SmYJxs,913,flat
JuKcCOH5Bgu,2160,NULL
JuQXoAMiC5M,3948,NULL
JujYYo9Qtpi,3099,"gently sloped"
JuY_o0Hq1ua,758,"gently sloped"
Ju9DTwAgiHG,879,flat
JuARnh9cPNq,930,flat
Ju_Khlvp1_L,507,NULL
JuwYiWFslPL,1090,flat
Ju6_q9iLcH2,2955,"gently sloped"
JuVeKcRGSvF,793,NULL
JuUUj1AEgQf,1121,"gently sloped"
JuAewW0gIjM,640,NULL
JutgQ5gFNVe,3598,"gently sloped"
Ju2DkJ0tL0r,3500,flat
JusNOhzmA1cV,500,NULL
Julm5UqUwbF,297,"gently sloped"
JuoWIuSbW9f,898,NULL
Ju3DHGm3SX3,650,"gently sloped"
JujU-NvkZd5,731,NULL
JuuLvwvMnqi,1072,"gently sloped"
Ju7-tv2yvGe,697,flat
Ju2XjdxAKiA,3225,"gently sloped"
JuMA67ZT6Dj,1205,flat
Ju5G02PfLPf,1095,"gently sloped"
Jurrvwf7__Y,9735,"gently sloped"
JuxqyTwKPA7,NULL,NULL
Ju3pFJiSu2s,4234,"gently sloped"
JupsaGq4wbB,1537,"gently sloped"
JusMGCS4uqf,692,flat
JuCWsWXxn1N,645,NULL
Jus70LjxyN8,679,NULL
JuWllUMOah9,567,"gently sloped"
JuZjAAYPCXKg,1415,"gently sloped"
JulXTVjCmG0,25000,flat
JuRVHpRHSGQ,636,"gently sloped"
JumCABBKmrv,1095,sloped
JuyrQlq623r,836,flat
JuHPJ-p52W2,1665,"mostly flat"
Ju7mSPUl1TY3,1045,other
Juarq9_UTUn,746,NULL
Jud1n40d-dn,381,flat
Ju2_HPkQ8s2,762,other
JuXDdV7DuGH,883,"gently sloped"
JuXGG7E_fDg,1176,flat
Ju9QSsEf9gw,800,sloped
JuWNTIbPUJS,27773,flat
Jue_9ALQet2b,900,"gently sloped"
Jut36Rci3LJ,NULL,NULL
JumDim2HAtJ,922,NULL
JuhJeiPLlID,1468,"gently sloped"
JuWSeZfgL-Y,4525,flat
Jub-7EwQ_Rho,947,flat
Ju5nXGRiNlM,5260,NULL
Ju_bN-ewyhS,1114,flat
JujRK5xYV79,933,flat
JueuBN1Nu8x,946,NULL
JudQL3RTdOS,2836,NULL
JuhckkiisBJp,1502,NULL
Ju9e7LtrfAt,1607,NULL
Ju0yTvWbSXD,1903,NULL
JuhEf6udQZD,NULL,NULL
JuaHyO1MbDH,871,NULL
Ju6g_Z5mX7e,1020,flat
JuLljn1aubH,600,NULL
JuU1wLvylPv,400,NULL
JunDvn09Q9U,685,flat
JuDeXKjjRHY,522,NULL
JuDIbuwkSMQ,1250,NULL
JuuPfKXcC_S,1336,"gently sloped"
JulD1JVCqAd,966,other
JuQ2QYedCFa,621,sloped
JuMiM4qhAck,600,flat
JuJrQI4ug9X,497,sloped
JuriEZGWaqe,3762,sloped
JudrqxfcGTR,863,NULL
JuJ6HTdPmEs,NULL,NULL
Ju_QlVk-YXH,599,NULL
JuVff9I-9I0,1014,"gently sloped"
JuLjH4Ztr0P,1657,NULL
JuBnZj34L44,2873,flat
JuYMxTrMThn,655,NULL
Juo26F3NF2G,587,"gently sloped"
Juc0JQaKZWu,863,NULL
JuH2DC2P8Ud,5473,NULL
JuVQ4EF1fqG,560,NULL
Ju3Lr4SqXpm,4377,"gently sloped"
JumOEZa9NyW,819,NULL
JuoKzORdNaI,1006,NULL
JuaXdatuUjs,701,NULL
JudOJ7xWOxA,1201,flat
Ju2UzK1gp3R,1817,"gently sloped"
JunD1SrFXPT,583,NULL
JuJTvvQyvPv,1937,"gently sloped"
JuUi2C1CE8-,939,flat
Jua5wAoApR5,1487,"gently sloped"
Ju1rBpBDljg,2270,NULL
JuTZg0TY8JC,2070,flat
JuzydWNY1w-,1785,flat
Jup4_5dTntt,829,flat
JucXhJ-7RIW,2220,other
JuPITfSI3H0,2306,NULL
JuKVQligYhM,418,NULL
Ju_nFFJjAlC,471,flat
Juz77F3qzjt,1487,"gently sloped"
JuGN-E0XFUo,880,flat
JuNKPbY78gy,1089,flat
Ju8tqbpzEho,850,flat
JuWy3Av11B2,2086,NULL
JuWpZopSoYC,471,flat
JuI9ai4mRCA,13790,flat
JuG7n8qbXvU,550,flat
JulK1E26g9e,1573,"mostly flat"
JunWOzEcRHK,881,flat
Ju9bTv_8--p,1061,"mostly flat"
JuEl39vdmi7,642,"gently sloped"
Ju9T9motLi6,652,"mostly flat"
Ju9IFe2gRus,612,NULL
JulC2goTuDK,416,flat
JufmowlUURT,560,flat
JujO5TgvXtG,12000,NULL
Juidgw39ied,NULL,NULL
JueE0RaoId9,350,flat
JuOd8JFAh_B,754,flat
Ju8z5R1jfB3,NULL,NULL
Juu2KYnLJH8,866,flat
Jug6QXb2mr0,5120,"gently sloped"
JuUooEhgJl4,1234,flat
Ju4d7oCmzgt,1350,flat
JuHSEHdVoIU,500,flat
JurXAjyEx4Y,2838,flat
Jubn_BmVZq4,679,NULL
JuAYbMU687z,1753,flat
Ju5AeA4FaTa,736,"gently sloped"
Ju6BOs5U974,1226,"gently sloped"
JuLOTbilQnB,925,"mostly flat"
JuQixUnoW4u,3750,NULL
JuIlHogl4wQ,1900,"gently sloped"
Ju2i2SZUYUh,448,flat
JuuE0IH089Q,5260,NULL
JuP4Qge949G,2891,sloped
JuCxQUnpNN5,18139,NULL
JuOoDP05xJ-,969,flat
JujWzeAd4Mq,600,flat
JuhYAT13Gs1,3653,NULL
JuHoLMOAPyD,634,NULL
JuvDIHl7nu4,1039,NULL
JuW5XYXfIA2,542,NULL
JufKEzTwdq8,2367,"mostly flat"
JuZ7zgc43wy,586,"gently sloped"
JuG8w7lDdu46,898,NULL
JunGp6hRXR2,963,flat
JumKl3xs_Yl,821,flat
JuHRetqPaNB,809,NULL
Judf0zzhq5f,28826,NULL
JuFovldbtlH,1161,"gently sloped"
JueyWGcCtCo,857,"mostly flat"
Ju16HqVho2l,894,"mostly flat"
Juxlwl0cqfI,508,flat
JuvwILxsaLE,1666,NULL
JuoEkan0OM3,685,NULL
JuEX_l_3Eqg,450,flat
JuCmj-PgWTq,1119,NULL
JuASY12odtk,3049,flat
Ju-_lgQgjvC,497,NULL
JueMz2TcIL-I,1330,NULL
JuIw5kl0QB9,5514,NULL
Ju0UqyDriGS,1218,NULL
Jul7ugPXcvQ,1498,"gently sloped"
Ju4lACVtBvB,1179,"gently sloped"
JufBIzJWZ0T,1027,"gently sloped"
JuJ0YMlVen2,931,flat
JuxIvOImC9j,1394,"gently sloped"
JufCqQz59Ij,815,NULL
JuJGNURQ8kY,850,NULL
JuS3utLekJS,1046,NULL
JushtsOsA5D,1101,NULL
JuPmsU7zgrG,1039,"gently sloped"
JumG3BQ732C,542,NULL
JuY5ba5W_4i,1600,flat
JuzolLKcQyU,667,flat
JuLfvRq95qS,NULL,NULL
JuBfaxcwUwF,2091,flat
JuVv2XDLd9H,866,"gently sloped"
Ju3oEfAZYzP,3062,NULL
JuMAMHXJq7S,3759,NULL
JuNaGXxLOzZ,7699,"gently sloped"
JuCjQgzupuY,28826,NULL
JuhCsanvxln,1783,flat
JuqxH07lW-i,2031,NULL
JuH12tFyQw2,917,NULL
JuEjJSCiW8Ze,600,NULL
JupXbR8DGJn,629,NULL
JuMvZKQOSvd,391,NULL
Ju1CjLHLW69,7631,flat
Ju22ZGBmO93,2580,NULL
JuwTH_LMEMX,473,flat
JufJ-j5ky3T,500,flat
JuPGBZu28Sz,1401,"mostly flat"
JuXRWhaK2fl,25681,flat
Jutyprw4Nso,1394,"gently sloped"
JutjPZbTZEK,2000,flat
Juzs-YHkwHj,1500,sloped
JupRRfszbzs,1800,"mostly flat"
JuiFvyOCpZO,4637,flat
JuqfHhV7H4_,558,"gently sloped"
JuhB5IsnAP3,6047,NULL
Ju4HZvYxEQL,5473,NULL
JuR1Vqvk3FA,807,flat
JuD-E2E_yvf,846,NULL
JujqHk5Nsu-,1011,flat
JumHegVgatu,1108,"gently sloped"
JuYSlKjn22V2,16054,NULL
JuTN7hEMhfs,961,flat
Juo_LCQm7Zx,1140,"gently sloped"
JucfeqPEDUI,1327,flat
JuyewzTZPFk,917,"gently sloped"
Jug8evCrAgI,561,NULL
