offer_id,location_district,location_city,location_area
JuLecgRv95A,"okres Žilina",Žilina,Bôrik
JuzjcjA88fI,"okres Bytča",Bytča,"Veľká Bytča"
JuR9IQwr1DX,"okres Žilina",Žilina,Hliny
JueQeTeryjC,"okres Dolný Kubín","Dolný Kubín",Brezovec
JufbBHYx-coz,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JusEglMU0v8,"okres Martin",Martin,Jahodníky
JuHU9WStTAs,"okres Martin",Necpaly,Necpaly
Ju-48631_aJ,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JujzGN4k6bn,"okres Martin",Martin,Sever
JuyUZh4v08L,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju9d7v-lee8,"okres Tvrdošín",Zuberec,Zuberec
JuvALHP6cN9,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju8a3kcGYvG,"okres Dolný Kubín","Dolný Kubín",Brezovec
Jue47kLBSm8,"okres Čadca",Čadca,Centrum
JucquL8E-bM,"okres Martin",Martin,Stred
Jui14FUG-ZO,"okres Turčianske Teplice",Rakša,Rakša
JuTiIF5zkxo3,"okres Dolný Kubín","Dolný Kubín",Záskalie
JuFpZug_t62,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuUnWH-g8Yz,"okres Žilina",Žilina,"Staré mesto"
JuUCL8fPL9h,"okres Martin",Vrútky,"Horné Vrútky"
JuV8a82JG_s,"okres Žilina",Žilina,"Staré mesto"
JuvjDSTvTKy,"okres Bytča","Veľké Rovné","Veľké Rovné"
Ju3gs_noUEz,"okres Čadca","Krásno nad Kysucou",Kalinov
JuXcyij9eMf_,"okres Žilina",Žilina,"Staré mesto"
JufYiP4E7Es,"okres Žilina",Žilina,Hliny
JuKkjtqN4VW,"okres Martin",Martin,Stred
JuH-SEIASle,"okres Ružomberok",Ružomberok,Roveň
Ju_IBACCGzT,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju_7fjs1rDI,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuO3IQpQk2Q,"okres Čadca",Makov,Makov
JukCOBdi-HG,"okres Žilina",Žilina,Vlčince
JuatrleUyRX,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuqBZCEixbC,"okres Žilina",Žilina,Hliny
JuCuiefKh4P,"okres Martin",Martin,Priekopa
JucFUY5N5xW,"okres Martin",Martin,Priekopa
JuSPwAqNDjb,"okres Ružomberok",Ružomberok,Hrabovo
JujrtOK9Ltj,"okres Žilina",Žilina,"Staré mesto"
Ju2TzdFfXkg,"okres Žilina",Žilina,"Staré mesto"
JuVO5WLrTZ3,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuC08OMa82u,"okres Žilina",Žilina,Hájik
Jupw1bQT1Jh,"okres Žilina",Žilina,Vlčince
