offer_id,monthly_rent,monthly_rent_m2
JuzjcjA88fI,640,10.34
JuR9IQwr1DX,590,8.68
JueQeTeryjC,NULL,NULL
JujzGN4k6bn,600,9.24
JuyUZh4v08L,700,14.29
Ju8a3kcGYvG,650,13.00
JucquL8E-bM,840,NULL
JuTiIF5zkxo3,560,8.62
JuUCL8fPL9h,450,12.50
Ju3gs_noUEz,620,13.78
Ju_IBACCGzT,450,6.82
JuatrleUyRX,590,7.56
JuqBZCEixbC,685,13.17
JunnFbGwfA5,700,11.67
JugXYWqkt4N,390,13.00
JuqvNgpYqrd,560,14.00
JuA8-pf41pn,900,10.84
JuxBkaifl6df,650,15.48
JunBqR0DBP9,590,11.80
JucOhPXEpxa,730,10.28
JuFqVxR2Rua,650,13.54
JuLEeBcqSvN,550,10.94
JuHC3L7PHAo,250,16.67
JuxsO06uVZG,490,11.40
JuxQsJlXHSK,810,10.91
JucmUHZL9fQ,840,14.74
JuJBn5ZeVAm,630,12.35
Juk9u-rNEqG,500,10.86
JuDorfwK08d,550,6.47
Ju9qrQrSqzm,500,20.00
JuVp8M6bnwG,600,7.50
JuKJT8WJuFF,530,14.32
Ju8mh8KzH4f,530,8.83
Ju_qGSnLBzz,520,8.81
JuQY1ZnmE4m,480,19.20
JuMhyPasgwl,450,10.98
JuPet_Ep-JW,400,5.71
Juw69usHNF6,730,8.49
Jup6mGYDCrv,560,9.88
JuY4e0DxXsH,490,10.89
Jue5OG4Sl5k,600,12.00
JumQaXesU-y,470,16.79
JuXIzNjmik_,950,9.13
JukKH41KaWr,650,5.37
JuWzCETm2y0,620,8.91
Ju2skZ_XIuH,500,5.56
JuWx4I1iGWR,500,6.25
Ju6ap4Twr5W,650,NULL
JuVlvDHUEHV,580,11.60
JukzS9fkGsH,800,9.52
JuwxWNhZHvq,500,11.36
JuNh7AtADFs,480,10.91
JuoVEcjPg5o,400,5.71
JuyUHlMcv_Q,1200,16.44
Jutomv1SERc,550,9.65
JuIK5SS5weX,560,10.18
JuvxR6XXHxE,800,10.83
JuT8ujDpM1g,660,11.00
JuBAitX8aRy,500,9.16
JuYm2hUT2pj,250,2.72
JuvmTUfehMc,NULL,NULL
JuaMkijSYs-,380,15.39
JuZL3wORd4j,520,15.04
JuhvRDg8Y4C,390,6.72
JuEGUe9TZYw,720,10.00
JuUFq9Wci3W,360,14.40
JuGfHZevCsA,590,8.94
JufXjo0g1k9,700,11.78
JuPNe1hyDeq,690,12.14
Ju4eeNbxgyr,690,13.80
JuN3wzC2QtN,470,13.06
Ju7i7kUX31N,NULL,NULL
JuTL4AQg4bH,550,10.00
JuYNcMLobvd,650,6.37
JuRDv8rOGAN,480,10.42
JuG-jkKlogR,600,12.00
JuKxd6XdpfQ,580,8.29
JuykyParod3,550,7.86
JuzGrB3SDsa,400,16.00
Ju3pgjh4OY7,720,16.74
JuV0WpoDBe_,490,13.24
JuQ3YUuwUTb,1100,11.96
JutqtoD-x5N,550,8.87
Juu8kqRVDip,630,10.33
JuL2muHqM6p,750,10.71
JuzUlNr7U_e,700,11.67
JuZK9MB7o6G,840,10.00
JuSreilLACi,750,12.10
JuZLDF7L6J1,1000,11.11
JuKOidVb0W7,550,6.88
JuIDpA00OUN,450,10.23
JuEg-jxdD7t,590,9.08
JuBSH-C3TAe,NULL,NULL
JuDV2pnh02W,500,8.62
