offer_id,price,price_m2
JuLecgRv95A,449000.00,4196.26
JufbBHYx-coz,163000.00,2716.67
JusEglMU0v8,138900.00,2013.04
JuHU9WStTAs,1.00,0.01
Ju-48631_aJ,129000.00,2037.91
Ju9d7v-lee8,286000.00,2698.11
JuvALHP6cN9,137000.00,2446.43
Jue47kLBSm8,289000.00,1430.69
Jui14FUG-ZO,NULL,NULL
JuFpZug_t62,116900.00,3770.97
JuUnWH-g8Yz,269000.00,2461.12
JuV8a82JG_s,359587.00,3560.27
JuvjDSTvTKy,135000.00,3000.00
JuXcyij9eMf_,290193.00,4302.34
JufYiP4E7Es,169900.00,2265.33
JuKkjtqN4VW,169990.00,3035.54
JuH-SEIASle,205344.00,2964.40
Ju_7fjs1rDI,NULL,NULL
JuO3IQpQk2Q,94900.00,1664.91
JukCOBdi-HG,229900.00,2769.88
JuCuiefKh4P,NULL,NULL
JucFUY5N5xW,135000.00,1687.50
JuSPwAqNDjb,180000.00,4137.93
JujrtOK9Ltj,183900.00,2242.68
Ju2TzdFfXkg,NULL,NULL
JuVO5WLrTZ3,129900.00,2165.00
JuC08OMa82u,369000.00,2263.80
Jupw1bQT1Jh,261900.00,2946.01
JuFqSi2fYOk,127100.00,2398.11
JuFv7NTgqug,76000.00,1652.17
JuxZgQdKO7u,138700.00,3082.22
Ju0iFsZ1mnv,150000.00,3968.25
JuN4KXjUyk-,1.00,0.01
JuWV1dgtiBd,107000.00,4841.63
Judmv08qh2A,170000.00,1416.67
Ju_Lr-2Vc09,150000.00,2941.18
JubDtFpPZPz,165000.00,4459.46
Ju46Wlvz4BP,136730.00,2170.32
Jus8fVVapj9,263400.00,2714.34
JurldwLKNhM,69000.00,1916.67
JulollxgJp5,192700.00,2707.60
JupBjnV0coU,NULL,NULL
JuqAM-ZO9ir,196000.00,3563.64
Ju5VjRRX_4J,185000.00,NULL
Juarr5O2upK,133500.00,1420.21
JuXRtZdfweI,185000.00,2189.35
JuNZupA7Ru4,159049.00,3082.34
JumbMyGo4iI,220000.00,3816.13
JuaCjfZIx81,140064.00,2908.31
JuUnD0myJmK,159000.00,2576.57
JuIP59md355,287904.00,2812.66
JuIh9K2txJ3,209520.00,1455.00
Jub5nNi4yTF,179000.00,2887.10
Juqj8-BDIgQ,197000.00,1614.75
JuQfQh_4sSF,NULL,NULL
JujYXXx5gXi,544763.00,3223.45
JugTLMsHTVi,115000.00,2211.54
Jul7be3Lkz5,110000.00,4230.77
JuPT1z2mBzV,133999.00,3722.19
Ju4hZgzLszu,124000.00,2000.00
JuKlHRPhAEF,147800.00,2592.98
JuvFESSKGWN,153000.00,1779.07
JusgW9odCAS,159000.00,1488.76
Juvk9S_5ltU,140000.00,2592.59
JuDCMQupxo0,NULL,NULL
JuQnZXQrlxH,20000.00,1428.57
JufAeKZk5m-,140000.00,2545.45
JuNguQDV0Zn,129950.00,2499.04
JuKOtZwcbir-,93000.00,3357.40
JuMm4AW_gBf,349000.00,2326.67
JuSYwKOlQ-6,130000.00,NULL
JuZqtWo-t_S,118000.00,4068.97
JuJCzmrTicR,130000.00,3250.00
JumsfvMXhg-,153000.00,2283.58
JuymkoAFG_6,130200.00,2170.00
JucOec67NRR,100000.00,3030.30
JuyOHLJxsdS,194000.00,3031.25
Ju_yl2A922o,77900.00,1366.67
JuDoLB83xqT,84900.00,1088.46
JuQvJ7BykSU,109900.00,2222.00
JuHLqjLk9w7,128000.00,2021.80
Juhlf1Su_tu,125900.00,3702.94
Ju4aGAgIjVo,NULL,NULL
Ju4nG9JDEKF,NULL,NULL
JuJrBHwvfXe,120000.00,5217.39
JuVk3AeemQd,186000.00,2845.34
JucIMMNEosV,129500.00,1932.84
Ju2EMTkOn53,216900.00,3555.74
JuYbhGZmbC7,47855.82,974.66
Ju59v0S7Gi9,134000.00,1740.26
Ju4SvmwHoAg,177700.00,2474.59
JuNRFKe9B5N6,260000.00,1863.00
JuG99-vnL8U,NULL,NULL
JuvzAFSDr4x,NULL,NULL
Jul_OGhX8QT,170000.00,2833.33
Ju7UFzA6VtL,206900.00,3903.77
Ju4Vd5pUjXm,149999.00,2307.68
JuA1jb9HH8o,127000.00,2259.79
Ju9k2e7JWOr,85000.00,2236.84
JuXNm9NwSwi,219900.00,2932.00
JuOnQ9rym-h,219000.00,2517.24
JuFNpzHutiG,167000.00,2569.23
JuZ8UmPHnMd,112684.00,1895.12
JuWLCChouGh,200000.00,1960.78
JuS6qI_HXQ_,234990.00,2670.34
JuvIFSCKDaN,NULL,NULL
JuJITXm9Zsf,NULL,NULL
JueaFakyLvY,299990.00,3628.76
Ju1F-eiNHx4,229000.00,2694.12
JuL3MT7o1WL,139900.00,2331.67
JuhigkHR5x2,NULL,NULL
Ju5eub1EsyB,NULL,NULL
JuDetN4gLGy,225000.00,5232.56
JuxJN0jj6xv,117000.00,3414.06
Ju9zHP-4dng,175000.00,2868.85
JuTy8iCXD6j,172000.00,3357.41
JuGJ3bcseaG,95990.00,2341.22
JuI3iwt9MRR,99900.00,3996.00
JumSU3uP1r7,147000.00,3000.00
JuCyeszuCeF,112000.00,1723.08
JuDZ3hA20uQ,183000.00,1831.83
Ju1Cm4LoVXM,223344.00,1815.80
JuOOVFGvzwX,168000.00,2731.71
JuuuYAHYGX8,163000.00,2716.67
Ju5R24o6GQR,154000.00,2094.10
Ju8_AnIgnrX,120000.00,2092.05
Juo19uqWHqv,177500.00,2088.24
JuEVg7e9gge,150000.00,2070.11
Juv94EKwgh6,199900.00,2730.50
JuhxRDKuEfi,152000.00,2620.69
JuRJykTdszG,269900.00,1799.33
JuDJ_hnDscM,139900.00,2331.67
JulzEF1iR1R,156000.00,2234.96
Jus2f1I5Shb,165000.00,2426.47
Ju12shpSBga,270000.00,4369.64
JuXnw8EKWYI,314000.00,3376.34
JuJM07aUO0O,299000.00,2990.00
JuVtdEgquxp,153000.00,2067.57
JuP6qyzD4rb,159900.00,3997.50
JuP-xJVwuxh,131572.00,1708.73
JuxYMJGR4NW,95000.00,2125.28
Jubx4f_wHQY,NULL,NULL
JuBjT8MmAiR,186000.00,2874.81
Ju8qAJxGCh0,NULL,NULL
Ju-DovddXIY,135000.00,1901.41
Jum2zoM9dK0,223900.00,3731.67
JuXQxA2vSe6,159000.00,3785.71
Jufd89QZCSO,NULL,NULL
Ju2hVjHchsA,136200.00,2902.19
Ju9Zm5FKDvx,169900.00,2929.31
Ju_q6RS-fKo,229900.00,1948.31
Jukc07qMxPz,194900.00,3543.64
JuZPdvGyLq9,179990.00,1956.41
Ju8xVwtKo3R,100000.00,NULL
JuzzHVLtL7p,154999.00,2246.36
Ju7J-Smt48P,125500.00,2988.10
JuRuuJuhfW8,136900.00,1610.59
JuZK70yldNu,135000.00,3461.54
JuzSqFzglhO,NULL,NULL
JuzmSjYalDj,139900.00,1608.05
Ju6pkdVbtRp,NULL,NULL
JudnXUbr0fH,109940.00,2304.82
JuBIZmW7FwQ,172000.00,2422.54
JuPDRHaKHGy,167000.00,2830.51
JuD8hcoEgT4,239000.00,3229.73
JukBZSTP0a5,174900.00,3180.00
Ju1AcChzPhX,118294.00,1912.90
JuE-VhHgCax,110000.00,5000.00
Ju6opeOUPUx,200000.00,2272.73
JunBxeMXtVv,129000.00,1767.12
JufXt9veplf,NULL,NULL
Ju1v-rz6S-g,140000.00,2187.50
